,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_0341,ABUW_0341,363864,364508,-,cobyrinic acid a%2Cc-diamide synthase,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA30127.1,ABUW_RS01680,NZ_CP008706.1,Op192
ABUW_0342,ABUW_0342,364667,365137,+,hypothetical protein,Nucleotide transport and metabolism,,,CP008706.1,AKA30128.1,ABUW_RS01685,NZ_CP008706.1,Op193
ABUW_0343,ABUW_0343,365274,365837,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30129.1,ABUW_RS01690,NZ_CP008706.1,Op194
ABUW_0344,ABUW_0344,365887,366420,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30130.1,ABUW_RS01695,NZ_CP008706.1,Op195
ABUW_0345,ABUW_0345,366436,367230,-,methyltransferase type 11,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30131.1,ABUW_RS01700,NZ_CP008706.1,Op195
ABUW_0346,ABUW_0346,367358,368635,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30132.1,ABUW_RS01705,NZ_CP008706.1,Op196
ABUW_0347,ABUW_0347,369049,370482,+,amino-acid permease,Amino acid transport and metabolism,,,CP008706.1,AKA30133.1,ABUW_RS01710,NZ_CP008706.1,Op197
ABUW_0348,ABUW_0348,370479,370625,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30134.1,,,
ABUW_0349,ABUW_0349,370730,370885,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30135.1,,,
ABUW_0350,gdh,371518,372789,+,glutamate dehydrogenase,Amino acid transport and metabolism,,,CP008706.1,AKA30136.1,ABUW_RS01715,NZ_CP008706.1,Op198
ABUW_0351,ABUW_0351,372934,374148,+,bifunctional succinylornithine transaminase/acetylornithine transaminase,Amino acid transport and metabolism,,,CP008706.1,AKA30137.1,ABUW_RS01720,NZ_CP008706.1,Op199
ABUW_0352,astA1,374167,375198,+,arginine N-succinyltransferase,Amino acid transport and metabolism,,GacA,CP008706.1,AKA30138.1,ABUW_RS01725,NZ_CP008706.1,Op199
ABUW_0353,astD,375198,376667,+,succinylglutamic semialdehyde dehydrogenase,Energy production and conversion,,GacA,CP008706.1,AKA30139.1,ABUW_RS01730,NZ_CP008706.1,Op199
ABUW_0354,astB,376685,378028,+,succinylarginine dihydrolase,Amino acid transport and metabolism,,GacA,CP008706.1,AKA30140.1,ABUW_RS01735,NZ_CP008706.1,Op199
ABUW_0355,astE,378041,379015,+,succinylglutamate desuccinylase,Amino acid transport and metabolism,,GacA,CP008706.1,AKA30141.1,ABUW_RS01740,NZ_CP008706.1,Op199
ABUW_0356,ABUW_0356,379077,379838,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30142.1,ABUW_RS01745,NZ_CP008706.1,
ABUW_0357,ABUW_0357,380429,380740,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30143.1,ABUW_RS01750,NZ_CP008706.1,Op200
ABUW_0358,ABUW_0358,380776,382131,+,peptidase S8 and S53 subtilisin,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30144.1,ABUW_RS01755,NZ_CP008706.1,Op200
ABUW_0359,ABUW_0359,382230,382661,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30145.1,ABUW_RS01760,NZ_CP008706.1,Op201
ABUW_0360,ABUW_0360,382756,383175,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30146.1,ABUW_RS01765,NZ_CP008706.1,Op202
ABUW_0361,ABUW_0361,383324,384190,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA30147.1,ABUW_RS01770,NZ_CP008706.1,Op203
ABUW_0362,ABUW_0362,384299,385201,+,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA30148.1,ABUW_RS01775,NZ_CP008706.1,Op204
ABUW_0363,ABUW_0363,385237,385521,+,YCII-related protein,Function unknown,,,CP008706.1,AKA30149.1,ABUW_RS01780,NZ_CP008706.1,Op204
ABUW_0364,ABUW_0364,385595,386662,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30150.1,ABUW_RS01785,NZ_CP008706.1,Op205
ABUW_0365,ABUW_0365,386667,387299,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30151.1,ABUW_RS01790,NZ_CP008706.1,Op205
ABUW_0366,glyS,387343,389412,-,glycyl-tRNA synthetase%2C beta subunit,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30152.1,ABUW_RS01795,NZ_CP008706.1,Op206
ABUW_0367,glyQ,389412,390389,-,glycyl-tRNA synthetase%2C alpha subunit,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30153.1,ABUW_RS01800,NZ_CP008706.1,Op206
ABUW_0368,ABUW_0368,390759,391943,+,tetracycline resistance protein TetA,Amino acid transport and metabolism,,,CP008706.1,AKA30154.1,ABUW_RS01805,NZ_CP008706.1,Op207
ABUW_0369,ABUW_0369,392116,393378,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30155.1,ABUW_RS01810,NZ_CP008706.1,Op208
ABUW_0370,ABUW_0370,393381,394178,+,hypothetical protein,"Replication, recombination and repair",,,CP008706.1,AKA30156.1,ABUW_RS01815,NZ_CP008706.1,Op208
ABUW_0371,ABUW_0371,394311,395411,+,HPP domain protein,Signal transduction mechanisms,,,CP008706.1,AKA30157.1,ABUW_RS01820,NZ_CP008706.1,Op209
ABUW_0372,ABUW_0372,395481,395735,-,phage shock protein C,Transcription,,,CP008706.1,AKA30158.1,ABUW_RS01825,NZ_CP008706.1,
ABUW_0373,ABUW_0373,396016,396636,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30159.1,ABUW_RS01830,NZ_CP008706.1,
ABUW_0374,ABUW_0374,396708,398531,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30160.1,ABUW_RS01835,NZ_CP008706.1,
ABUW_0375,ABUW_0375,398789,401092,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30161.1,ABUW_RS01840,NZ_CP008706.1,
ABUW_0376,aroE,401138,401926,-,shikimate 5-dehydrogenase,Amino acid transport and metabolism,,,CP008706.1,AKA30162.1,ABUW_RS01845,NZ_CP008706.1,Op210
ABUW_0377,hemF,402100,403050,-,coproporphyrinogen III oxidase%2C aerobic,Coenzyme transport and metabolism,,,CP008706.1,AKA30163.1,ABUW_RS01850,NZ_CP008706.1,Op211
ABUW_0378,ribA,403178,403780,-,GTP cyclohydrolase II,Coenzyme transport and metabolism,,,CP008706.1,AKA30164.1,ABUW_RS01855,NZ_CP008706.1,Op212
ABUW_0379,dxs,404084,405988,+,1-deoxy-D-xylulose-5-phosphate synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA30165.1,ABUW_RS01860,NZ_CP008706.1,Op213
ABUW_0380,suhB,406060,406941,+,inositol-1-monophosphate,Carbohydrate transport and metabolism,,,CP008706.1,AKA30166.1,ABUW_RS01865,NZ_CP008706.1,Op214
ABUW_0381,ABUW_0381,407351,409198,+,DEAD/DEAH box helicase,"Replication, recombination and repair",,ABUW_1645,CP008706.1,AKA30167.1,ABUW_RS01870,NZ_CP008706.1,Op215
ABUW_0382,ABUW_0382,409290,409475,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30168.1,ABUW_RS20105,NZ_CP008706.1,Op216
ABUW_0383,mlaF,409590,410420,+,toluene tolerance efflux transporter,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30169.1,ABUW_RS01880,NZ_CP008706.1,Op217
ABUW_0384,mlaE,410417,411196,+,toluene tolerance protein Ttg2B,"Secondary metabolites biosynthesis, transport, and catabolism",,Zur,CP008706.1,AKA30170.1,ABUW_RS01885,NZ_CP008706.1,Op217
ABUW_0385,mlaD,411196,411876,+,toluene tolerance efflux transporter,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30171.1,ABUW_RS01890,NZ_CP008706.1,Op217
ABUW_0386,mlaC,411903,412544,+,toluene tolerance protein,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30172.1,ABUW_RS01895,NZ_CP008706.1,Op218
ABUW_0387,mlaB,412556,412843,+,anti-sigma factor antagonist,Function unknown,,,CP008706.1,AKA30173.1,ABUW_RS01900,NZ_CP008706.1,Op218
ABUW_0388,corA,412913,413926,-,magnesium and cobalt transport protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA30174.1,ABUW_RS01905,NZ_CP008706.1,
ABUW_0389,ABUW_0389,414084,414665,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30175.1,ABUW_RS01910,NZ_CP008706.1,Op219
ABUW_0390,ABUW_0390,414680,415081,+,hydrolase%2C NUDIX family protein,Nucleotide transport and metabolism,,,CP008706.1,AKA30176.1,ABUW_RS01915,NZ_CP008706.1,Op219
ABUW_0391,ABUW_0391,415084,415719,-,competence protein F,Function unknown,,,CP008706.1,AKA30177.1,ABUW_RS01920,NZ_CP008706.1,Op220
ABUW_0392,recG,415712,417757,-,ATP-dependent DNA helicase RecG,"Replication, recombination and repair",,,CP008706.1,AKA30178.1,ABUW_RS01925,NZ_CP008706.1,Op220
ABUW_0393,ABUW_0393,417778,418593,+,NAD dependent epimerase/dehydratase family,Carbohydrate transport and metabolism,,,CP008706.1,AKA30179.1,ABUW_RS01930,NZ_CP008706.1,Op221
ABUW_0394,ABUW_0394,418673,419659,+,putative RND type efflux pump involved in aminoglycoside resistance,Carbohydrate transport and metabolism,,,CP008706.1,AKA30180.1,ABUW_RS01935,NZ_CP008706.1,Op222
ABUW_0395,plsB,419703,422276,-,glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA30181.1,ABUW_RS01940,NZ_CP008706.1,
ABUW_0396,tesB,422552,423424,+,acyl-CoA thioesterase,Lipid transport and metabolism,,,CP008706.1,AKA30182.1,ABUW_RS01945,NZ_CP008706.1,Op223
ABUW_0397,ABUW_0397,423477,424796,+,sodium:dicarboxylate symporter,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30183.1,ABUW_RS01950,NZ_CP008706.1,Op224
ABUW_0398,ABUW_0398,424839,425786,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30184.1,ABUW_RS01955,NZ_CP008706.1,Op225
ABUW_0399,ABUW_0399,425913,426689,-,GTP-binding protein,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA30185.1,ABUW_RS01960,NZ_CP008706.1,Op226
ABUW_0400,ABUW_0400,426798,427235,-,transcriptional regulator%2C BadM/Rrf2 family,Transcription,,NsrR,CP008706.1,AKA30186.1,ABUW_RS01965,NZ_CP008706.1,Op227
ABUW_0401,ABUW_0401,427321,428085,-,flavohemoprotein,Energy production and conversion,,"NsrR,AbaM",CP008706.1,AKA30187.1,ABUW_RS01970,NZ_CP008706.1,Op228
ABUW_0402,ABUW_0402,428231,429778,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30188.1,ABUW_RS01975,NZ_CP008706.1,Op229
ABUW_0403,ABUW_0403,429822,431012,-,cystathionine beta-lyase PLP-dependent,Amino acid transport and metabolism,,,CP008706.1,AKA30189.1,ABUW_RS01980,NZ_CP008706.1,Op230
ABUW_0404,ABUW_0404,431180,431908,+,glutamine amidotransferase%2C class I,Nucleotide transport and metabolism,,,CP008706.1,AKA30190.1,ABUW_RS01985,NZ_CP008706.1,Op231
ABUW_0405,rpsJ,432160,432471,+,ribosomal protein S10,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30191.1,ABUW_RS01990,NZ_CP008706.1,Op232
ABUW_0406,rplC,432529,433167,+,ribosomal protein L3,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30192.1,ABUW_RS01995,NZ_CP008706.1,Op233
ABUW_0407,rplD,433179,433781,+,ribosomal protein L4/L1e,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30193.1,ABUW_RS02000,NZ_CP008706.1,Op233
ABUW_0408,rplW,433778,434098,+,ribosomal protein L23,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30194.1,ABUW_RS02005,NZ_CP008706.1,Op233
ABUW_0409,rplB,434110,434934,+,ribosomal protein L2,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30195.1,ABUW_RS02010,NZ_CP008706.1,Op233
ABUW_0410,rpsS,434948,435223,+,ribosomal protein S19,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30196.1,ABUW_RS02015,NZ_CP008706.1,Op233
ABUW_0411,rplV,435235,435564,+,ribosomal protein L22,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30197.1,ABUW_RS02020,NZ_CP008706.1,Op233
ABUW_0412,rpsC,435566,436318,+,ribosomal protein S3,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30198.1,,,Op233
ABUW_0413,rplP,436322,436735,+,ribosomal protein L16,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30199.1,ABUW_RS02030,NZ_CP008706.1,Op233
ABUW_0414,rpmC,436735,436932,+,ribosomal protein L29,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30200.1,ABUW_RS02035,NZ_CP008706.1,Op233
ABUW_0415,rpsQ,436929,437186,+,ribosomal protein S17,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30201.1,ABUW_RS02040,NZ_CP008706.1,Op233
ABUW_0416,rplN,437279,437647,+,ribosomal protein L14,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30202.1,ABUW_RS02045,NZ_CP008706.1,Op234
ABUW_0417,rplX,437657,437974,+,ribosomal protein L24,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30203.1,ABUW_RS02050,NZ_CP008706.1,Op234
ABUW_0418,rplE,437990,438526,+,ribosomal protein L5,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30204.1,ABUW_RS02055,NZ_CP008706.1,Op234
ABUW_0419,rpsN,438536,438841,+,ribosomal protein S14,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30205.1,ABUW_RS02060,NZ_CP008706.1,Op234
ABUW_0420,rpsH,438853,439248,+,ribosomal protein S8,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30206.1,ABUW_RS02065,NZ_CP008706.1,Op234
ABUW_0421,rplF,439262,439795,+,ribosomal protein L6,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30207.1,ABUW_RS02070,NZ_CP008706.1,Op234
ABUW_0422,rplR,439810,440160,+,ribosomal protein L18,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30208.1,ABUW_RS02075,NZ_CP008706.1,Op234
ABUW_0423,rpsE,440163,440660,+,ribosomal protein S5,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30209.1,ABUW_RS02080,NZ_CP008706.1,Op234
ABUW_0424,rpmD,440667,440843,+,ribosomal protein L30,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30210.1,ABUW_RS02085,NZ_CP008706.1,Op234
ABUW_0425,rplO,440847,441287,+,ribosomal protein L15,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30211.1,ABUW_RS02090,NZ_CP008706.1,Op234
ABUW_0426,secY,441294,442652,+,preprotein translocase%2C SecY subunit,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30212.1,ABUW_RS02095,NZ_CP008706.1,Op235
ABUW_0427,rpmJ,442673,442789,+,ribosomal protein L36,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30213.1,ABUW_RS02100,NZ_CP008706.1,Op235
ABUW_0428,rpsM,442897,443253,+,ribosomal protein S13,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30214.1,ABUW_RS02105,NZ_CP008706.1,Op236
ABUW_0429,rpsK,443273,443659,+,ribosomal protein S11,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30215.1,ABUW_RS02110,NZ_CP008706.1,Op236
ABUW_0430,rpsD,443672,444298,+,ribosomal protein S4,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30216.1,ABUW_RS02115,NZ_CP008706.1,Op236
ABUW_0431,rpoA,444316,445323,+,DNA-directed RNA polymerase%2C alpha subunit,Transcription,,,CP008706.1,AKA30217.1,ABUW_RS02120,NZ_CP008706.1,Op236
ABUW_0432,rplQ,445342,445719,+,ribosomal protein L17,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30218.1,ABUW_RS02125,NZ_CP008706.1,Op236
ABUW_0433,ABUW_0433,445900,447390,+,flavin-containing monooxygenase FMO,Inorganic ion transport and metabolism,,,CP008706.1,AKA30219.1,ABUW_RS02130,NZ_CP008706.1,Op237
ABUW_0434,fadE,447440,448612,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30220.1,ABUW_RS02135,NZ_CP008706.1,
ABUW_0435,ABUW_0435,448800,449057,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30221.1,ABUW_RS02140,NZ_CP008706.1,Op238
ABUW_0436,ABUW_0436,449163,449453,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30222.1,ABUW_RS02145,NZ_CP008706.1,Op238
ABUW_0437,ABUW_0437,449889,449990,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30223.1,,,
ABUW_0438,ABUW_0438,450223,451308,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30224.1,ABUW_RS02150,NZ_CP008706.1,Op239
ABUW_0439,ABUW_0439,451386,451952,+,rhomboid family peptidase,Function unknown,,,CP008706.1,AKA30225.1,ABUW_RS02155,NZ_CP008706.1,Op240
ABUW_0440,ABUW_0440,452140,454335,+,TRAP C4-dicarboxylate transport system permease,Carbohydrate transport and metabolism,,,CP008706.1,AKA30226.1,ABUW_RS02160,NZ_CP008706.1,Op241
ABUW_0441,ABUW_0441,454483,454914,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30227.1,ABUW_RS02165,NZ_CP008706.1,Op242
ABUW_0442,ABUW_0442,454926,455135,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30228.1,ABUW_RS02170,NZ_CP008706.1,Op242
ABUW_0443,prlC,455176,457215,-,oligopeptidase A,Amino acid transport and metabolism,,,CP008706.1,AKA30229.1,ABUW_RS02175,NZ_CP008706.1,Op242
ABUW_0444,rnr,457364,459781,-,ribonuclease R,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30230.1,ABUW_RS02180,NZ_CP008706.1,Op243
ABUW_0448,ABUW_0448,460444,461037,+,HAD-superfamily subfamily IB hydrolase,Amino acid transport and metabolism,,,CP008706.1,AKA30231.1,ABUW_RS02200,NZ_CP008706.1,Op244
ABUW_0449,ABUW_0449,461097,463520,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA30232.1,ABUW_RS02205,NZ_CP008706.1,
ABUW_0451,ABUW_0451,464311,465003,-,nitroreductase family protein,Function unknown,,,CP008706.1,AKA30233.1,ABUW_RS02215,NZ_CP008706.1,
ABUW_0452,ABUW_0452,465228,465725,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30234.1,ABUW_RS02220,NZ_CP008706.1,Op245
ABUW_0453,ABUW_0453,465765,466406,+,fumarylacetoacetate hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA30235.1,ABUW_RS02225,NZ_CP008706.1,Op245
ABUW_0454,ABUW_0454,466483,467277,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA30236.1,ABUW_RS02230,NZ_CP008706.1,
ABUW_0455,ABUW_0455,467383,468297,+,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA30237.1,ABUW_RS02235,NZ_CP008706.1,
ABUW_0456,ABUW_0456,468318,469565,-,putative ribonuclease,Function unknown,,,CP008706.1,AKA30238.1,ABUW_RS02240,NZ_CP008706.1,
ABUW_0457,wrbA,469853,470446,+,flavodoxin/nitric oxide synthase,Function unknown,,,CP008706.1,AKA30239.1,ABUW_RS02245,NZ_CP008706.1,
ABUW_0458,xpt,470499,471074,-,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,,,CP008706.1,AKA30240.1,ABUW_RS02250,NZ_CP008706.1,Op246
ABUW_0459,ABUW_0459,471147,471860,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30241.1,ABUW_RS02255,NZ_CP008706.1,Op247
ABUW_0460,ABUW_0460,472018,472689,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30242.1,ABUW_RS02260,NZ_CP008706.1,Op248
ABUW_0461,ABUW_0461,472920,473804,+,TonB family protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30243.1,ABUW_RS02265,NZ_CP008706.1,
ABUW_0462,ABUW_0462,473894,474370,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30244.1,ABUW_RS02270,NZ_CP008706.1,Op249
ABUW_0463,phoL,474380,475468,-,phosphate starvation-inducible protein,Signal transduction mechanisms,,,CP008706.1,AKA30245.1,ABUW_RS02275,NZ_CP008706.1,Op249
ABUW_0464,miaB,475506,476957,-,tRNA-i(6)A37 thiotransferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30246.1,ABUW_RS02280,NZ_CP008706.1,Op250
ABUW_0465,ABUW_0465,477204,479189,+,lytic transglycosylase%2C catalytic,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30247.1,ABUW_RS02285,NZ_CP008706.1,Op251
ABUW_0466,ABUW_0466,479247,479909,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30248.1,ABUW_RS02290,NZ_CP008706.1,Op252
ABUW_0467,mdh,480121,481107,+,malate dehydrogenase,Energy production and conversion,,,CP008706.1,AKA30249.1,ABUW_RS02295,NZ_CP008706.1,Op253
ABUW_0468,ABUW_0468,481271,481516,+,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA30250.1,ABUW_RS02300,NZ_CP008706.1,Op254
ABUW_0469,ABUW_0469,481565,482092,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30251.1,ABUW_RS02305,NZ_CP008706.1,Op255
ABUW_0470,ABUW_0470,482160,482765,-,oxygenase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA30252.1,ABUW_RS02310,NZ_CP008706.1,Op256
ABUW_0471,ABUW_0471,482883,483740,+,S-adenosyl-L-methionine-dependent methyltransferase family protein,Function unknown,,,CP008706.1,AKA30253.1,ABUW_RS02315,NZ_CP008706.1,Op257
ABUW_0472,pssA,483782,484615,+,CDP-diacylglycerol--serine O-phosphatidyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA30254.1,ABUW_RS02320,NZ_CP008706.1,Op258
ABUW_0473,ABUW_0473,484634,485701,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30255.1,,,Op258
ABUW_0479,ABUW_0479,491708,492058,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30256.1,ABUW_RS02355,NZ_CP008706.1,Op259
ABUW_0480,ABUW_0480,492078,492641,+,hypothetical protein,Function unknown,,,CP008706.1,AKA30257.1,ABUW_RS02360,NZ_CP008706.1,Op259
ABUW_0481,ABUW_0481,492778,493941,+,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30258.1,ABUW_RS02365,NZ_CP008706.1,Op260
ABUW_0482,ABUW_0482,493973,494572,-,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA30259.1,ABUW_RS02370,NZ_CP008706.1,
ABUW_0483,ABUW_0483,494607,494738,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA30260.1,,,
ABUW_0484,ABUW_0484,494759,496564,+,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA30261.1,ABUW_RS02375,NZ_CP008706.1,Op261
ABUW_0485,ABUW_0485,496585,497496,+,oxidoreductase short-chain dehydrogenase/reductase family,Lipid transport and metabolism,,,CP008706.1,AKA30262.1,ABUW_RS02380,NZ_CP008706.1,Op261
ABUW_0486,ABUW_0486,497507,499120,+,methylcrotonoyl-CoA carboxylase beta chain,Lipid transport and metabolism,,,CP008706.1,AKA30263.1,ABUW_RS02385,NZ_CP008706.1,Op261
ABUW_0487,ABUW_0487,499163,500320,+,acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA30264.1,ABUW_RS02390,NZ_CP008706.1,Op262
ABUW_0488,ABUW_0488,500331,501164,+,enoyl-CoA hydratase,Lipid transport and metabolism,,,CP008706.1,AKA30265.1,ABUW_RS02395,NZ_CP008706.1,Op262
ABUW_0489,ABUW_0489,501183,503123,+,acetyl-/propionyl-coenzyme A carboxylase alpha chain,Lipid transport and metabolism,,,CP008706.1,AKA30266.1,ABUW_RS02400,NZ_CP008706.1,Op262
ABUW_0490,ABUW_0490,503227,503883,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA30267.1,ABUW_RS02405,NZ_CP008706.1,Op263
ABUW_0491,sspB,503901,504329,-,stringent starvation protein B,Function unknown,,,CP008706.1,AKA30268.1,ABUW_RS02410,NZ_CP008706.1,Op263
ABUW_0492,sspA,504336,504989,-,stringent starvation protein A,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA30269.1,ABUW_RS02415,NZ_CP008706.1,Op263
ABUW_0493,rpsI,505160,505546,-,ribosomal protein S9,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30270.1,ABUW_RS02420,NZ_CP008706.1,Op264
ABUW_0494,rplM,505559,505987,-,ribosomal protein L13,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30271.1,ABUW_RS02425,NZ_CP008706.1,Op264
ABUW_0495,pdxA,506169,507143,+,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,,,CP008706.1,AKA30272.1,ABUW_RS02430,NZ_CP008706.1,Op265
ABUW_0496,ksgA,507167,507979,+,dimethyladenosine transferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA30273.1,ABUW_RS02435,NZ_CP008706.1,Op265
ABUW_0497,apaH,507980,508819,+,bis(5'-nucleosyl)-tetraphosphatase,Signal transduction mechanisms,,,CP008706.1,AKA30274.1,ABUW_RS02440,NZ_CP008706.1,Op265
ABUW_0498,ABUW_0498,508862,509305,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30275.1,ABUW_RS02445,NZ_CP008706.1,Op266
ABUW_0499,ABUW_0499,509390,510064,-,LrgB family protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30276.1,ABUW_RS02450,NZ_CP008706.1,Op267
ABUW_0500,ABUW_0500,510075,510446,-,hypothetical protein,Function unknown,,,CP008706.1,AKA30277.1,ABUW_RS02455,NZ_CP008706.1,Op267
ABUW_0501,hflX,510489,511823,-,GTP-binding protein,Function unknown,,,CP008706.1,AKA30278.1,ABUW_RS02460,NZ_CP008706.1,Op268
ABUW_0502,ABUW_0502,512027,512836,+,phospholipid/glycerol acyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA30279.1,ABUW_RS02465,NZ_CP008706.1,
ABUW_0503,ABUW_0503,512837,514462,-,phospholipase D/transphosphatidylase,Lipid transport and metabolism,,,CP008706.1,AKA30280.1,ABUW_RS02470,NZ_CP008706.1,
ABUW_0504,ABUW_0504,514569,515579,+,Ser/Thr protein phosphatase family protein,Function unknown,,,CP008706.1,AKA30281.1,ABUW_RS02475,NZ_CP008706.1,
ABUW_0505,ABUW_0505,515627,516106,-,OmpA/MotB,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA30282.1,ABUW_RS02480,NZ_CP008706.1,Op269
