,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
PSPTO_0915,cheY-1,996882,997250,-,response regulator,Signal transduction mechanisms,A0A099SPI3,
PSPTO_0916,PSPTO_0916,997260,998474,-,methyl-accepting chemotaxis protein,Cell motility,A0A0N0WVK9,
PSPTO_RS04845,PSPTO_RS04845,998643,998906,+,DUF1534 domain-containing protein,No COG annotation,UPI0009B3AC8B,
PSPTO_0917,ndH,998903,1000201,-,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A0N0FN06,
PSPTO_0919,PSPTO_0919,1000418,1000951,-,MOSC domain-containing protein,Function unknown,A0A099SPH2,
PSPTO_0920,PSPTO_0920,1000948,1001577,-,DUF1780 domain-containing protein,Function unknown,A0A0K8M217,
PSPTO_RS04865,PSPTO_RS04865,1001774,1002100,+,hypothetical protein,No COG annotation,A0A2V4P330,
PSPTO_0922,yacG,1002367,1002576,-,DNA gyrase inhibitor YacG,Function unknown,A0A0P9QLP1,
PSPTO_0923,coaE,1002573,1003196,-,dephospho-CoA kinase,Nucleotide transport and metabolism,A0A099SSN1,
PSPTO_0924,pilD,1003193,1004065,-,prepilin peptidase,Cell wall/membrane/envelope biogenesis,A0A0P9U3L0,
PSPTO_0925,pilC,1004067,1005284,-,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0Q0CNR3,
PSPTO_0926,pilB,1005287,1006981,-,type IV-A pilus assembly ATPase PilB,Cell motility,Q888U0,
PSPTO_0927,PSPTO_0927,1007206,1007634,+,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,Q888T9,
PSPTO_0928,PSPTO_0928,1007830,1008198,-,helix-turn-helix transcriptional regulator,Transcription,A0A0Q0BVR6,
PSPTO_0929,gstA,1008356,1008976,+,glutathione transferase GstA,Coenzyme transport and metabolism,A0A0Q0D0D3,
PSPTO_0930,PSPTO_0930,1009217,1009909,+,MerR family transcriptional regulator,Function unknown,A0A0N0FN10,
PSPTO_0931,PSPTO_0931,1009906,1010313,+,hypothetical protein,No COG annotation,Q888T5,
PSPTO_0932,PSPTO_0932,1010358,1010903,-,DUF1523 family protein,Function unknown,A0A0N8QP43,
PSPTO_0933,PSPTO_0933,1011024,1012022,+,ATP-grasp domain-containing protein,Coenzyme transport and metabolism,A0A0N0WVP7,
PSPTO_0934,PSPTO_0934,1012077,1013225,+,trypsin-like peptidase domain-containing protein,"Post-translational modification, protein turnover,and chaperones",A0A099SSM4,
PSPTO_0935,PSPTO_0935,1013292,1014425,+,phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0Q0CNR6,
PSPTO_0936,PSPTO_0936,1014418,1015176,+,hypothetical protein,Function unknown,A0A0N0G177,
PSPTO_0937,PSPTO_0937,1015169,1016263,+,cysteine protease StiP family protein,"Translation, ribosomal structure and biogenesis",A0A0P9TDV2,
PSPTO_0938,PSPTO_0938,1016263,1017213,+,HpcH/HpaI aldolase/citrate lyase family protein,Carbohydrate transport and metabolism,A0A099SQ70,
PSPTO_0939,PSPTO_0939,1017214,1017960,+,HAD-IB family hydrolase,Amino acid transport and metabolism,A0A0P9M9Y3,
PSPTO_0940,terZ,1018008,1018601,+,tellurium resistance TerZ family protein,Signal transduction mechanisms,A0A099SPF0,
PSPTO_0941,terA,1018598,1019803,+,TerD family protein,Signal transduction mechanisms,A0A0Q0BL31,
PSPTO_0942,terB,1019855,1020304,+,tellurite resistance TerB family protein,Inorganic ion transport and metabolism,A0A099SPG1,
PSPTO_0943,terC,1020331,1021365,+,TerC/Alx family metal homeostasis membrane protein,Inorganic ion transport and metabolism,A0A099SQ67,
PSPTO_0944,terD,1021393,1021968,+,TerD family protein,Signal transduction mechanisms,A0A099SSL5,
PSPTO_0945,terE,1022006,1022584,+,TerD family protein,Signal transduction mechanisms,A0A0N0WEQ1,
PSPTO_RS04990,PSPTO_RS04990,1022755,1022829,+,hypothetical protein,No COG annotation,UPI000D8D057A,
PSPTO_0946,PSPTO_0946,1022855,1024093,-,VWA domain-containing protein,Signal transduction mechanisms,Q888S0,
PSPTO_0947,PSPTO_0947,1024154,1025224,-,TIGR00266 family protein,Function unknown,A0A099SPF7,
PSPTO_0948,nadC,1025270,1026118,-,carboxylating nicotinate-nucleotide diphosphorylase,Coenzyme transport and metabolism,A0A0Q0F0V5,
PSPTO_0949,PSPTO_0949,1026472,1028727,+,DUF1631 domain-containing protein,Cell motility,A0A0N8T6I6,
PSPTO_0950,ampD,1029038,1029586,+,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,Defense mechanisms,A0A0Q0D8B7,
PSPTO_0951,ampE,1029602,1030438,+,regulatory signaling modulator protein AmpE,Defense mechanisms,A0A0Q0F0V8,
PSPTO_0952,PSPTO_0952,1030586,1031389,-,TatD family hydrolase,"Replication, recombination and repair",A0A0Q0BEA2,
PSPTO_0953,cra,1031386,1032381,-,catabolite repressor/activator,Transcription,A0A099SQ60,Cra
PSPTO_0954,ptsP,1032736,1035603,+,phosphoenolpyruvate--protein phosphotransferase,Carbohydrate transport and metabolism,A0A0Q0CS19,Cra
PSPTO_0955,pfkB,1035603,1036544,+,1-phosphofructokinase,Coenzyme transport and metabolism,A0A099SPD6,Cra
PSPTO_0956,PSPTO_0956,1036557,1038311,+,PTS fructose-like transporter subunit IIB,Carbohydrate transport and metabolism,Q888R0,Cra
PSPTO_0957,phbA-1,1038333,1039511,-,acetyl-CoA C-acetyltransferase,Lipid transport and metabolism,A0A0Q0ETG0,
PSPTO_0958,PSPTO_0958,1039650,1040516,-,DUF2236 domain-containing protein,Function unknown,Q888Q8,
PSPTO_0959,pgi,1040763,1042427,-,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,A0A0Q0HNK0,
PSPTO_0960,panC,1042670,1043521,-,pantoate--beta-alanine ligase,Coenzyme transport and metabolism,A0A099SPD0,
PSPTO_0961,panB,1043518,1044318,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,A0A0N0WFN6,
PSPTO_0962,folK,1044547,1045053,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,A0A0N8QJZ7,
PSPTO_0963,pcnB,1045046,1046449,-,polynucleotide adenylyltransferase PcnB,Coenzyme transport and metabolism,A0A099SQ54,
PSPTO_0964,PSPTO_0964,1047150,1048586,-,sigma-54-dependent Fis family transcriptional regulator,Signal transduction mechanisms,Q888Q2,
PSPTO_0965,PSPTO_0965,1048609,1051563,-,sensor histidine kinase,Signal transduction mechanisms,UPI000357074D,
PSPTO_0966,PSPTO_0966,1051547,1051723,-,hypothetical protein,Function unknown,A0A077LIH6,
PSPTO_0967,PSPTO_0967,1051822,1052709,-,tRNA glutamyl-Q(34) synthetase GluQRS,"Translation, ribosomal structure and biogenesis",A0A099SPD7,
PSPTO_0968,PSPTO_0968,1053296,1054720,-,IS1182-like element ISPsy6 family transposase,"Replication, recombination and repair",A0A0P9UBL2,
PSPTO_0969,dksA,1054836,1055276,-,RNA polymerase-binding protein DksA,Signal transduction mechanisms,A0A099SQ50,
PSPTO_0970,PSPTO_0970,1055626,1056798,+,pyridoxal phosphate-dependent aminotransferase,Amino acid transport and metabolism,A0A0N0WTY3,AlgU
PSPTO_0971,sfsA,1056798,1057511,+,DNA/RNA nuclease SfsA,Function unknown,A0A0P9K586,
PSPTO_0972,PSPTO_0972,1057534,1057866,-,Rieske (2Fe-2S) protein,Inorganic ion transport and metabolism,A0A0N0FZZ6,
PSPTO_0973,deoC,1058084,1058863,+,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,A0A0Q0BSW8,
PSPTO_0975,PSPTO_0975,1059244,1059588,-,pentapeptide repeat-containing protein,Function unknown,A0A0N0WFC5,
PSPTO_0976,PSPTO_0976,1059690,1061228,-,bifunctional aminoglycoside phosphotransferase/ATP-binding protein,Function unknown,A0A0Q0CL75,
PSPTO_0977,mrcB,1061359,1063680,+,penicillin-binding protein 1B,Cell wall/membrane/envelope biogenesis,A0A099SSJ4,
PSPTO_0978,PSPTO_0978,1063737,1064438,+,hypothetical protein,Coenzyme transport and metabolism,UPI0001E279E7,
PSPTO_0979,PSPTO_0979,1064438,1064767,+,YqcC family protein,Function unknown,A0A099SRW6,
PSPTO_0980,PSPTO_0980,1064777,1065193,-,DUF4124 domain-containing protein,Function unknown,A0A099SPC6,
PSPTO_0981,ilvB,1065591,1067315,+,acetolactate synthase 3 large subunit,Coenzyme transport and metabolism,A0A0N0WU09,
PSPTO_0982,ilvN,1067318,1067809,+,acetolactate synthase small subunit,Amino acid transport and metabolism,A0A099SQ45,
PSPTO_0983,ilvC,1067857,1068873,+,ketol-acid reductoisomerase,Coenzyme transport and metabolism,A0A099SSJ2,
PSPTO_0984,pssA,1069018,1069869,+,CDP-diacylglycerol--serine O-phosphatidyltransferase,Lipid transport and metabolism,A0A099SPA8,
PSPTO_0985,msrP,1069934,1070947,+,protein-methionine-sulfoxide reductase catalytic subunit MsrP,Energy production and conversion,A0A0N0G9N4,
PSPTO_0986,msrQ,1070947,1071579,+,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,Energy production and conversion,A0A099SPC1,
PSPTO_0987,PSPTO_0987,1077382,1077582,+,hypothetical protein,"Replication, recombination and repair",UPI0006B9431F,
PSPTO_0988,PSPTO_0988,1077641,1080460,-,chromosome segregation ATPase,"Cell cycle control, cell division, chromosome partitioning",A0A0N1JIP2,
PSPTO_0989,PSPTO_0989,1080457,1081164,-,chromosome partitioning protein,Function unknown,A0A0P9PY50,
PSPTO_0990,PSPTO_0990,1081154,1082431,-,hypothetical protein,No COG annotation,A0A0N0G3H7,
PSPTO_0991,PSPTO_0991,1082577,1083380,+,hypothetical protein,Function unknown,A0A0N0G3G2,
PSPTO_0992,rimI,1083373,1083828,+,ribosomal protein S18-alanine N-acetyltransferase,Transcription,A0A099SW10,
PSPTO_0993,PSPTO_0993,1083838,1084245,-,hypothetical protein,No COG annotation,A0A099SYA0,
PSPTO_0994,can,1084494,1085132,+,carbonate dehydratase,Inorganic ion transport and metabolism,A0A099SV87,
PSPTO_0995,PSPTO_0995,1085145,1086770,-,methyl-accepting chemotaxis protein,Cell motility,UPI0002097FAF,
PSPTO_0996,PSPTO_0996,1086926,1087585,-,HD domain-containing protein,Function unknown,A0A2S3URZ6,
PSPTO_0997,PSPTO_0997,1087661,1089664,-,acyltransferase,Cell wall/membrane/envelope biogenesis,A0A0Q0BEH2,
PSPTO_0998,PSPTO_0998,1089913,1090257,+,alkylphosphonate utilization protein,Inorganic ion transport and metabolism,A0A6H3CQ98,
PSPTO_0999,PSPTO_0999,1090603,1091826,+,sugar transporter,Amino acid transport and metabolism,A0A099SW03,
PSPTO_1000,PSPTO_1000,1091889,1092608,-,CDP-alcohol phosphatidyltransferase family protein,Lipid transport and metabolism,A0A099SY97,
PSPTO_1001,PSPTO_1001,1092695,1094710,-,alkaline phosphatase family protein,Inorganic ion transport and metabolism,A0A0N1JGH8,
PSPTO_RS05295,PSPTO_RS05295,1094989,1096628,+,methyl-accepting chemotaxis protein,Cell motility,,
PSPTO_1003,PSPTO_1003,1096637,1097074,-,GNAT family N-acetyltransferase,Transcription,A0A099SV05,
PSPTO_1004,PSPTO_1004,1097150,1098346,-,GGDEF domain-containing protein,Signal transduction mechanisms,A0A099SVZ9,
PSPTO_1005,gmd,1098690,1099736,+,GDP-mannose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,A0A0N0WSA2,
PSPTO_1007,PSPTO_1007,1099814,1100773,-,GDP-mannose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,A0A0N0WS75,
PSPTO_1008,PSPTO_1008,1101005,1102318,+,PAS domain-containing methyl-accepting chemotaxis protein,Cell motility,UPI00030BB5DB,
PSPTO_RS05325,PSPTO_RS05325,1102552,1102826,+,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_1009,PSPTO_1009,1102902,1103528,-,hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0N0G0I0,
PSPTO_1010,phoD,1103683,1105254,-,alkaline phosphatase D,Inorganic ion transport and metabolism,A0A0N0G0G6,
PSPTO_1011,PSPTO_1011,1105251,1105814,-,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",A0A0Q0B8D5,
PSPTO_1012,PSPTO_1012,1106014,1106421,+,biopolymer transporter ExbD,"Intracellular trafficking, secretion, and vesicular transport",A0A0D0MWN7,
PSPTO_1013,PSPTO_1013,1106421,1107206,+,energy transducer TonB,Cell wall/membrane/envelope biogenesis,A0A3M3BK85,
PSPTO_1014,PSPTO_1014,1107227,1109509,+,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,A0A3M3BJ93,
PSPTO_1015,PSPTO_1015,1109641,1110651,+,tyrosine-type recombinase/integrase,"Replication, recombination and repair",Q888K3,
PSPTO_RS05365,PSPTO_RS05365,1110675,1112087,+,integrase,"Replication, recombination and repair",,
PSPTO_1017,tnpB,1112176,1112532,+,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_1018,PSPTO_1018,1112550,1112735,+,hypothetical protein,"Replication, recombination and repair",UPI0002DDBF62,
PSPTO_1019,tnpB,1112781,1113137,+,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_1020,PSPTO_1020,1113155,1114708,+,IS66-like element ISPsy5 family transposase,"Replication, recombination and repair",A0A2V4P180,
PSPTO_1021,PSPTO_1021,1114745,1115488,+,integrase,"Replication, recombination and repair",UPI0006214ED7,
PSPTO_1022,hopAM1-1,1115514,1116344,-,type III effector,No COG annotation,A0A3M3A4I2,
PSPTO_1023,PSPTO_1023,1116491,1117102,+,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000516DA4B,
PSPTO_1024,PSPTO_1024,1117166,1118434,+,phospholipase,Lipid transport and metabolism,A0A0Q0HSC3,
PSPTO_1025,PSPTO_1025,1118502,1119704,+,MltA domain-containing protein,Cell wall/membrane/envelope biogenesis,UPI0002099780,
PSPTO_1026,yhjQ,1119987,1121132,+,cellulose synthase operon protein YhjQ,"Cell cycle control, cell division, chromosome partitioning",A0A0Q0EWG4,
PSPTO_1027,bcsA,1121129,1123348,+,UDP-forming cellulose synthase catalytic subunit,Cell wall/membrane/envelope biogenesis,A0A0Q0BPI8,
PSPTO_1028,PSPTO_1028,1123363,1125618,+,cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB,Cell wall/membrane/envelope biogenesis,A0A0N0G0G7,
PSPTO_1029,bcsZ,1125622,1126833,+,cellulase,Carbohydrate transport and metabolism,A0A0N1JH98,
PSPTO_1030,wssE,1126809,1130705,+,cellulose biosynthesis protein BcsC,"Cell cycle control, cell division, chromosome partitioning",UPI00031C78AC,
PSPTO_1031,wssF,1130721,1131386,+,SGNH/GDSL hydrolase family protein,"Cell cycle control, cell division, chromosome partitioning",A0A0N8RGU3,
PSPTO_1032,wssG,1131383,1132057,+,alginate O-acetyltransferase AlgF,"Cell cycle control, cell division, chromosome partitioning",A0A0N0WUN4,
PSPTO_1033,wssH,1132076,1133491,+,MBOAT family protein,Cell wall/membrane/envelope biogenesis,A0A0N0WVH3,
PSPTO_1034,wssI,1133503,1134654,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",A0A3M3BA90,
PSPTO_RS05460,PSPTO_RS05460,1134753,1135025,-,hypothetical protein,No COG annotation,A0A099SV57,
PSPTO_RS05465,PSPTO_RS05465,1135027,1137074,-,colicin transporter,Function unknown,,
PSPTO_1037,PSPTO_1037,1137307,1137768,-,RES family NAD+ phosphorylase,Function unknown,A0A0N0G0H4,
PSPTO_1038,PSPTO_1038,1137765,1138214,-,DUF2384 domain-containing protein,Function unknown,A0A099SVX7,
PSPTO_1039,PSPTO_1039,1138505,1139509,+,response regulator,Signal transduction mechanisms,A0A099SY73,
PSPTO_1040,PSPTO_1040,1139513,1139995,+,PAS domain-containing protein,Signal transduction mechanisms,A0A099SV53,
PSPTO_1041,aroA,1140091,1141347,+,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid transport and metabolism,A0A0N8T5G6,
PSPTO_1042,PSPTO_1042,1141370,1142032,-,cupin domain-containing protein,Signal transduction mechanisms,A0A099SUY2,
PSPTO_1043,PSPTO_1043,1142032,1142544,-,sigma-70 family RNA polymerase sigma factor,Transcription,A0A6H3D530,
PSPTO_RS29855,PSPTO_RS29855,1143178,1143444,+,hypothetical protein,No COG annotation,UPI0009455D70,
PSPTO_1045,vapC,1143628,1144032,-,tRNA(fMet)-specific endonuclease VapC,Function unknown,A0A0N0G0J5,
PSPTO_1046,PSPTO_1046,1144032,1144262,-,antitoxin,Function unknown,A0A0K8LU44,
PSPTO_1047,PSPTO_1047,1144377,1145258,-,aldose 1-epimerase,Carbohydrate transport and metabolism,A0A3M3BTR9,PSPTO_3283
PSPTO_1048,PSPTO_1048,1145233,1146204,-,DMT family transporter,Amino acid transport and metabolism,A0A0N1JH63,PSPTO_3283
PSPTO_1049,dctM,1146288,1147568,-,TRAP transporter large permease,Carbohydrate transport and metabolism,A0A0Q0CGH1,PSPTO_3283
PSPTO_1050,PSPTO_1050,1147569,1148096,-,TRAP transporter small permease,Carbohydrate transport and metabolism,A0A099SY66,PSPTO_3283
PSPTO_1051,dctP,1148160,1149185,-,TRAP transporter substrate-binding protein,Carbohydrate transport and metabolism,A0A099SV42,PSPTO_3283
PSPTO_1052,PSPTO_1052,1149242,1150126,-,SMP-30/gluconolactonase/LRE family protein,Carbohydrate transport and metabolism,A0A0N8T5G4,PSPTO_3283
PSPTO_1053,PSPTO_1053,1150183,1151010,-,NAD(P)-dependent oxidoreductase,Cell wall/membrane/envelope biogenesis,A0A0Q0EUQ0,PSPTO_3283
PSPTO_1054,PSPTO_1054,1151189,1152457,-,OprD family porin,Function unknown,A0A099SVW6,
PSPTO_1056,PSPTO_1056,1152922,1153686,+,SDR family oxidoreductase,Lipid transport and metabolism,A0A099SY64,
PSPTO_1057,PSPTO_1057,1153738,1154148,-,putative toxin-antitoxin system toxin component%2C PIN family,Function unknown,A0A0Q0CGG0,
PSPTO_1058,PSPTO_1058,1154148,1154387,-,ribbon-helix-helix domain-containing protein,Function unknown,A0A0P9LJU1,
PSPTO_1059,PSPTO_1059,1154539,1156461,-,methyl-accepting chemotaxis protein,Signal transduction mechanisms,A0A0P9JTC5,
PSPTO_1061,PSPTO_1061,1156819,1158699,+,methyl-accepting chemotaxis protein,Cell motility,Q888G3,
PSPTO_1062,PSPTO_1062,1158828,1159091,-,hypothetical protein,No COG annotation,A0A0Q0HQD4,
PSPTO_RS05590,PSPTO_RS05590,1160325,1161152,-,IS5 family transposase,"Replication, recombination and repair",,
PSPTO_RS05595,PSPTO_RS05595,1161157,1161348,-,hypothetical protein,No COG annotation,,
PSPTO_RS05600,PSPTO_RS05600,1161594,1162566,-,site-specific integrase,No COG annotation,,
PSPTO_1065,PSPTO_1065,1162781,1163902,-,J domain-containing protein,"Post-translational modification, protein turnover,and chaperones",A0A0Q0BS11,
PSPTO_1066,PSPTO_1066,1164246,1166303,+,methyl-accepting chemotaxis protein,Cell motility,A0A0Q0DHP6,
PSPTO_1067,PSPTO_1067,1166594,1167493,+,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,UPI000209798C,
PSPTO_1068,PSPTO_1068,1167577,1169136,-,hypothetical protein,No COG annotation,A0A3M3AIM4,
PSPTO_1069,PSPTO_1069,1169280,1169681,-,GtrA family protein,Function unknown,A0A0N8QMX0,
PSPTO_1070,PSPTO_1070,1169689,1170639,-,WxcM-like domain-containing protein,Function unknown,A0A0Q0BQJ8,
PSPTO_1071,PSPTO_1071,1170626,1171576,-,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,A0A0N0FK21,
PSPTO_1072,PSPTO_1072,1171573,1172676,-,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,A0A0N8T7N0,
PSPTO_1073,PSPTO_1073,1172691,1174568,-,glycosyltransferase family 39 protein,Function unknown,UPI0002F17B22,
PSPTO_1074,PSPTO_1074,1174632,1179317,-,glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q888F2,
PSPTO_1075,PSPTO_1075,1179310,1180674,-,ABC transporter ATP-binding protein,Carbohydrate transport and metabolism,A0A0Q0DHR1,
PSPTO_1076,PSPTO_1076,1180664,1181491,-,ABC transporter permease,Carbohydrate transport and metabolism,A0A099SVU9,
PSPTO_1077,rfbC,1181491,1182036,-,dTDP-4-dehydrorhamnose 3%2C5-epimerase,Cell wall/membrane/envelope biogenesis,A0A0N0WCD8,
PSPTO_1078,PSPTO_1078,1182707,1183636,-,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,A0A0P9UG44,
PSPTO_1079,rfbA,1183678,1184568,-,glucose-1-phosphate thymidylyltransferase RfbA,Coenzyme transport and metabolism,A0A0Q0BS17,
PSPTO_1080,rfbD,1184565,1185470,-,dTDP-4-dehydrorhamnose reductase,Cell wall/membrane/envelope biogenesis,A0A099SUU1,
PSPTO_1081,rfbB,1185470,1186543,-,dTDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,A0A0N0X209,
PSPTO_1082,PSPTO_1082,1187114,1187332,+,AlpA family phage regulatory protein,No COG annotation,A0A0P9P4F3,
PSPTO_RS05700,PSPTO_RS05700,1188088,1188378,-,hypothetical protein,No COG annotation,UPI00070E908E,
PSPTO_1083,PSPTO_1083,1188596,1188997,-,peptidase S24,Transcription,Q888E3,
PSPTO_RS05710,PSPTO_RS05710,1189004,1189246,+,hypothetical protein,No COG annotation,UPI0003173AF5,
PSPTO_RS05715,PSPTO_RS05715,1189314,1189535,-,tyrosine-type recombinase/integrase,"Replication, recombination and repair",,
PSPTO_1084,PSPTO_1084,1190000,1190968,-,tyrosine-type recombinase/integrase,"Replication, recombination and repair",A0A0N8T7M8,
PSPTO_1085,PSPTO_1085,1190965,1191342,-,DUF2513 domain-containing protein,Function unknown,A0A0Q0CUC1,
PSPTO_1086,hsdM,1191539,1193269,+,SAM-dependent DNA methyltransferase,Defense mechanisms,A0A0Q0BQL7,
PSPTO_1087,PSPTO_1087,1193259,1194527,+,restriction endonuclease subunit S,Defense mechanisms,Q888D9,
PSPTO_1088,PSPTO_1088,1194524,1195576,+,DUF1016 family protein,"Replication, recombination and repair",A0A0Q0FA32,
PSPTO_1089,PSPTO_1089,1195573,1198695,+,type I restriction endonuclease subunit R,"Replication, recombination and repair",A0A0Q0BS23,
PSPTO_1090,PSPTO_1090,1198881,1199858,-,DUF4868 domain-containing protein,Function unknown,A0A0Q0BQH7,
PSPTO_1091,PSPTO_1091,1199858,1200130,-,hypothetical protein,No COG annotation,UPI0013964180,
PSPTO_1092,mobB-1,1201192,1201506,+,ribbon-helix-helix protein%2C CopG family,No COG annotation,A0A0Q0CUB6,
PSPTO_1093,PSPTO_1093,1201509,1203926,+,relaxase/mobilization nuclease domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0Q0CUC4,
PSPTO_1094,PSPTO_1094,1203937,1204314,+,hypothetical protein,No COG annotation,Q888D2,
PSPTO_RS05775,PSPTO_RS05775,1204320,1204904,-,hypothetical protein,No COG annotation,UPI000708B8E8,
PSPTO_1095,PSPTO_1095,1205057,1206079,+,IS21-like element ISPsy4 family transposase,"Replication, recombination and repair",A0A099SYT7,
PSPTO_1096,PSPTO_1096,1206076,1206885,+,AAA family ATPase,"Replication, recombination and repair",A0A099SW04,
PSPTO_1097,PSPTO_1097,1207138,1209657,+,DotA/TraY family protein,Amino acid transport and metabolism,UPI0013965CDA,
PSPTO_RS05795,PSPTO_RS05795,1209672,1210154,+,Yae1 family protein,No COG annotation,A0A0Q0EUI2,
PSPTO_RS05800,PSPTO_RS05800,1210340,1210948,+,hypothetical protein,No COG annotation,A0A0N8T5F3,
PSPTO_1098,PSPTO_1098,1211249,1212802,-,IS66-like element ISPsy5 family transposase,"Replication, recombination and repair",A0A2V4P180,
PSPTO_1099,tnpB,1212820,1213176,-,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_RS05815,PSPTO_RS05815,1213651,1214499,-,hypothetical protein,No COG annotation,A0A0N8T3J9,
PSPTO_1100,PSPTO_1100,1214486,1215673,-,tyrosine-type recombinase/integrase,"Replication, recombination and repair",A0A0N8T3J8,
PSPTO_1101,ychF,1215889,1216989,-,redox-regulated ATPase YchF,"Translation, ribosomal structure and biogenesis",A0A099SY41,
PSPTO_1102,pth,1217011,1217595,-,aminoacyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",A0A0Q0HAL6,
PSPTO_1103,PSPTO_1103,1217760,1218371,-,50S ribosomal protein L25/general stress protein Ctc,"Translation, ribosomal structure and biogenesis",A0A0Q0EHD1,
PSPTO_1104,prsA,1218509,1219450,-,ribose-phosphate pyrophosphokinase,Nucleotide transport and metabolism,A0A077LI63,
PSPTO_1105,ispE,1219609,1220457,-,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,Nucleotide transport and metabolism,F3IM16,
PSPTO_1106,lolB,1220460,1221077,-,lipoprotein localization protein LolB,Cell wall/membrane/envelope biogenesis,A0A0Q0CLE1,
PSPTO_1107,PSPTO_1107,1221082,1222809,-,tetratricopeptide repeat protein,Function unknown,Q888C3,
PSPTO_1108,hemA,1223036,1224313,+,glutamyl-tRNA reductase,Coenzyme transport and metabolism,A0A099SV09,
PSPTO_1109,prfA,1224310,1225392,+,peptide chain release factor 1,"Translation, ribosomal structure and biogenesis",Q888C1,
PSPTO_1110,prmC,1225393,1226226,+,peptide chain release factor N(5)-glutamine methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0Q0B151,
PSPTO_1111,moeB,1226220,1226990,+,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme transport and metabolism,UPI00030FD4D7,
PSPTO_1112,murI,1226983,1227810,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,A0A0N0WD00,
PSPTO_5636,PSPTO_5636,1228041,1228448,+,acyloxyacyl hydrolase,Cell wall/membrane/envelope biogenesis,A0A0N8RWI3,AlgU
PSPTO_1114,PSPTO_1114,1228770,1229069,-,YkgJ family cysteine cluster protein,Function unknown,UPI000A3096D0,
PSPTO_1115,PSPTO_1115,1229099,1229602,-,DUF2878 domain-containing protein,Function unknown,A0A0N0FYZ0,PSPTO_1122
PSPTO_1116,cfa,1229595,1230863,-,class I SAM-dependent methyltransferase,Cell wall/membrane/envelope biogenesis,Q888B4,PSPTO_1122
PSPTO_1117,PSPTO_1117,1230850,1231650,-,DUF1365 domain-containing protein,Function unknown,A0A099SVT8,PSPTO_1122
PSPTO_1118,PSPTO_1118,1231647,1232894,-,FAD-dependent oxidoreductase,Function unknown,A0A0N0WTJ7,PSPTO_1122
PSPTO_1119,PSPTO_1119,1232891,1233679,-,SDR family NAD(P)-dependent oxidoreductase,Function unknown,A0A0N1JGV3,PSPTO_1122
PSPTO_1120,PSPTO_1120,1233676,1234098,-,nuclear transport factor 2 family protein,Function unknown,A0A0N0WTS8,PSPTO_1122
PSPTO_1121,phrB,1234091,1235539,-,deoxyribodipyrimidine photo-lyase,"Replication, recombination and repair",A0A0N0WSV5,PSPTO_1122
PSPTO_1122,PSPTO_1122,1235549,1236457,-,MerR family transcriptional regulator,Transcription,A0A0N0WSP7,PSPTO_1122
PSPTO_1123,PSPTO_1123,1236463,1237419,-,DUF1722 domain-containing protein,Function unknown,A0A2V4P2R3,PSPTO_1122
PSPTO_1125,PSPTO_1125,1237715,1237930,-,TIGR02450 family Trp-rich protein,Function unknown,A0A0N0WRY5,PSPTO_1122
