,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b1048,1109334,1110870,+,opgG,1536,opgGH,Inorganic ion transport and metabolism,periplasmic protein associated with synthesis of osmoregulated periplasmic glucans (OPGs),,,,"rpoD,rpoE"
b1049,1110862,1113406,+,opgH,2544,opgGH,Cell wall/membrane/envelope biogenesis,membrane glycosyltransferase, synthesis of osmoregulated periplasmic glucans (OPGs),,,"rpoD,rpoE"
b1050,1113578,1113806,+,yceK,228,yceK,Function unknown,predicted lipoprotein,,,,
b1051,1113806,1114181,-,msyB,375,msyB,Function unknown,acidic protein that suppresses heat sensitivity of a <i>secY</i> mutant,,,,rpoS
b1053,1114263,1115490,-,mdtG,1227,mdtG,Carbohydrate transport and metabolism,multidrug efflux pump MdtG,,,,nac
b1054,1115661,1116582,-,lpxL,921,lpxL,Cell wall/membrane/envelope biogenesis,lauroyl acyltransferase,,,,yeiE
b1055,1116806,1117859,+,yceA,1053,yceA,Function unknown,conserved protein,,,,yeiE
b1056,1117900,1118476,-,yceI,576,yceJI,Function unknown,putative protein,,,,"arcA,rpoD,rpoH"
b1057,1118479,1119046,-,yceJ,567,yceJI,Energy production and conversion,predicted cytochrome b561,,,,"arcA,rpoD,rpoH"
b1059,1119467,1120586,-,solA,1119,solA-yceO,Amino acid transport and metabolism,<I>N</I>-methyltryptophan oxidase,,,,
b1060,1120700,1120955,-,bssS,255,bssS,Function unknown,regulator of biofilm formation,,,,"rpoD,rpoH,yhaJ"
b1061,1121241,1121487,-,dinI,246,dinI,"Replication, recombination and repair",DNA damage-inducible protein I,,,,"lexA,nagC,rpoD"
b1062,1121560,1122607,-,pyrC,1047,pyrC,Nucleotide transport and metabolism,dihydroorotase,,,,"fur,purR,rpoD"
b1063,1122712,1123273,-,yceB,561,yceB,Function unknown,predicted lipoprotein,,,,lrp
b1064,1123406,1124054,-,grxB,648,grxB,"Posttranslational modification, protein turnover, chaperones",reduced glutaredoxin 2,,,,rpoD
b1065,1124117,1125326,-,mdtH,1209,mdtH,Inorganic ion transport and metabolism,multidrug efflux pump,,,,
b1066,1125561,1126146,+,rimJ,585,rimJ,"Translation, ribosomal structure and biogenesis",ribosomal-protein-S5-alanine N-acetyltransferase,,,,
b1067,1126156,1126804,+,yceH,648,yceH,Function unknown,conserved protein,,,,
b1068,1126805,1127729,+,yceM,924,yceM,Function unknown,"predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain",,,,
b1069,1127838,1129374,+,murJ,1536,murJ,Function unknown,lipid II flippase,,,,
b1070,1129413,1129830,-,flgN,417,flgAMN,No COG Annotation,flagellar biosynthesis protein FlgN,,,,"csgD,fliA,rpoD"
b1071,1129834,1130128,-,flgM,294,flgAMN,Transcription,anti-sigma factor for FliA (&sigma,<sup>28</sup>),,,"csgD,fliA,rpoD"
b1072,1130203,1130863,-,flgA,660,flgAMN,Cell motility,flagellar biosynthesis, assembly of basal-body periplasmic P ring,,,rpoD
b1073,1131017,1131434,+,flgB,417,flgBCDEFGHIJ,Cell motility,flagellar basal-body rod protein FlgB,,,,rpoD
b1074,1131437,1131842,+,flgC,405,flgBCDEFGHIJ,Cell motility,flagellar basal-body rod protein FlgC,,,,rpoD
b1075,1131853,1132549,+,flgD,696,flgBCDEFGHIJ,Cell motility,"flagellar biosynthesis, initiation of hook assembly",,,,rpoD
b1076,1132573,1133782,+,flgE,1209,flgBCDEFGHIJ,Cell motility,flagellar hook protein FlgE,,,,rpoD
b1077,1133801,1134557,+,flgF,756,flgBCDEFGHIJ,Cell motility,flagellar basal-body rod protein FlgF,,,,rpoD
b1078,1134728,1135511,+,flgG,783,flgBCDEFGHIJ,Cell motility,flagellar basal-body rod protein FlgG,,,,rpoD
b1079,1135563,1136262,+,flgH,699,flgBCDEFGHIJ,Cell motility,flagellar L-ring protein FlgH, basal-body outer-membrane L (lipopolysaccharide layer) ring protein,,,rpoD
b1080,1136273,1137371,+,flgI,1098,flgBCDEFGHIJ,Cell motility,flagellar P-ring protein FlgI,,,,rpoD
b1081,1137370,1138312,+,flgJ,942,flgBCDEFGHIJ,Cell motility,FlgJ,,,,rpoD
b1082,1138377,1140021,+,flgK,1644,flgKL,Cell motility,"flagellar biosynthesis, hook-filament junction protein 1",,,,fliA
b1083,1140032,1140986,+,flgL,954,flgKL,Cell motility,flagellar biosynthesis, hook-filament junction protein,,,fliA
b1084,1141181,1144367,-,rne,3186,rne,"Translation, ribosomal structure and biogenesis",RNase E,,,,rpoD
b1086,1144939,1145899,+,rluC,960,rluC,"Translation, ribosomal structure and biogenesis",23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase,,,,
b1087,1146010,1146595,-,yceF,585,yceF,"Cell cycle control, cell division, chromosome partitioning",m<sup>7</sup>GTP pyrophosphatase,,,,
b1088,1146793,1147315,+,yceD,522,yceD-rpmF-plsX-fabHDG-acpP-fabF,Function unknown,conserved protein,,,,arcA
b1089,1147366,1147540,+,rpmF,174,yceD-rpmF-plsX-fabHDG-acpP-fabF,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L32,,,,arcA
b1090,1147620,1148691,+,plsX,1071,yceD-rpmF-plsX-fabHDG-acpP-fabF,Lipid transport and metabolism,fatty acid/phospholipid synthesis protein,,,,"arcA,rpoD"
b1091,1148758,1149712,+,fabH,954,yceD-rpmF-plsX-fabHDG-acpP-fabF,Lipid transport and metabolism,&beta,-ketoacyl-ACP synthase III,,,"arcA,fadR,rpoD"
b1092,1149727,1150657,+,fabD,930,yceD-rpmF-plsX-fabHDG-acpP-fabF,Lipid transport and metabolism,malonyl-CoA-ACP transacylase,,,,"arcA,fadR,rpoD"
b1093,1150669,1151404,+,fabG,735,yceD-rpmF-plsX-fabHDG-acpP-fabF,Function unknown,3-oxoacyl-[acyl-carrier-protein] reductase subunit,,,,"arcA,fadR,rpoD"
b1094,1151614,1151851,+,acpP,237,yceD-rpmF-plsX-fabHDG-acpP-fabF,Lipid transport and metabolism,apo-[acyl carrier protein],,,,"arcA,rpoD"
b1095,1151938,1153180,+,fabF,1242,yceD-rpmF-plsX-fabHDG-acpP-fabF,Lipid transport and metabolism,&beta,-ketoacyl-ACP synthase II,,,"arcA,rpoD"
b1096,1153299,1154109,+,pabC,810,pabC-mltG-tmk-holB-ycfH,Amino acid transport and metabolism,aminodeoxychorismate lyase,,,,nac
b1097,1154111,1155134,+,yceG,1023,pabC-mltG-tmk-holB-ycfH,Function unknown,endolytic murein transglycosylase,,,,nac
b1098,1155123,1155765,+,tmk,642,pabC-mltG-tmk-holB-ycfH,Nucleotide transport and metabolism,dTMP kinase,,,,nac
b1099,1155761,1156766,+,holB,1005,pabC-mltG-tmk-holB-ycfH,"Replication, recombination and repair","DNA polymerase III, &delta; prime subunit",,,,nac
b1100,1156776,1157574,+,ycfH,798,pabC-mltG-tmk-holB-ycfH,"Replication, recombination and repair",predicted metallodependent hydrolase,,,,nac
b1101,1157868,1159302,+,ptsG,1434,ptsG,Carbohydrate transport and metabolism,glucose PTS permease - PtsG subunit,,,,"arcA,crp,fis,fnr,mlc,rpoD,soxS"
b1102,1159361,1161551,-,fhuE,2190,fhuE,Inorganic ion transport and metabolism,ferric coprogen outer membrane porin FhuE,,,,fur
b1103,1161884,1162244,+,hinT,360,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Nucleotide transport and metabolism,purine nucleoside phosphoramidase,,,,
b1104,1162246,1162624,+,ycfL,378,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Function unknown,putative protein,,,,yeiE
b1105,1162637,1163279,+,lpoB,642,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Function unknown,outer membrane lipoprotein - activator of MrcB activity,,,,
b1106,1163259,1164084,+,thiK,825,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Cell wall/membrane/envelope biogenesis,thiamin kinase,,,,
b1107,1164094,1165120,+,nagZ,1026,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Carbohydrate transport and metabolism,&beta,-N-acetylhexosaminidase,,,
b1108,1165142,1165685,+,ycfP,543,hinT-ycfL-lpoB-thiK-nagZ-ycfP,Function unknown,conserved protein,,,,
b1109,1166084,1167389,+,ndh,1305,ndh,Energy production and conversion,NADH:quinone oxidoreductase II,,,,"arcA,fis,fnr,fur,ihf,nsrR,pdhR,rpoD"
b1110,1167598,1168138,+,ycfJ,540,ycfJ,Cell wall/membrane/envelope biogenesis,putative protein,,,,
b1111,1168199,1168832,-,ycfQ,633,comR,Transcription,ComR DNA-binding transcriptional repressor,,,,crp
b1112,1169072,1169330,+,bhsA,258,bhsA,Cell wall/membrane/envelope biogenesis,"outer membrane protein involved in copper permeability, stress resistance and biofilm formation",,,,"comR,crp,rpoD,rpoE"
b1113,1169411,1170374,-,ldtC,963,ldtC,Function unknown,"L,D-transpeptidase YcfS",,,,"cpxR,nac,rpoD"
b1114,1170517,1173964,-,mfd,3447,mfd,"Replication, recombination and repair",transcription-repair coupling factor,,,,rpoD
b1115,1174091,1175165,-,ycfT,1074,ycfT,Function unknown,inner membrane protein YcfT,,,,
b1116,1175426,1176626,+,lolC,1200,lolCDE,Cell wall/membrane/envelope biogenesis,lipoprotein release complex - inner membrane subunit,,,,"lrp,nac"
b1117,1176618,1177320,+,lolD,702,lolCDE,Defense mechanisms,lipoprotein release complex - ATP binding subunit,,,,"lrp,nac"
b1118,1177319,1178564,+,lolE,1245,lolCDE,Cell wall/membrane/envelope biogenesis,lipoprotein release complex - inner membrane subunit,,,,"lrp,nac"
b1119,1178592,1179504,+,nagK,912,nagK-cobB,Carbohydrate transport and metabolism,<i>N</i>-acetyl-D-glucosamine kinase,,,,"lrp,yeiE"
b1120,1179630,1180359,+,cobB,729,nagK-cobB,Transcription,protein-lysine deacetylase and desuccinylase,,,,
b1123,1181782,1182829,-,potD,1047,potABCD,Amino acid transport and metabolism,putrescine / spermidine ABC transporter - periplasmic binding protein,,,,fnr
b1124,1182825,1183620,-,potC,795,potABCD,Inorganic ion transport and metabolism,putrescine / spermidine ABC transporter - membrane subunit,,,,"fnr,yeiE"
b1125,1183616,1184444,-,potB,828,potABCD,Inorganic ion transport and metabolism,putrescine / spermidine ABC transporter - membrane subunit,,,,"fnr,yeiE"
b1126,1184457,1185594,-,potA,1137,potABCD,Amino acid transport and metabolism,putrescine / spermidine ABC transporter - ATP binding subunit,,,,fnr
b1127,1185843,1187070,+,pepT,1227,pepT,Amino acid transport and metabolism,peptidase T,,,,fnr
b1128,1187118,1188240,-,roxA,1122,roxA,Function unknown,ribosomal protein-arginine oxygenase,,,,
b1129,1188315,1189776,-,phoQ,1461,phoPQ,Signal transduction mechanisms,PhoQ sensory histidine kinase,,,,"phoB,phoP,rpoE,rpoH,ybaQ"
b1130,1189775,1190447,-,phoP,672,phoPQ,Signal transduction mechanisms,PhoP DNA-binding transcriptional dual regulator,,,,"phoP,rpoH"
b1131,1190615,1191986,-,purB,1371,hflD-purB,Nucleotide transport and metabolism,adenylosuccinate lyase,,,,"purR,rpoD"
b1132,1191989,1192631,-,hflD,642,hflD-purB,Function unknown,lysogenization regulator,,,,"purR,rpoD"
b1133,1192666,1193773,-,mnmA,1107,mnmA,"Translation, ribosomal structure and biogenesis",tRNA-specific 2-thiouridylase,,,,
b1134,1193826,1194288,-,nudJ,462,rluE-nudJ,"Replication, recombination and repair",nucleoside di- and triphosphate hydrolase/HMP-PP hydrolase/thiamin pyrophosphate hydrolase,,,,arcA
b1135,1194297,1194951,-,rluE,654,rluE-nudJ,"Translation, ribosomal structure and biogenesis",23S rRNA pseudouridine<sup>2457</sup> synthase,,,,arcA
b1136,1195122,1196373,+,icd,1251,icd,Energy production and conversion,isocitrate dehydrogenase,,,,"arcA,cra,rpoD"
b1137,1196866,1197532,-,ymfD,666,ymfED,Function unknown,e14 prophage, predicted SAM-dependent methyltransferase,,,
b1138,1197532,1198237,-,ymfE,705,ymfED,Function unknown,e14 prophage, predicted inner membrane protein,,,
b1139,1198694,1199588,+,lit,894,lit,"Cell cycle control, cell division, chromosome partitioning","Lit, cell death peptidase; phage exclusion; e14 prophage",,,,
b1140,1199678,1200806,-,intE,1128,ymfH-xisE-intE,"Replication, recombination and repair",e14 prophage, predicted integrase,,,
b1141,1200786,1201032,-,xisE,246,ymfH-xisE-intE,"Replication, recombination and repair",e14 prophage, predicted excisionase,,,
b1143,1201496,1201838,+,ymfI,342,ymfI,No COG Annotation,e14 prophage, predicted protein,,,
b1144,1201775,1202084,-,ymfJ,309,ymfJ,Function unknown,e14 prophage, predicted protein,,,
b1145,1202258,1202933,-,cohE,675,ymfK,Transcription,e14 prophage, predicted repressor protein,,,
b1147,1203267,1203825,+,ymfL,558,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,Function unknown,e14 prophage, predicted DNA-binding transcriptional regulator,,,
b1155,1208131,1208545,+,tfaP,414,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,No COG Annotation,e14 prophage, predicted protein,,,
b1159,1210345,1211179,+,mcrA,834,mcrA,Defense mechanisms,restriction of DNA at 5-methylcytosine residues,,,,
b1161,1212702,1213107,-,ycgX,405,ycgX,Function unknown,uncharacterized protein YcgX,,,,
b1162,1213327,1214059,-,bluR,732,bluR,Transcription,BluR DNA-binding transcriptional repressor,,,,rpoD
b1163,1214263,1215475,-,bluF,1212,bluF,Signal transduction mechanisms,blue light-responsive regulator of BluR,,,,"rcdA,rpoD"
b1164,1215788,1216025,+,ycgZ,237,ycgZ-ymgA-ariR-ymgC,Function unknown,putative protein,,,,"bluR,fur,rpoD,rpoS,soxS"
b1165,1216067,1216340,+,ymgA,273,ycgZ-ymgA-ariR-ymgC,Function unknown,protein involved in biofilm formation,,,,"bluR,fur,rpoD,rpoS,soxS"
b1166,1216368,1216635,+,ariR,267,ycgZ-ymgA-ariR-ymgC,Function unknown,"regulator of acid resistance, influenced by indole",,,,"bluR,fur,rpoD,rpoS,soxS"
b1167,1216747,1216996,+,ymgC,249,ycgZ-ymgA-ariR-ymgC,Function unknown,protein involved in biofilm formation,,,,"bluR,fur,rpoD,rpoS,soxS"
b1168,1217327,1218851,+,ycgG,1524,pdeG,Signal transduction mechanisms,predicted c-di-GMP phosphodiesterase,,,,
b1171,1222304,1222634,-,ymgD,330,ymgGD,Function unknown,putative protein,,,,
b1172,1222643,1222988,-,ymgG,345,ymgGD,No COG Annotation,putative protein,,,,
b1174,1224278,1224545,-,minE,267,minCDE,"Cell cycle control, cell division, chromosome partitioning",topological specificity factor of the Min system that regulates septum placement,,,,
b1175,1224548,1225361,-,minD,813,minCDE,"Cell cycle control, cell division, chromosome partitioning",membrane ATPase of the MinC-MinD-MinE system that regulates septum placement,,,,
b1176,1225384,1226080,-,minC,696,minCDE,"Cell cycle control, cell division, chromosome partitioning",effector protein of the MinC-MinD-MinE system that regulates septum placement,,,,
b1177,1226599,1226968,+,ycgJ,369,ycgJ,Function unknown,putative protein,,,,nac
b1178,1227070,1227472,-,pliG,402,pliG,Function unknown,inhibitor of g-type lysozyme,,,,
b1179,1227713,1228007,+,ycgL,294,ycgL,Function unknown,conserved protein,,,,
b1180,1228078,1228738,+,ycgM,660,ycgM,"Secondary metabolites biosynthesis, transport and catabolism",predicted isomerase/hydrolase,,,,
b1181,1228814,1229276,+,ycgN,462,ycgN,Function unknown,conserved protein,,,,
b1182,1229482,1230394,-,hlyE,912,hlyE,"Cell cycle control, cell division, chromosome partitioning",hemolysin E,,,,"crp,fis,fnr,h-NS,slyA"
b1183,1230766,1231186,+,umuD,420,umuDC,Transcription,SOS mutagenesis, error-prone repair, processed to UmuD', forms complex with UmuC,"lexA,rpoD"
b1184,1231185,1232454,+,umuC,1269,umuDC,"Replication, recombination and repair",SOS mutagenesis and repair,,,,"lexA,rpoD"
b1185,1232499,1233030,-,dsbB,531,dsbB,"Posttranslational modification, protein turnover, chaperones",protein disulfide oxidoreductase - DsbB<sub>reduced</sub>,,,,"arcA,nac"
b1186,1233175,1234717,-,nhaB,1542,nhaB,Inorganic ion transport and metabolism,sodium:H<sup>+</sup> antiporter,,,,
b1187,1234937,1235657,+,fadR,720,fadR,Transcription,FadR DNA-binding transcriptional dual regulator,,,,"fadR,rpoD"
b1188,1235708,1237241,-,ycgB,1533,ycgB,Function unknown,conserved protein,,,,
b1189,1237570,1238869,+,dadA,1299,dadAX,Amino acid transport and metabolism,D-amino acid dehydrogenase,,,,"crp,lrp,rpoD,yddM"
b1190,1238878,1239949,+,dadX,1071,dadAX,Cell wall/membrane/envelope biogenesis,"alanine racemase 2, PLP-binding",,,,"crp,lrp,rpoD"
b1191,1240334,1242071,-,cvrA,1737,cvrA,Inorganic ion transport and metabolism,predicted K<sup>+</sup>:H<sup>+</sup> antiporter,,,,
b1192,1242165,1243080,-,ldcA,915,ldcA,Defense mechanisms,"L,D-carboxypeptidase A",,,,
b1193,1243179,1243791,+,emtA,612,emtA,Cell wall/membrane/envelope biogenesis,lytic murein transglycosylase E,,,,yeiE
b1194,1243792,1244527,-,ycgR,735,ycgR,Cell wall/membrane/envelope biogenesis,molecular brake that regulates flagellar motility in response to c-di-GMP,,,,fliA
b1195,1244727,1244982,+,ymgE,255,ymgE,Function unknown,predicted inner membrane protein,,,,
b1196,1245159,1245600,+,ycgY,441,ycgY,No COG Annotation,putative protein,,,,nac
b1197,1245678,1247376,-,treA,1698,treA,Carbohydrate transport and metabolism,periplasmic trehalase,,,,rpoS
b1198,1247695,1249114,-,dhaM,1419,dhaKLM,Carbohydrate transport and metabolism,dihydroxyacetone kinase subunit M and protein-acetyllysine deacetylase,,,,"arcA,dhaR,fnr,lrp,rpoS"
b1199,1249124,1249757,-,dhaL,633,dhaKLM,Carbohydrate transport and metabolism,dihydroxyacetone kinase subunit L,,,,"arcA,dhaR,fnr,lrp,rpoS"
b1200,1249767,1250838,-,dhaK,1071,dhaKLM,Carbohydrate transport and metabolism,dihydroxyacetone kinase subunit K,,,,"arcA,dhaR,fnr,lrp,rpoS"
b1201,1251065,1252985,+,dhaR,1920,dhaR,Transcription,DhaR DNA-binding transcriptional dual regulator,,,,"arcA,dhaR,fnr,rpoS"
b1202,1253084,1255952,-,ycgV,2868,ycgV,Cell wall/membrane/envelope biogenesis,putative adhesion and penetration protein,,,,
b1203,1256720,1257812,-,ychF,1092,pth-ychF,"Translation, ribosomal structure and biogenesis","ribosome-binding ATPase, inhibitor of catalase activity",,,,"oxyR,rpoD"
b1204,1257928,1258513,-,pth,585,pth-ychF,"Translation, ribosomal structure and biogenesis",peptidyl-tRNA hydrolase,,,,rpoD
b1205,1258790,1259069,+,ychH,279,ychH,Function unknown,stress-induced protein,,,,"crp,rpoD"
b1206,1259123,1260803,-,dauA,1680,dauA,Inorganic ion transport and metabolism,C4 dicarboxylate transporter DauA,,,,yieP
b1207,1260927,1261875,-,prs,948,lolB-ispE-prs,Nucleotide transport and metabolism,ribose-phosphate diphosphokinase,,,,"fliA,purR,rpoD"
b1208,1262025,1262877,-,ispE,852,lolB-ispE-prs,Lipid transport and metabolism,4-diphosphocytidyl-2-C-methylerythritol kinase,,,,fliA
b1209,1262876,1263500,-,lolB,624,lolB-ispE-prs,Cell wall/membrane/envelope biogenesis,"outer membrane lipoprotein, localization of lipoproteins in the outer membrane",,,,fliA
b1210,1263713,1264970,+,hemA,1257,hemA-prfA-prmC,Coenzyme transport and metabolism,glutamyl-tRNA reductase,,,,"arcA,fnr,ihf,rpoD"
b1211,1265011,1266094,+,prfA,1083,hemA-prfA-prmC,"Translation, ribosomal structure and biogenesis",peptide chain release factor RF1,,,,"arcA,fnr,ihf,rpoD"
b1212,1266093,1266927,+,prmC,834,hemA-prfA-prmC,"Translation, ribosomal structure and biogenesis",protein-(glutamine-<i>N</i><sup>5</sup>) methyltransferase,,,,"arcA,fnr,ihf,rpoD"
b1213,1266923,1267316,+,ychQ,393,ychQA-kdsA,Function unknown,predicted transcriptional regulator,,,,rpoD
b1214,1267319,1268129,+,ychA,810,ychQA-kdsA,Function unknown,predicted transcriptional regulator,,,,rpoD
b1215,1268164,1269019,+,kdsA,855,ychQA-kdsA,Cell wall/membrane/envelope biogenesis,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,,,,rpoD
b1216,1270748,1271849,-,chaA,1101,chaA,Inorganic ion transport and metabolism,Na<sup>+</sup> / K<sup>+</sup>:H<sup>+</sup> antiporter ChaA/Na<sup>+</sup> / K<sup>+</sup>:H<sup>+</sup> antiporter ChaA,,,,
b1217,1272118,1272349,+,chaB,231,chaBC,Function unknown,predicted cation transport regulator,,,,
b1218,1272506,1273202,+,chaC,696,chaBC,Inorganic ion transport and metabolism,predicted glutathione-specific gamma-glutamylcyclotransferase,,,,rpoN
b1219,1273245,1273599,-,ychN,354,ychN,Inorganic ion transport and metabolism,conserved protein,,,,
b1220,1273783,1275178,+,ychO,1395,ychO,Function unknown,putative invasin,,,,"fnr,rpoD"
b1221,1275178,1275829,-,narL,651,narXL,Signal transduction mechanisms,NarL DNA-binding transcriptional dual regulator,,,,"argR,fnr,modE,rpoD"
b1222,1275821,1277618,-,narX,1797,narXL,Signal transduction mechanisms,NarX,,,,"fnr,modE,rpoD"
b1223,1277956,1279348,+,narK,1392,narK,Inorganic ion transport and metabolism,nitrate:nitrite antiporter NarK,,,,"fis,fnr,ihf,nac,narL,rpoD"
b1224,1279863,1283607,+,narG,3744,narGHJI,Energy production and conversion,"nitrate reductase A, &alpha; subunit",,,,"fis,fnr,ihf,narL,rpoD,rstA"
b1225,1283603,1285142,+,narH,1539,narGHJI,Energy production and conversion,"nitrate reductase A, &beta; subunit",,,,"fis,fnr,ihf,narL,rpoD,rstA"
b1226,1285138,1285849,+,narJ,711,narGHJI,Energy production and conversion,molybdenum cofactor assembly chaperone subunit (&delta, subunit) of nitrate reductase 1,,,"fis,fnr,ihf,narL,rpoD,rstA"
b1227,1285848,1286526,+,narI,678,narGHJI,Energy production and conversion,"nitrate reductase A, &gamma; subunit",,,,"fis,fnr,ihf,narL,rpoD,rstA"
b1232,1287781,1288624,-,purU,843,purU,Nucleotide transport and metabolism,formyltetrahydrofolate deformylase,,,,
b1233,1288673,1289132,-,ychJ,459,ychJ,Function unknown,conserved protein,,,,
b1234,1289244,1290150,+,rssA,906,rssAB,Function unknown,conserved protein,,,,rpoS
b1235,1290241,1291255,+,rssB,1014,rssAB,Signal transduction mechanisms,regulator of RpoS,,,,"cra,crp,rpoS"
b1236,1291456,1292365,+,galU,909,galU,Cell wall/membrane/envelope biogenesis,UTP:glucose-1-phosphate uridylyltransferase,,,,
b1237,1292508,1292922,-,hns,414,hns,Function unknown,H-NS DNA-binding transcriptional dual regulator,,,,"cspA,fis,gadX,h-NS,rpoD"
b1238,1293526,1294144,+,tdk,618,tdk,Nucleotide transport and metabolism,thymidine kinase/deoxyuridine kinase,,,,yieP
b1241,1295445,1298121,-,adhE,2676,adhE,Energy production and conversion,aldehyde-alcohol dehydrogenase,,,,"cra,fis,fnr,lrp,narL,rpoD,rpoS"
b1242,1298597,1299245,+,ychE,648,ychE,"Intracellular trafficking, secretion, and vesicular transport",predicted inner membrane protein,,,,"cra,fnr"
b1243,1301181,1302813,+,oppA,1632,oppABCDF,Amino acid transport and metabolism,peptide ABC transporter - periplasmic binding protein,,,,"arcA,fliA,fur,lrp,modE,nac,spermidine"
b1244,1302898,1303819,+,oppB,921,oppABCDF,Inorganic ion transport and metabolism,murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit,,,,"arcA,fliA,fur,lrp,modE,nac,spermidine"
b1245,1303833,1304742,+,oppC,909,oppABCDF,Inorganic ion transport and metabolism,murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit,,,,"arcA,fliA,fur,lrp,modE,nac,spermidine"
b1246,1304753,1305767,+,oppD,1014,oppABCDF,Amino acid transport and metabolism,murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit,,,,"arcA,fliA,fur,lrp,modE,nac,spermidine"
b1247,1305763,1306768,+,oppF,1005,oppABCDF,Amino acid transport and metabolism,murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit,,,,"arcA,fliA,fur,lrp,modE,nac,spermidine"
b1248,1306820,1307150,-,yciU,330,clsA-yciU,Function unknown,putative protein,,,,
b1249,1307184,1308645,-,clsA,1461,clsA-yciU,Lipid transport and metabolism,cardiolipin synthase 1,,,,
b1250,1309015,1310269,-,kch,1254,kch,Inorganic ion transport and metabolism,K<sup>+</sup> channel Kch,,,,
b1251,1310568,1310865,-,yciI,297,yciI,Function unknown,predicted enzyme,,,,
b1252,1311088,1311808,+,tonB,720,tonB,Cell wall/membrane/envelope biogenesis,TonB energy transducing system - TonB subunit,,,,"fur,rpoD"
b1253,1311847,1312246,-,yciA,399,yciA,Lipid transport and metabolism,acyl-CoA thioesterase,,,,
b1254,1312350,1312890,-,yciB,540,yciCB,"Cell cycle control, cell division, chromosome partitioning",inner membrane protein,,,,"fnr,rpoD"
b1255,1312919,1313663,-,yciC,744,yciCB,Function unknown,predicted inner membrane protein,,,,"fnr,rpoD"
b1256,1314019,1314658,+,ompW,639,ompW,Cell wall/membrane/envelope biogenesis,outer membrane protein W,,,,"arcA,crp,fnr,narL"
b1257,1314717,1315224,-,yciE,507,yciGFE,Function unknown,conserved protein,,,,"h-NS,mcbR,rpoD,rpoS"
b1258,1315269,1315770,-,yciF,501,yciGFE,Function unknown,conserved protein,,,,"h-NS,mcbR,rpoS"
b1259,1315855,1316035,-,yciG,180,yciGFE,Function unknown,putative protein,,,,"h-NS,mcbR,rpoS"
b1260,1316415,1317222,-,trpA,807,trpLEDCBA,Amino acid transport and metabolism,"tryptophan synthase, &alpha; subunit",,,,"rpoD,trp-tRNA,trpR"
b1261,1317221,1318415,-,trpB,1194,trpLEDCBA,Amino acid transport and metabolism,"tryptophan synthase, &beta; subunit",,,,"rpoD,trp-tRNA,trpR"
b1262,1318426,1319788,-,trpC,1362,trpLEDCBA,Amino acid transport and metabolism,indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,,,,"rpoD,trp-tRNA,trpR"
b1263,1319788,1321384,-,trpD,1596,trpLEDCBA,Amino acid transport and metabolism,anthranilate synthase component II,,,,"rpoD,trp-tRNA,trpR"
b1264,1321383,1322946,-,trpE,1563,trpLEDCBA,Amino acid transport and metabolism,anthranilate synthase component I,,,,"rpoD,trp-tRNA,trpR"
b1266,1323219,1324101,+,yciV,882,yciVOQ,Function unknown,RNA/ssDNA exonuclease 5' &rarr, 3' specific,,,
b1267,1324097,1324718,+,yciO,621,yciVOQ,"Translation, ribosomal structure and biogenesis",conserved protein,,,,fur
b1268,1324745,1326641,+,yciQ,1896,yciVOQ,Function unknown,predicted inner membrane protein,,,,
b1269,1326851,1327727,+,rluB,876,rluB,"Translation, ribosomal structure and biogenesis",23S rRNA pseudouridine<sup>2605</sup> synthase,,,,
b1270,1327766,1328357,-,btuR,591,yciK-btuR,Coenzyme transport and metabolism,cobinamide adenosyltransferase/cobalamin adenosyltransferase,,,,
b1271,1328353,1329112,-,yciK,759,yciK-btuR,Function unknown,predicted oxidoreductase,,,,
b1272,1329331,1330381,+,sohB,1050,sohB,"Posttranslational modification, protein turnover, chaperones",predicted inner membrane peptidase,,,,"crp,rpoD,rpoS"
b1273,1330416,1330668,-,yciN,252,yciN,Function unknown,putative protein,,,,lrp
b1274,1331047,1333645,+,topA,2598,topA,"Replication, recombination and repair",DNA topoisomerase I,,,,"fis,rpoD,rpoH,rpoS"
b1275,1333854,1334829,+,cysB,975,cysB,Transcription,CysB transcriptional dual regulator,,,,"cysB,phoP,rpoD"
