,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b0465,mscK,,486536,489898,+,potassium dependent%2C small conductance mechanosensitive channel,"Cell cycle control, cell division, chromosome partitioning",P77338,"ppGpp,Lrp",mscK,3363.0
b0466,ybaM,,490110,490271,-,DUF2496 domain-containing protein YbaM,Function unknown,P45807,,,
b0467,priC,,490285,490812,-,primosomal replication protein N'',"Replication, recombination and repair",P23862,GlaR,priC-ybaM,528.0
b0468,ybaN,,490882,491259,+,conserved inner membrane protein YbaN,Function unknown,P0AAR5,GlaR,ybaN,378.0
b0469,apt,,491412,491963,+,adenine phosphoribosyltransferase,Nucleotide transport and metabolism,P69503,"RpoD,ppGpp,GlaR",apt,552.0
b0470,dnaX,,492092,494023,+,DNA polymerase III subunit tau,Nucleotide transport and metabolism,P06710,,dnaX,1932.0
b0471,ybaB,,494076,494405,+,putative nucleoid-associated protein YbaB,Function unknown,P0A8B5,"YeiE,RpoE",ybaB-recR,330.0
b0472,recR,,494405,495010,+,DNA repair protein RecR,"Replication, recombination and repair",P0A7H6,RpoE,ybaB-recR,606.0
b0473,htpG,,495120,496994,+,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",P0A6Z3,"YeiE,RpoN,RpoH,gcvB,AscG,Nac",htpG,1875.0
b0474,adk,,497175,497819,+,adenylate kinase,Nucleotide transport and metabolism,P69441,,adk,645.0
b0475,hemH,,498055,499017,+,ferrochelatase,Coenzyme transport and metabolism,P23871,"RpoD,YeiE,OxyR,Nac,ryhB",hemH,963.0
b0476,aes,,499014,499973,-,acetylesterase,Lipid transport and metabolism,P23872,,aes,960.0
b0477,gsk,,500125,501429,+,inosine/guanosine kinase,Nucleotide transport and metabolism,P0AEW6,"YbaQ,ppGpp",gsk,1305.0
b0478,ybaL,,501562,503238,-,putative transporter YbaL,Inorganic ion transport and metabolism,P39830,"YidZ,Nac",ybaL,1677.0
b0479,fsr,,503476,504696,-,fosmidomycin efflux pump,Inorganic ion transport and metabolism,P52067,,fsr,1221.0
b0480,ushA,,504914,506566,+,5'-nucleotidase/UDP-sugar hydrolase,Nucleotide transport and metabolism,P07024,,ushA,1653.0
b0481,ybaK,,506603,507082,-,Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase,Function unknown,P0AAR3,,ybaK,480.0
b0482,ybaP,,507286,508080,-,TraB family protein YbaP,Function unknown,P77301,ppGpp,ybaP,795.0
b0483,ybaQ,,508218,508559,+,putative DNA-binding transcriptional regulator YbaQ,Transcription,P0A9T6,"YfeD,ppGpp",ybaQ,342.0
b0484,copA,,508875,511379,-,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,Q59385,"RpoD,OmpR,CueR",copA,2505.0
b0485,glsA,,511641,512573,+,glutaminase 1,Amino acid transport and metabolism,P77454,"RpoS,GadX,ppGpp",glsA-ybaT,933.0
b0486,ybaT,,512576,513868,+,putative transporter YbaT,Amino acid transport and metabolism,P77400,"RpoS,GadX,ppGpp",glsA-ybaT,1293.0
b0487,cueR,,513993,514400,+,DNA-binding transcriptional dual regulator CueR,Transcription,P0A9G4,,cueR,408.0
b0488,ybbJ,,514401,514859,-,NfeD-like family protein,"Post-translational modification, protein turnover,and chaperones",P0AAS3,,qmcA-ybbJ,459.0
b0489,qmcA,,514856,515773,-,PHB domain-containing protein,"Post-translational modification, protein turnover,and chaperones",P0AA53,,qmcA-ybbJ,918.0
b0490,fetA,,515919,516596,+,putative iron ABC exporter ATP-binding subunit FetA,Inorganic ion transport and metabolism,P77279,,fetAB,678.0
b0491,fetB,,516583,517362,+,putative iron ABC exporter membrane subunit FetB,Function unknown,P77307,,fetAB,780.0
b0492,cnoX,,517425,518279,-,chaperedoxin,"Post-translational modification, protein turnover,and chaperones",P77395,RpoH,ybbN,855.0
b0493,ybbO,,518340,519149,-,NADP(+)-dependent aldehyde reductase,Function unknown,P0AFP4,YidZ,tesA-ybbO,810.0
b0494,tesA,,519139,519765,-,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,Amino acid transport and metabolism,P0ADA1,ppGpp,tesA-ybbO,627.0
b0495,ybbA,,519733,520419,+,putative ABC transporter ATP-binding protein YbbA,Inorganic ion transport and metabolism,P0A9T8,,ybbAP,687.0
b0496,ybbP,,520416,522830,+,putative ABC transporter membrane subunit YbbP,"Secondary metabolites biosynthesis, transport, and catabolism",P77504,,ybbAP,2415.0
b0497,rhsD,,523261,527541,+,protein RhsD,Cell wall/membrane/envelope biogenesis,P16919,"YbaQ,GlaR",rhsD-ybbC-ylbH-ybbD,4281.0
b0498,ybbC,,527581,527949,+,PF15631 family protein YbbC,Function unknown,P33668,"ppGpp,Nac",rhsD-ybbC-ylbH-ybbD,369.0
b0499,ylbH,,527949,528659,+,putative RHS domain-containing protein YlbH,Cell wall/membrane/envelope biogenesis,,,rhsD-ybbC-ylbH-ybbD,708.0
b0501,ybbD,,528640,529130,+,putative uncharacterized protein YbbD,No COG annotation,,,,
b0502,ylbG,,529645,530016,-,putative DNA-binding transcriptional regulator YlbG,"Replication, recombination and repair",UPI00001B50FC,,,
b0503,selU,,530132,531226,-,tRNA 2-selenouridine synthase,"Translation, ribosomal structure and biogenesis",P33667,YfeC,selU,1095.0
b0504,allS,,531295,532221,-,DNA-binding transcriptional activator AllS,Transcription,P0ACR0,AllR,allS,927.0
b0505,allA,,532451,532933,+,ureidoglycolate lyase,Nucleotide transport and metabolism,P77731,"YcjW,AllR",allA,483.0
b0506,allR,,533011,533826,+,DNA-binding transcriptional repressor AllR,Transcription,P0ACN4,Nac,allR,816.0
b0507,gcl,,533916,535697,+,glyoxylate carboligase,Function unknown,P0AEP7,"RpoD,AllR",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,1782.0
b0508,hyi,,535710,536486,+,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,P30147,"RpoD,AllR",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,777.0
b0509,glxR,,536586,537464,+,tartronate semialdehyde reductase 2,Lipid transport and metabolism,P77161,"RpoD,AllR",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,879.0
b0511,ybbW,,537633,539087,+,putative allantoin transporter,Nucleotide transport and metabolism,P75712,"RpoD,YeiE,AllR,Nac",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,1455.0
b0512,allB,,539147,540508,+,allantoinase,Nucleotide transport and metabolism,P77671,"RpoD,AllR,ppGpp",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,1362.0
b0513,ybbY,,540565,541866,+,putative purine transporter,Nucleotide transport and metabolism,P77328,"RpoD,AllR",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,1302.0
b0514,glxK,,541888,543033,+,glycerate 2-kinase 2,Carbohydrate transport and metabolism,P77364,"RpoD,AllR,Nac",gcl-hyi-glxR-ybbW-allB-ybbY-glxK,1146.0
b0515,allE,,543261,544046,-,(S)-ureidoglycine aminohydrolase,Function unknown,P75713,"RpoD,YfeD,AllS",allDCE,786.0
b0516,allC,,544057,545292,-,allantoate amidohydrolase,Amino acid transport and metabolism,P77425,"RpoD,YbaQ,AllS",allDCE,1236.0
b0517,allD,,545314,546363,-,ureidoglycolate dehydrogenase,Energy production and conversion,P77555,"RpoD,AllS",allDCE,1050.0
b0518,fdrA,,546680,548347,+,putative acyl-CoA synthetase FdrA,Energy production and conversion,Q47208,,fdrA-ylbEF-ybcF,1668.0
b4572,ylbE,,548357,549616,+,DUF1116 domain-containing protein YlbE,Energy production and conversion,P77129,,fdrA-ylbEF-ybcF,1260.0
b0520,ylbF,,549627,550442,+,DUF2877 domain-containing protein YlbF,Function unknown,P0AAS5,,fdrA-ylbEF-ybcF,816.0
b0521,ybcF,,550439,551332,+,putative carbamate kinase,Nucleotide transport and metabolism,P37306,,fdrA-ylbEF-ybcF,894.0
b0522,purK,,551527,552594,-,5-(carboxyamino)imidazole ribonucleotide synthase,Nucleotide transport and metabolism,P09029,"RpoD,PurR,ppGpp",purEK,1068.0
b0523,purE,,552591,553100,-,N(5)-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,P0AG18,"RpoD,PurR,ppGpp",purEK,510.0
b0524,lpxH,,553218,553940,-,UDP-2%2C3-diacylglucosamine diphosphatase,Function unknown,P43341,"YdcN,YidZ,ppGpp,Nac",ppiB-lpxH,723.0
b0525,ppiB,,553943,554437,-,peptidyl-prolyl cis-trans isomerase B,"Post-translational modification, protein turnover,and chaperones",P23869,"Nac,GlaR",ppiB-lpxH,495.0
b0526,cysS,,554611,555996,+,cysteine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P21888,"Nac,GlaR",cysS,1386.0
b0527,ybcI,,556032,556553,-,conserved inner membrane protein YbcI,Function unknown,P45570,"YdcN,ppGpp",ybcI,522.0
b0528,ybcJ,,556661,556873,-,putative RNA-binding protein YbcJ,Function unknown,P0AAS7,,folD-ybcJ,213.0
b0529,folD,,556875,557741,-,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase,Nucleotide transport and metabolism,P24186,,folD-ybcJ,867.0
b0530,sfmA,,558212,558754,+,putative fimbrial protein SfmA,Cell motility,P0ABW5,,,
b0531,sfmC,,558974,559666,+,putative fimbrial chaperone SfmC,Cell motility,P77249,ppGpp,,
b0532,sfmD,,559697,562300,+,putative fimbrial usher protein SfmD,Cell motility,P77468,,sfmCD,2604.0
b0533,sfmH,,562336,563319,+,putative fimbrial adhesin protein SfmH,Cell motility,P75715,"YeiE,gcvB",sfmHF,984.0
b0534,sfmF,,563330,563845,+,putative fimbrial protein SfmF,Cell motility,P38052,,,
b0535,fimZ,,563848,564480,-,putative LuxR family transcriptional regulator FimZ,Transcription,P0AEL8,gcvB,,
b0537,intD,,564815,565978,-,DLP12 prophage%3B putative integrase,"Replication, recombination and repair",P24218,Nac,intD,1164.0
b4633,xisD,,565858,566079,-,excisionase,No COG annotation,,,xisD,222.0
b0539,exoD,,566098,566361,-,DLP12 prophage%3B putative exonuclease ExoD,"Replication, recombination and repair",,,,
b0540,insE-3,,566842,567141,+,DLP12 prophage%3B IS3 element protein InsE,"Replication, recombination and repair",P0CF66,,,
b0541,insF-3,,567138,568004,+,DLP12 prophage%3B IS3 element protein InsF,"Replication, recombination and repair",P0CF79,,,
b0543,emrE,,568315,568647,+,multidrug/betaine/choline efflux transporter EmrE,Inorganic ion transport and metabolism,P23895,,renD-emrE,333.0
b4733,ylcJ,,568695,568844,+,protein YlcJ,No COG annotation,UPI000217D431,,,
b0544,ybcK,,568902,570428,+,DLP12 prophage%3B putative recombinase,"Replication, recombination and repair",P77698,"YciT,Nac",ybcK,1527.0
b0545,ybcL,,570893,571444,+,DLP12 prophage%3B periplasmic protein YbcL,Function unknown,P77368,YbcM,ybcLM,552.0
b0546,ybcM,,571454,572251,+,DLP12 prophage%3B putative DNA-binding transcriptional regulator,Transcription,P77634,,ybcLM,798.0
b0547,ybcN,,572466,572921,+,DLP12 prophage%3B DNA base-flipping protein,Function unknown,Q47269,,,
b0550,rusA,,573371,573733,+,DLP12 prophage%3B crossover junction endodeoxyribonuclease RusA,"Replication, recombination and repair",P0AG74,,,
b0551,ybcQ,,573956,574339,+,DLP12 prophage%3B putative antitermination protein,Transcription,Q47274,YeiE,,
b0552,insH-2,,574737,575753,-,DLP12 prophage%3B IS5 transposase and trans-activator,"Replication, recombination and repair",A0A385XJE6,,insH-2,1017.0
b0554,essD,,577398,577613,+,DLP12 prophage%3B putative phage lysis protein,Function unknown,P0A9R2,"omrB,RpoE,ppGpp",,
b0555,rrrD,,577613,578110,+,DLP12 prophage%3B lysozyme,Carbohydrate transport and metabolism,P78285,RpoE,essD-rrrD-rzpD,498.0
b0556,rzpD,,578107,578568,+,DLP12 prophage%3B putative prophage endopeptidase RzpD,Function unknown,P75719,RpoE,,
b0557,borD,,578600,578893,-,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,P77330,"PhoP,Lrp,Nac",borD,294.0
b0558,ybcV,,579184,579594,-,DLP12 prophage%3B protein YbcV,Amino acid transport and metabolism,P77598,"ppGpp,Nac",,
b0559,ybcW,,579880,580086,+,DLP12 prophage%3B protein YbcW,No COG annotation,P64435,,ybcW,207.0
b4589,ylcI,,580251,580445,-,DLP12 prophage%3B DUF3950 domain-containing protein YlcI,Function unknown,A5A607,,,
b0560,nohD,,580834,581379,+,DLP12 prophage%3B putative DNA-packaging protein NohD,"Replication, recombination and repair",P31062,,,
b4634,aaaD,,581354,581662,+,DLP12 prophage%3B protein AaaD,Function unknown,,,aaaD,309.0
b0561,tfaD,,581534,582097,+,DLP12 prophage%3B putative tail fiber assembly protein TfaD,Function unknown,UPI0000697585,,,
b0562,ybcY,,582152,582806,-,DLP12 prophage%3B putative SAM-dependent methyltransferase YbcY,No COG annotation,,,,
b0563,tfaX,,582875,583060,+,DLP12 prophage%3B protein TfaX,Function unknown,UPI000013B7FE,,,
b0564,appY,,583681,584430,+,DNA-binding transcriptional activator AppY,Transcription,P05052,"RpoD,RpoS,ArcA,DpiA,H-NS",appY,750.0
b0565,ompT,,584680,585633,-,outer membrane protease VII (outer membrane protein 3b),Cell wall/membrane/envelope biogenesis,P09169,"PhoP,omrA,omrB,Lrp,Nac",envY-ompT,954.0
b0566,envY,,586147,586908,-,DNA-binding transcriptional activator EnvY,Transcription,P10805,ppGpp,envY-ompT,762.0
b0567,ybcH,,587091,587981,-,DUF4434 domain-containing protein YbcH,Function unknown,P37325,,ybcH,891.0
b0568,nfrA,,587982,590954,-,bacteriophage N4 receptor%2C outer membrane protein,Cell wall/membrane/envelope biogenesis,P31600,,nfrBA,2973.0
b0569,nfrB,,590941,593178,-,bacteriophage N4 receptor%2C inner membrane subunit,Cell wall/membrane/envelope biogenesis,P0AFA5,Nac,nfrBA,2238.0
b0570,cusS,,593328,594770,-,sensory histidine kinase CusS,Signal transduction mechanisms,P77485,"RpoD,PhoB,CusR,HprR",cusRS,1443.0
b0571,cusR,,594760,595443,-,DNA-binding transcriptional activator CusR,Transcription,P0ACZ8,"RpoD,PhoB,CusR,HprR",cusRS,684.0
b0572,cusC,,595600,596973,+,copper/silver export system outer membrane channel,Cell wall/membrane/envelope biogenesis,P77211,"RpoD,YciT,PhoB,CusR,HprR",cusCFBA,1374.0
b0573,cusF,,597131,597463,+,copper/silver export system periplasmic binding protein,Function unknown,P77214,"RpoD,PhoB,CusR,HprR",cusCFBA,333.0
b0574,cusB,,597479,598702,+,copper/silver export system membrane fusion protein,Cell wall/membrane/envelope biogenesis,P77239,"RpoD,PhoB,CusR,HprR",cusCFBA,1224.0
b0575,cusA,,598714,601857,+,copper/silver export system RND permease,Inorganic ion transport and metabolism,P38054,"RpoD,PhoB,CusR,HprR",cusCFBA,3144.0
b0576,pheP,,601959,603335,+,phenylalanine:H(+) symporter PheP,Inorganic ion transport and metabolism,P24207,"RpoD,YcjW,ppGpp",pheP,1377.0
b0577,ybdG,,603416,604663,-,miniconductance mechanosensitive channel YbdG,Cell wall/membrane/envelope biogenesis,P0AAT4,Lrp,ybdG,1248.0
b0578,nfsB,,604771,605424,-,NAD(P)H nitroreductase NfsB,Energy production and conversion,P38489,"RpoD,Rob,MarA,SoxS",nfsB,654.0
b0579,ybdF,,605518,605886,-,PF04237 family protein YbdF,Function unknown,P0AAT2,Lrp,ybdF,369.0
b0580,ybdJ,,605951,606199,-,DUF1158 domain-containing protein YbdJ,Function unknown,P77506,,ybdJ,249.0
b0581,ybdK,,606265,607383,-,carboxylate-amine ligase,Nucleotide transport and metabolism,P77213,"ppGpp,Nac",ybdK,1119.0
b0582,insL-2,,608065,609177,+,IS186/IS421 transposase,"Replication, recombination and repair",P0CF91,ppGpp,insL-2,1113.0
b0583,entD,,609459,610079,-,phosphopantetheinyl transferase EntD,Coenzyme transport and metabolism,P19925,"RpoD,Crp,Fur",fepA-entD,621.0
b0584,fepA,,610254,612494,-,ferric enterobactin outer membrane transporter,Inorganic ion transport and metabolism,P05825,"RpoD,omrA,YfeD,Crp,Fur,omrB",fepA-entD,2241.0
b0585,fes,,612737,613939,+,enterochelin esterase,Inorganic ion transport and metabolism,P13039,"RpoD,Fnr,H-NS,Fur",fes-ybdZ-entF-fepE,1203.0
b4511,ybdZ,,613942,614160,+,enterobactin biosynthesis protein YbdZ,Function unknown,P18393,"RpoD,H-NS,Fnr,Fur",fes-ybdZ-entF-fepE,219.0
b0586,entF,,614157,618038,+,apo-serine activating enzyme,"Secondary metabolites biosynthesis, transport, and catabolism",P11454,"RpoD,YbaQ,Fnr,H-NS,Fur",fes-ybdZ-entF-fepE,3882.0
b0587,fepE,,618254,619387,+,polysaccharide co-polymerase family protein FepE,Cell wall/membrane/envelope biogenesis,P26266,"RpoD,Fnr,H-NS,Fur,Nac",fes-ybdZ-entF-fepE,1134.0
b0588,fepC,,619384,620199,-,ferric enterobactin ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P23878,"RpoD,Fur",fepDGC,816.0
b0589,fepG,,620196,621188,-,ferric enterobactin ABC transporter membrane subunit FepG,Inorganic ion transport and metabolism,P23877,"RpoD,Fur",fepDGC,993.0
b0590,fepD,,621185,622189,-,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,P23876,"RpoD,Fur",fepDGC,1005.0
b0591,entS,,622300,623550,+,enterobactin exporter EntS,Amino acid transport and metabolism,P24077,"RpoD,YdhB,Fur",entS,1251.0
b0592,fepB,,623554,624510,-,ferric enterobactin ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AEL6,"RpoD,RutR,Fur",fepB,957.0
b0593,entC,,624885,626060,+,isochorismate synthase EntC,Coenzyme transport and metabolism,P0AEJ2,"RpoD,ryhB,Crp,Fur",entCEBAH,1176.0
b0594,entE,,626070,627680,+,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",P10378,"RpoD,ryhB,Crp,Fur",entCEBAH,1611.0
b0595,entB,,627694,628551,+,enterobactin synthase component B,"Secondary metabolites biosynthesis, transport, and catabolism",P0ADI4,"RpoD,ryhB,Crp,Fur",entCEBAH,858.0
b0596,entA,,628551,629297,+,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,Lipid transport and metabolism,P15047,"RpoD,ryhB,Crp,Fur",entCEBAH,747.0
b0597,entH,,629300,629713,+,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",P0A8Y8,"RpoD,ryhB,Crp,Fur",entCEBAH,414.0
b0598,cstA,,629894,631999,+,carbon starvation protein A,Signal transduction mechanisms,P15078,"RpoD,Crp",cstA,2106.0
b4512,ybdD,,632182,632379,+,conserved protein YbdD,Function unknown,P0AAS9,,ybdD,198.0
b0599,hcxA,,632389,633477,-,hydroxycarboxylate dehydrogenase A,Energy production and conversion,P45579,,hcxA,1089.0
b0600,ybdL,,633586,634746,+,methionine-oxo-acid transaminase%2C PLP-dependent,Amino acid transport and metabolism,P77806,Lrp,ybdL,1161.0
b0601,ybdM,,634747,635376,-,ParB-like nuclease domain-containing protein YbdM,Transcription,P77174,YdcN,ybdM,630.0
b0602,ybdN,,635349,636569,-,putative PAPS reductase/DUF3440 domain-containing protein YbdN,Function unknown,P77216,"RpoD,ArcA,Fnr,CysB",ybdN,1221.0
b0603,ybdO,,636716,637618,-,putative LysR family DNA-binding transcriptional regulator YbdO,Transcription,P77746,"YeiE,YbdO",ybdO,903.0
b0604,dsbG,,637827,638573,-,protein sulfenic acid reductase DsbG,"Post-translational modification, protein turnover,and chaperones",P77202,"YfeD,OxyR,Nac",dsbG,747.0
b0605,ahpC,,638945,639508,+,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover,and chaperones",P0AE08,"RpoD,MetJ,OxyR,Nac",ahpCF,564.0
b0606,ahpF,,639753,641318,+,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover,and chaperones",P35340,"RpoE,RpoD,MetJ,OxyR",ahpCF,1566.0
b0607,uspG,,641439,641867,-,universal stress protein G,Signal transduction mechanisms,P39177,"YfeD,ppGpp,Nac",uspG,429.0
b0608,ybdR,,642088,643326,+,putative Zn(2(+))-dependent alcohol dehydrogenase YbdR,Amino acid transport and metabolism,P77316,Nac,ybdR,1239.0
b0610,rnk,,643557,643967,-,nucleoside diphosphate kinase regulator,Transcription,P0AFW4,,rnk,411.0
b0611,rna,,644197,645003,-,RNase I,"Translation, ribosomal structure and biogenesis",P21338,YbiH,rna,807.0
b0612,citT,,645117,646580,-,citrate:succinate antiporter,Inorganic ion transport and metabolism,P0AE74,YcjW,citT,1464.0
b0613,citG,,646631,647509,-,triphosphoribosyl-dephospho-CoA synthase,Nucleotide transport and metabolism,P77231,"Crp,Fnr,ArcA,NarL,DpiA",,
b0614,citX,,647484,648035,-,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,P0A6G5,"Crp,Fnr,ArcA,NarL,DpiA",,
b0615,citF,,648039,649571,-,citrate lyase alpha subunit,Energy production and conversion,P75726,"Crp,Fnr,ArcA,NarL,DpiA",citCDEFXG,1533.0
b0616,citE,,649582,650490,-,citrate lyase beta subunit,Carbohydrate transport and metabolism,P0A9I1,"Crp,Fnr,ArcA,NarL,DpiA",,
b0617,citD,,650487,650783,-,citrate lyase acyl carrier protein,Energy production and conversion,P69330,"Crp,Fnr,ArcA,NarL,DpiA",,
b0618,citC,,650798,651856,-,citrate lyase synthetase,Coenzyme transport and metabolism,P77390,"Crp,Fnr,ArcA,NarL,DpiA",citCDEFXG,1059.0
b0619,dpiB,,652235,653893,+,sensory histidine kinase DpiB,Signal transduction mechanisms,P77510,"Fnr,Crp,ArcA,NarL,DpiA,DcuR,ChiX",dpiBA,1659.0
b0620,dpiA,,653862,654542,+,DNA-binding transcriptional dual regulator DpiA,Transcription,P0AEF4,"Fnr,Crp,ArcA,NarL,DpiA,DcuR,ChiX",dpiBA,681.0
b0621,dcuC,,654583,655968,-,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,P0ABP3,"YeiE,Fnr,ArcA",dcuC,1386.0
b0622,pagP,,656557,657117,+,Lipid IVA palmitoyltransferase,Cell wall/membrane/envelope biogenesis,P37001,"PhoP,SlyA",pagP,561.0
b0623,cspE,,657292,657501,+,transcription antiterminator and regulator of RNA stability,Transcription,P0A972,"RpoD,YcaN,Crp,DinJ-YafQ",cspE,210.0
b0624,crcB,,657555,657938,-,F(-) channel,"Cell cycle control, cell division, chromosome partitioning",P37002,,crcB,384.0
b4581,ybeM,,658031,658818,+,deamidated glutathione amidase%2C N-terminal fragment,Function unknown,,,,
b0627,tatE,,658947,659150,+,twin arginine protein translocation system - TatE protein,"Intracellular trafficking, secretion, and vesicular transport",P0A843,,tatE,204.0
b0628,lipA,,659251,660216,-,lipoyl synthase,Coenzyme transport and metabolism,P60716,"YheO,Lrp",lipA,966.0
b0629,ybeF,,660425,661378,-,putative LysR-type DNA-binding transcriptional regulator YbeF,Transcription,P30979,,ybeF,954.0
b0630,lipB,,661637,662278,-,lipoyl(octanoyl) transferase,Coenzyme transport and metabolism,P60720,"RpoD,RpoH",ybeD-lipB,642.0
b0631,ybeD,,662379,662642,-,DUF493 domain-containing protein YbeD,Function unknown,P0A8J4,"RpoD,RpoH",ybeD-lipB,264.0
b0632,dacA,,662752,663963,-,D-alanyl-D-alanine carboxypeptidase DacA,Cell wall/membrane/envelope biogenesis,P0AEB2,,dacA,1212.0
b0633,rlpA,,664102,665190,-,rare lipoprotein RlpA,Cell wall/membrane/envelope biogenesis,P10100,,rsfS-rlmH-mrdAB-rlpA,1089.0
b0634,mrdB,,665201,666313,-,SEDS family protein MrdB,Cell wall/membrane/envelope biogenesis,P0ABG7,ppGpp,rsfS-rlmH-mrdAB-rlpA,1113.0
b0635,mrdA,,666316,668217,-,peptidoglycan DD-transpeptidase MrdA,Cell wall/membrane/envelope biogenesis,P0AD65,"YeiE,ppGpp,GlaR",rsfS-rlmH-mrdAB-rlpA,1902.0
b0636,rlmH,,668248,668715,-,23S rRNA m(3)psi1915 methyltransferase,"Translation, ribosomal structure and biogenesis",P0A8I8,ppGpp,rsfS-rlmH-mrdAB-rlpA,468.0
b0637,rsfS,,668719,669036,-,ribosomal silencing factor RsfS,"Translation, ribosomal structure and biogenesis",P0AAT6,ppGpp,rsfS-rlmH-mrdAB-rlpA,318.0
b0638,cobC,,669296,669907,-,putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase,Carbohydrate transport and metabolism,P52086,YbiH,leuS-lptE-holA-nadD-cobC,612.0
b0639,nadD,,669931,670572,-,nicotinate-mononucleotide adenylyltransferase,Coenzyme transport and metabolism,P0A752,"YfeD,Nac",leuS-lptE-holA-nadD-cobC,642.0
b0640,holA,,670574,671605,-,DNA polymerase III subunit delta,"Replication, recombination and repair",P28630,,leuS-lptE-holA-nadD-cobC,1032.0
b0641,lptE,,671605,672186,-,lipopolysaccharide assembly protein LptE,Cell wall/membrane/envelope biogenesis,P0ADC1,YddM,leuS-lptE-holA-nadD-cobC,582.0
b0642,leuS,,672201,674783,-,leucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P07813,,leuS-lptE-holA-nadD-cobC,2583.0
b0643,ybeL,,675018,675500,+,DUF1451 domain-containing protein YbeL,"Translation, ribosomal structure and biogenesis",P0AAT9,ppGpp,ybeL,483.0
b0644,ybeQ,,675570,676547,-,Sel1 repeat-containing protein YbeQ,No COG annotation,P77234,"ppGpp,LeuO,Nac",ybeQ,978.0
b0646,djlB,,677415,678842,+,putative chaperone,"Post-translational modification, protein turnover,and chaperones",P77381,,ybeR-djlB,1428.0
b0647,ybeT,,678852,679406,-,Sel1 repeat-containing protein YbeT,Function unknown,P77296,"omrA,Nac",,
b0648,ybeU,,679508,680215,+,DUF1266 domain-containing protein YbeU,Function unknown,P77427,Nac,,
b0649,djlC,,680212,681663,+,co-chaperone DjlC,"Post-translational modification, protein turnover,and chaperones",P77359,,ybeU-djlC,1452.0
b0650,hscC,,681723,683393,-,chaperone protein HscC,"Post-translational modification, protein turnover,and chaperones",P77319,,hscC,1671.0
b0651,rihA,,683477,684412,-,pyrimidine-specific ribonucleoside hydrolase RihA,Nucleotide transport and metabolism,P41409,Crp,rihA,936.0
b0652,gltL,,684530,685255,-,glutamate/aspartate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAG3,"RpoD,RpoN,FlhDC",gltI-sroC-gltJKL,726.0
b0653,gltK,,685255,685929,-,glutamate/aspartate ABC transporter membrane subunit GltK,Amino acid transport and metabolism,P0AER5,"RpoD,RpoN,FlhDC",gltI-sroC-gltJKL,675.0
b0654,gltJ,,685929,686669,-,glutamate/aspartate ABC transporter membrane subunit GltJ,Inorganic ion transport and metabolism,P0AER3,"RpoD,RpoN,FlhDC",gltI-sroC-gltJKL,741.0
b0655,gltI,,686839,687747,-,glutamate/aspartate ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P37902,"RpoD,RpoN,gcvB,FlhDC",gltI-sroC-gltJKL,909.0
b0656,insH-3,,687997,689013,-,IS5 transposase and trans-activator,"Replication, recombination and repair",A0A385XJE6,Lrp,insH-3,1017.0
b0657,lnt,,689343,690881,-,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,P23930,"RpoH,ppGpp",ybeZYX-lnt,1539.0
b0658,ybeX,,690906,691784,-,CorC-HlyC family protein YbeX,Inorganic ion transport and metabolism,P0AE78,"RpoH,Lrp",ybeZYX-lnt,879.0
b0659,ybeY,,691874,692341,-,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",P0A898,RpoH,ybeZYX-lnt,468.0
