,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
STM1336,rplT,1415011,1415367,+,50S ribosomal subunit protein L20,"Translation, ribosomal structure and biogenesis",,"fnr,nac,nsrR,rpoD"
STM1337,pheS,1415669,1416652,+,phenylalanine tRNA synthetase%2C alpha-subunit,"Translation, ribosomal structure and biogenesis",,"nac,nsrR,phe-tRNA"
STM1338,pheT,1416668,1419055,+,phenylalanine tRNA synthetase%2C beta-subunit,"Translation, ribosomal structure and biogenesis",,"nac,nsrR,phe-tRNA"
STM1339,himA,1419060,1419359,+,integration host factor (IHF)%2C alpha subunit,Transcription,,"ihf,nac,nsrR,rpoS"
STM1340,btuC,1419562,1420542,+,vitamin B12 transport protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1341,btuE,1420634,1421185,+,vitamin B12 transport protein,"Post-translational modification, protein turnover,and chaperones",,
STM1342,btuD,1421185,1421934,+,vitamin B12 transport protein,Coenzyme transport and metabolism,,
STM1343,nlpC,1422011,1422475,+,lipoprotein,Cell wall/membrane/envelope biogenesis,,
STM1344,ydiV,1422789,1423502,+,putative diguanylate cyclase/phosphodiesterase domain 1,Transcription,,"nac,rpoE,sdiA"
STM1345,ydiU,1423564,1425006,+,putative cytoplasmic protein,Function unknown,,iscR
STM1346,ydiE,1425041,1425232,-,putative cytoplasmic protein,Inorganic ion transport and metabolism,,fur
STM1347,aroH,1425389,1426435,-,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase,Amino acid transport and metabolism,,"rpoD,trpR,yeiE"
STM1348,ydiA,1426591,1427424,-,putative inner membrane protein,Nucleotide transport and metabolism,,cra
STM1349,pps,1427761,1430139,+,phosphoenolpyruvate synthase,Coenzyme transport and metabolism,,"cra,rpoD"
STM1350,ydiD,1430181,1431821,-,plant pathogenicity factor-like protein,Lipid transport and metabolism,,yeiE
STM1351,ydiT,1431911,1432204,-,putative ferredoxin,Energy production and conversion,,
STM1352,ydiS,1432201,1433487,-,flavoprotein,Energy production and conversion,,
STM1353,ydiR,1433544,1434479,-,putative electron transfer flavoprotein,Energy production and conversion,,
STM1354,ydiQ,1434501,1435265,-,putative electron transfer flavoprotein,Energy production and conversion,,
STM1355,ydiP,1435728,1436618,+,putative transcription regulator%2C AraC family,Transcription,,
STM1356,ydiO,1436694,1437845,-,putative acyl-CoA dehydrogenase,Lipid transport and metabolism,,nac
STM1357,ydiF,1437859,1439412,-,putative acetyl-CoA:acetoacetyl-CoA transferase beta subunit,Lipid transport and metabolism,,nac
STM1358,aroD,1439608,1440366,-,3-dehydroquinate dehydratase,Amino acid transport and metabolism,,nac
STM1359,ydiB,1440411,1441277,-,putative shikimate 5-dehydrogenase,Amino acid transport and metabolism,,nac
STM1361,ydiM,1442943,1444154,-,putative MFS family transport protein,Amino acid transport and metabolism,,
STM1362,ydiL,1444295,1444654,-,putative cytoplasmic protein,Function unknown,,
STM1364,ydiK,1445112,1446230,-,putative permease,Function unknown,,
STM1365,ydiJ,1446495,1449551,+,putative oxidase,Energy production and conversion,,yeiE
STM1366,STM1366,1449548,1449958,+,putative protein PaaI,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM1367,ydiH,1450018,1450245,+,putative cytoplasmic protein,Function unknown,,
STM1368,STM1368,1450533,1451879,-,putative Na+-dicarboxylate symporter,"Intracellular trafficking, secretion, and vesicular transport",,
STM1369,sufA,1452306,1452674,+,putative HesB-like domain protein,Function unknown,,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1370,sufB,1452683,1454170,+,putative ABC transporter,"Post-translational modification, protein turnover,and chaperones",,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1371,sufC,1454187,1454933,+,putative transport protein,"Post-translational modification, protein turnover,and chaperones",,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1372,sufD,1454908,1456179,+,iron-sulfur component of FhuF stability protein,"Post-translational modification, protein turnover,and chaperones",,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1373,sufS,1456176,1457396,+,selenocysteine lyase,Coenzyme transport and metabolism,,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1374,ynhA,1457409,1457825,+,putative SufE protein,Function unknown,,"fur,ihf,iscR,nsrR,oxyR,rpoD"
STM1375,ynhG,1457980,1458981,+,putative LysM domain protein,Function unknown,,
STM1378,pykF,1459917,1461329,-,pyruvate kinase I,Nucleotide transport and metabolism,,"cra,rpoD,rpoS"
STM1379,orf48,1461731,1463074,-,putative amino acid permease,Amino acid transport and metabolism,,
STM1380,orf32,1463096,1463989,-,putative hydrolase or acyltransferase,Lipid transport and metabolism,,
STM1381,orf245,1464048,1464785,-,putative cytoplasmic protein,Function unknown,,
STM1382,orf408,1464797,1466023,-,putative regulatory protein%2C deoR family,Coenzyme transport and metabolism,,
STM1383,ttrA,1466346,1469408,-,tetrathionate reductase complex%2C subunit A,Energy production and conversion,,
STM1384,ttrC,1469401,1470423,-,tetrathionate reductase complex%2C subunit C,Energy production and conversion,,
STM1385,ttrB,1470424,1471176,-,tetrathionate reductase complex%2C subunit B,Energy production and conversion,,
STM1386,ttrS,1471340,1473118,+,tetrathionate reductase complex: sensory transduction histidine kinase,Signal transduction mechanisms,,
STM1387,ttrR,1473093,1473713,+,tetrathionate reductase complex: response regulator,Transcription,,
STM1388,orf70,1473811,1474023,+,putative cytoplasmic protein,Function unknown,,cra
STM1389,orf319,1474119,1475078,-,putative inner membrane protein,Function unknown,,
STM1390,orf242,1475251,1475979,-,putative regulatory proteins%2C merR family,Transcription,,
STM1391,ssrB,1476158,1476796,-,secretion system regulator: transcriptional activator,Transcription,,
STM1392,ssrA,1476827,1479589,-,secretion system regulator: Sensor component,Signal transduction mechanisms,,
STM1394,ssaC,1480393,1481886,+,secretion system apparatus protein,Cell motility,,
STM1395,ssaD,1481867,1483078,+,secretion system apparatus protein,Function unknown,,
STM1396,ssaE,1483086,1483328,+,secretion system effector,Function unknown,,
STM1398,sseB,1483925,1484515,+,secretion system effector,Function unknown,,
STM1399,sscA,1484512,1484985,+,secretion system chaparone,Function unknown,,
STM1400,sseC,1484988,1486442,+,secretion system effector,Function unknown,,
STM1401,sseD,1486458,1487045,+,secretion system effector,No COG annotation,,
STM1402,sseE,1487048,1487464,+,secretion system effector,Function unknown,,
STM1403,sscB,1487516,1487950,+,secretion system chaparone,Cell motility,,
STM1404,sseF,1487966,1488748,+,secretion system effector,No COG annotation,,
STM1405,sseG,1488745,1489434,+,secretion system effector,No COG annotation,,
STM1406,ssaG,1489528,1489743,+,secretion system apparatus,Function unknown,,
STM1408,ssaI,1490023,1490271,+,secretion system apparatus,No COG annotation,,
STM1409,ssaJ,1490268,1491017,+,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1410,STM1410,1491035,1491583,+,putative cytoplasmic protein,Function unknown,,
STM1411,ssaK,1491580,1492254,+,secretion system apparatus protein,Cell motility,,
STM1412,ssaL,1492220,1493236,+,secretion system apparatus protein,Function unknown,,
STM1413,ssaM,1493294,1493662,+,secretion system apparatus protein,No COG annotation,,
STM1414,ssaV,1493647,1495692,+,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1415,ssaN,1495682,1496983,+,secretion system apparatus protein,Cell motility,,
STM1416,ssaO,1496986,1497363,+,secretion system apparatus protein,No COG annotation,,
STM1417,ssaP,1497344,1497718,+,secretion system apparatus protein,No COG annotation,,
STM1418,ssaQ,1497699,1498667,+,secretion system apparatus protein,Cell motility,,
STM1419,ssaR,1498735,1499382,+,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1420,ssaS,1499379,1499645,+,secretion system apparatus,"Intracellular trafficking, secretion, and vesicular transport",,
STM1421,ssaT,1499646,1500425,+,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1422,ssaU,1500422,1501480,+,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM1425,ydhE,1501953,1503326,-,putative MATE family transport protein,Inorganic ion transport and metabolism,,
STM1426,ribE,1503543,1504184,+,riboflavin synthase%2C alpha chain,Coenzyme transport and metabolism,,
STM1427,cfa,1504226,1505374,-,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,,"nac,rpoD,rpoS"
STM1428,ydhC,1505664,1506869,-,putative MFS family transport protein,Amino acid transport and metabolism,,
STM1429,ydhB,1506982,1507914,+,putative LysR family transcriptional regulator,Transcription,,
STM1430,purR,1507911,1508936,-,transcriptional repressor for pur regulon%2C glyA%2C glnB%2C prsA%2C speA (GalR/LacI family),Transcription,,"fur,purR,rpoD"
STM1431,sodB,1509404,1509985,-,iron superoxide dismutase,Energy production and conversion,,"crp,ihf,nsrR,rpoD"
STM1432,ydhO,1510112,1510966,-,putative cell wall-associated hydrolase,Cell wall/membrane/envelope biogenesis,,"nsrR,rpoD"
STM1433,ydhD,1511268,1511615,+,putative glutaredoxin protein,Energy production and conversion,,"nsrR,rpoD"
STM1434,rnt,1511693,1512340,-,RNase T,"Replication, recombination and repair",,
STM1435,gloA,1512441,1512848,-,glyoxalase I,Coenzyme transport and metabolism,,"nemR,rpoD,rutR"
STM1436,nemA,1512917,1514014,-,N-ethylmaleimide reductase,Energy production and conversion,,"nemR,rpoD,rutR"
STM1437,ydhM,1514073,1514672,-,putative TetR/AcrR family transcriptional repressor,Transcription,,"nemR,rpoD,rutR"
STM1438,ydhL,1514775,1515014,+,putative oxidoreductase,Function unknown,,
STM1439,ydhF,1515065,1515961,+,putative aldo/keto reductase,Function unknown,,
STM1440,sodC,1516041,1516562,+,copper/zinc superoxide dismutase,Inorganic ion transport and metabolism,,"rpoS,yeiE"
STM1441,STM1441,1516538,1518577,-,putative inner membrane protein,"Intracellular trafficking, secretion, and vesicular transport",,"fnr,rpoE"
STM1442,ydhJ,1518577,1519473,-,putative multidrug resistance efflux pump,Defense mechanisms,,"fnr,rpoE"
STM1443,ydhI,1519440,1519676,-,putative inner membrane protein,Function unknown,,"fnr,rpoE"
STM1444,slyA,1519871,1520311,+,MarR family transcriptional regulator for hemolysin,Transcription,,fnr
STM1445,slyB,1520359,1520826,-,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,"fnr,phoP"
STM1446,ydhH,1521098,1522219,+,putative cytoplasmic protein,Nucleotide transport and metabolism,,fnr
STM1447,ydhA,1522307,1522636,+,putative outer membrane lipoprotein,Function unknown,,
STM1448,pdxH,1522695,1523351,+,pyridoxine 5'-phosphate oxidase,Coenzyme transport and metabolism,,
STM1449,tyrS,1523478,1524752,+,tyrosine tRNA synthetase,"Translation, ribosomal structure and biogenesis",,
STM1450,pdxY,1524812,1525672,+,pyridoxal kinase 2,Coenzyme transport and metabolism,,
STM1451,gst,1525731,1526336,-,glutathionine S-transferase,"Post-translational modification, protein turnover,and chaperones",,
STM1452,ydgR,1526441,1527946,-,putative POT family peptide transport protein,"Intracellular trafficking, secretion, and vesicular transport",,"gadX,lrp,nac,ompR,rpoD,ydcI"
STM1453,nth,1528548,1529183,-,endonuclease III,"Replication, recombination and repair",,
STM1454,ydgQ,1529183,1529875,-,putative membrane NADH-quinone reductase protein,Energy production and conversion,,
STM1455,ydgP,1529878,1530498,-,putative Na+-transporting NADH:ubiquinone oxidoreductase gamma subunit,Energy production and conversion,,
STM1456,ydgO,1530502,1531560,-,putative oxidoreductase,Energy production and conversion,,
STM1457,STM1457,1531561,1533768,-,putative respiratory-chain NADH dehydrogenase,Energy production and conversion,,
STM1458,ydgM,1533761,1534339,-,putative alternative beta subunit of Na+-transporting NADH:ubiquinone oxidoreductase,Energy production and conversion,,ybaQ
STM1459,STM1459,1534339,1534920,-,putative inner membrane oxidoreductase protein,Energy production and conversion,,
STM1460,ydgK,1534997,1535437,-,putative inner membrane protein,Function unknown,,
STM1461,ydgT,1535526,1535741,-,putative cytoplasmic protein,Transcription,,gadE
STM1462,ydgJ,1536297,1537412,+,putative oxidoreductase,Function unknown,,
STM1463,add,1537487,1538488,-,adenosine deaminase,Nucleotide transport and metabolism,,"rbsR,rpoD"
STM1466,ydgA,1539192,1540700,-,putative periplasmic protein,Function unknown,,
STM1467,manA,1540803,1541978,-,mannose-6-phosphate isomerase,Carbohydrate transport and metabolism,,"arcA,crp,rpoD"
STM1468,fumA,1542178,1543824,+,fumarase A,Energy production and conversion,,"arcA,crp,fnr,rpoD"
STM1469,fumC,1543992,1545395,+,fumarase C,Energy production and conversion,,"arcA,crp,fnr,fur,marA,rob,rpoD,rpoS,soxR,soxS"
STM1470,tus,1545392,1546321,-,replication termination protein,"Translation, ribosomal structure and biogenesis",,
STM1471,rstB,1546397,1547698,-,sensory histidine kinase in two-component regulatory system with RstA,Signal transduction mechanisms,,"arcA,phoP"
STM1472,STM1472,1547809,1549515,-,putative periplasmic protein,Function unknown,,
STM1473,ompN,1549668,1550801,-,outer membrane protein N,Cell wall/membrane/envelope biogenesis,,"rpoD,rpoS,soxS"
STM1475,rstA,1551281,1552012,-,response regulator in two-component regulatory system with RstB (OmpR family),Transcription,,"arcA,phoP"
STM1476,ydgC,1552139,1552474,+,putative inner membrane protein,Function unknown,,arcA
STM1477,ydgI,1552536,1553918,-,putative amino acid transporter,Amino acid transport and metabolism,,"argR,lrp"
STM1478,ydgH,1554217,1555161,-,putative periplasmic protein,Function unknown,,
STM1479,pntA,1555688,1557217,+,pyridine nucleotide transhydrogenase%2C alpha subunit,Energy production and conversion,,"arcA,nac,rpoD"
STM1480,pntB,1557228,1558616,+,pyridine nucleotide transhydrogenase%2C beta subunit,Energy production and conversion,,"arcA,nac,rpoD"
STM1481,STM1481,1558791,1559825,-,putative membrane transport protein,Function unknown,,
STM1482,ydgF,1560243,1560605,+,putative membrane transporter of cations and cationic drugs,"Intracellular trafficking, secretion, and vesicular transport",,"h-NS,rpoD"
STM1483,ydgE,1560592,1560921,+,putative membrane transporter of cations and cationic drugs,"Intracellular trafficking, secretion, and vesicular transport",,"h-NS,rpoD"
STM1484,STM1484,1560961,1561782,-,putative protease,Cell wall/membrane/envelope biogenesis,,
STM1485,STM1485,1562051,1562335,-,acid shock protein,No COG annotation,,
STM1486,ynfM,1562694,1563947,-,putative MFS familty transport protein,Amino acid transport and metabolism,,
STM1487,ynfL,1564067,1564966,+,putative LysR family transcriptional regulator,Transcription,,
STM1488,mlc,1565094,1566314,+,transcriptional repressor of ptsG and ptsHI,Carbohydrate transport and metabolism,,"crp,mlc,rpoD,rpoH"
STM1489,ynfK,1566440,1567135,+,putative dethiobiotin synthase,Coenzyme transport and metabolism,,"crp,fnr,mlc,rpoD,rpoH"
STM1490,STM1490,1567091,1568380,-,putative chloride channel protein,Inorganic ion transport and metabolism,,
STM1491,STM1491,1568516,1569664,-,ABC-type proline/glycine betaine transport system,Inorganic ion transport and metabolism,,
STM1492,STM1492,1569664,1570311,-,putative binding-protein-dependent transport system,Inorganic ion transport and metabolism,,
STM1493,STM1493,1570321,1571223,-,putative periplasmic component,Cell wall/membrane/envelope biogenesis,,
STM1494,STM1494,1571252,1571962,-,ABC-type transport system protein,Inorganic ion transport and metabolism,,
STM1495,ynfI,1572267,1572881,-,putative component of anaerobic dehydrogenases,Function unknown,,"fnr,nac,narL,rpoD,rpoS"
STM1496,STM1496,1572924,1573781,-,putative dimethylsulfoxide reductase,Function unknown,,"fnr,nac,narL,rpoD,rpoS"
STM1498,STM1498,1574411,1576846,-,putative dimethyl sulfoxide reductase,Energy production and conversion,,"fnr,nac,narL,rpoD,rpoS"
STM1499,STM1499,1576945,1579386,-,putative dimethyl sulfoxide reductase%2C chain A1,Energy production and conversion,,"fnr,nac,narL,rpoD,rpoS"
STM1500,ynfD,1579540,1579848,-,putative outer membrane protein,Function unknown,,fur
STM1501,ynfC,1579943,1580662,+,putative inner membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,
STM1502,speG,1580703,1581263,-,spermidine N1-acetyltransferase,"Translation, ribosomal structure and biogenesis",,"gadX,nac"
STM1503,ynfB,1581299,1581640,-,putative periplasmic protein,Function unknown,,"gadX,nac"
STM1504,ynfA,1581793,1582119,+,putative inner membrane lipoprotein,Function unknown,,
STM1505,rspA,1582241,1583455,+,putative dehydratase,Cell wall/membrane/envelope biogenesis,,gadX
STM1506,rspB,1583466,1584485,+,putative dehydrogenase,Amino acid transport and metabolism,,gadX
STM1508,ydfI,1586062,1587528,+,putative mannitol dehydrogenase,Energy production and conversion,,
STM1509,ydfZ,1587595,1587798,-,putative cytoplasmic protein,Function unknown,,fnr
STM1510,ydfH,1587979,1588665,-,putative gntR family regulatory protein,Transcription,,phoB
STM1511,ydfG,1588795,1589541,-,putative oxidoreductase,Function unknown,,
STM1512,dcp,1589680,1591722,+,dipeptidyl carboxypeptidase II,Amino acid transport and metabolism,,
STM1513,STM1513,1592067,1592249,+,putative cytoplasmic protein,Function unknown,,
STM1514,ydeJ,1592369,1592896,-,putative competence-damaged protein,Function unknown,,"fnr,nac,rpoD"
STM1515,ydeI,1593323,1593715,+,putative periplasmic protein,Function unknown,,"rcdA,rpoD"
STM1517,ydeD,1595822,1596724,+,putative permease%2C integral membrane protein,Amino acid transport and metabolism,,
STM1518,marB,1596843,1597058,-,multiple antibiotic resistance protein,Function unknown,,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS"
STM1519,marA,1597087,1597521,-,AraC/XylS family transcriptional activator of defense systems,Transcription,,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS"
STM1520,marR,1597490,1597924,-,transcriptional repressor of marRAB operon,Transcription,,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS"
STM1521,marC,1598183,1598848,+,putative MarC Transporter,"Intracellular trafficking, secretion, and vesicular transport",,nac
STM1522,ydeA,1598895,1600085,-,MFS family L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein,Amino acid transport and metabolism,,arcA
STM1523,yneJ,1600201,1601073,-,putative LysR family transcriptional regulator,Transcription,,
STM1524,yneI,1601176,1602564,+,putative succinate-semialdehyde dehydrogenase,Energy production and conversion,,ybiH
STM1525,yneH,1602637,1603563,+,putative glutaminase,Amino acid transport and metabolism,,
STM1526,yneG,1603563,1603922,+,putative cytoplasmic protein,Function unknown,,
STM1527,STM1527,1604146,1605093,+,putative inner membrane protein,Function unknown,,
STM1528,STM1528,1605149,1605691,-,putative outer membrane protein,Function unknown,,
STM1530,STM1530,1606408,1607526,+,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,,
STM1531,STM1531,1607667,1608008,-,putative hydrogenase,Energy production and conversion,,
STM1532,STM1532,1608021,1608908,-,putative dehydrogenase protein,Energy production and conversion,,
STM1533,STM1533,1608896,1609957,-,putative hydrogenase,Energy production and conversion,,
STM1534,STM1534,1609975,1610385,-,putative hydrogenase,Function unknown,,
STM1535,STM1535,1610382,1610681,-,putative hydrogenase protein,"Post-translational modification, protein turnover,and chaperones",,
STM1536,STM1536,1610681,1611289,-,putative hydrogenase maturation protease,Amino acid transport and metabolism,,
STM1537,STM1537,1611295,1612038,-,putative Ni/Fe-hydrogenase 1 b-type cytochrome subunit,Energy production and conversion,,
STM1538,STM1538,1611989,1613791,-,putative hydrogenase-1 large subunit,Energy production and conversion,,
STM1539,STM1539,1613794,1614897,-,putative hydrogenase-1 small subunit,Energy production and conversion,,
STM1540,STM1540,1615326,1616417,+,putative hydrolase,Cell wall/membrane/envelope biogenesis,,
STM1541,STM1541,1616463,1617254,+,putative gntR family regulatory protein,Transcription,,
STM1542,STM1542,1617313,1618338,-,putative zinc-binding dehydrogenase,Amino acid transport and metabolism,,
STM1543,STM1543,1618313,1619599,-,putative transport protein,Carbohydrate transport and metabolism,,
STM1544,pqaA,1619776,1621332,-,PhoPQ-regulated protein,Function unknown,,
STM1545,STM1545,1621402,1622643,-,putative multidrug efflux protein,Amino acid transport and metabolism,,
STM1546,STM1546,1622633,1624141,-,putative monooxygenase,Energy production and conversion,,
STM1547,STM1547,1624186,1624674,+,putative marR-family transcriptional regulator,Transcription,,
STM1554,STM1554,1630398,1631864,-,putative coiled-coil protein,No COG annotation,,
STM1555,STM1555,1632123,1633130,+,putative transcriptional regulator,Transcription,,
STM1556,STM1556,1633274,1634725,+,putative Na+/H+ antiporter,Energy production and conversion,,
STM1557,STM1557,1634738,1635940,+,putative aminotransferase,Amino acid transport and metabolism,,"crp,malI,nac,rpoD"
STM1558,STM1558,1636053,1638128,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,,
STM1559,STM1559,1638185,1640713,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,,
STM1560,STM1560,1640710,1642494,-,putative alpha amylase,Carbohydrate transport and metabolism,,
STM1561,STM1561,1642623,1643408,-,putative outer membrane or secreted lipoprotein,Function unknown,,
STM1562,STM1562,1643551,1643880,-,putative periplasmic transport protein,Cell wall/membrane/envelope biogenesis,,"fliZ,gadE,gadW,gadX,h-NS,lrp,marA,phoP,rcsB,rpoD,rpoS,torR"
STM1564,yddX,1645174,1645389,+,putative cytoplasmic protein,Function unknown,,rcsB
STM1565,rpsV,1645484,1645627,+,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis",,"fis,ihf,ompR,rcsB,rpoS"
STM1566,sfcA,1645804,1647501,+,NAD-linked malate dehydrogenase,Energy production and conversion,,
STM1567,adhP,1647787,1648797,+,alcohol dehydrogenase,Function unknown,,fur
STM1568,fdnI,1648888,1649544,-,formate dehydrogenase-N%2C cytochrome B556(Fdn) gamma subunit,Energy production and conversion,,"fnr,narL,narP,rpoD"
STM1569,fdnH,1649537,1650421,-,formate dehydrogenase-N%2C Fe-S beta subunit,Energy production and conversion,,"fnr,narL,narP,rpoD"
STM1571,yddG,1653817,1654641,+,putative permease,Amino acid transport and metabolism,,"fnr,rpoS"
STM1572,nmpC,1655166,1656254,+,new outer membrane protein,Cell wall/membrane/envelope biogenesis,,crp
STM1573,STM1573,1656398,1656778,+,putative cytoplasmic protein,Function unknown,,
STM1574,smvA,1656803,1658290,-,methyl viologen resistance protein,Amino acid transport and metabolism,,
STM1575,STM1575,1658408,1658986,+,putative transcriptional regulator%2C TetR family,Transcription,,
STM1576,narU,1659201,1660589,+,MFS superfamily nitrate extrusion protein,Inorganic ion transport and metabolism,,"rpoD,rpoS"
STM1577,narZ,1660681,1664421,+,nitrate reductase 2%2C alpha subunit,Energy production and conversion,,
STM1578,narY,1664418,1665962,+,nitrate reductase 2%2C beta subunit,Energy production and conversion,,
STM1579,narW,1665962,1666657,+,nitrate reductase 2%2C delta subunit,Energy production and conversion,,rpoE
STM1580,narV,1666654,1667334,+,nitrate reductase 2%2C gamma subunit,Energy production and conversion,,rpoE
STM1582,nhoA,1668369,1669214,-,putative arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,soxS
STM1583,STM1583,1669498,1670130,-,putative cytoplasmic protein,No COG annotation,,
STM1584,ansP,1670643,1672136,+,APC family%2C L-asparagine transport protein,Amino acid transport and metabolism,,rpoS
STM1585,STM1585,1672213,1672434,-,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,
STM1586,STM1586,1672579,1673640,-,putative periplasmic protein,Function unknown,,"arcA,fur,marA"
STM1587,yncD,1673904,1676024,+,putative outer membrane receptor,Inorganic ion transport and metabolism,,arcA
STM1588,yncC,1676091,1676756,-,putative gntR family regulatory protein,Transcription,,
STM1589,yncB,1677090,1678160,-,putative NADP-dependent oxidoreductase,Function unknown,,nac
STM1590,yncA,1678339,1678854,+,putative acyltransferase,Cell wall/membrane/envelope biogenesis,,
STM1591,ydcZ,1678854,1679303,+,putative inner membrane protein,Function unknown,,
STM1592,ydcY,1679308,1679541,-,putative cytoplasmic protein,Function unknown,,fnr
STM1593,srfA,1679765,1681084,+,ssrAB activated gene,Function unknown,,
STM1594,srfB,1681089,1684070,+,ssrAB activated gene,Function unknown,,
STM1595,srfC,1684067,1686211,+,ssrAB activated gene,Function unknown,,
STM1596,ydcX,1686256,1686519,-,putative inner membrane protein,Function unknown,,
STM1597,ydcW,1686828,1688273,-,putative aldehyde dehydrogenase,Energy production and conversion,,"nac,rpoS"
STM1598,ydcR,1688388,1689812,-,putative gntR family regulatory protein,Transcription,,
STM1599,pdgL,1689948,1690718,-,Periplasmic dipeptidase,Cell wall/membrane/envelope biogenesis,,"arcA,nac,ntrC,rpoN,rpoS"
STM1601,ugtL,1691240,1691638,-,putative membrane protein,No COG annotation,,
STM1602,sifB,1692175,1693125,+,Salmonella translocated effector: translocated by SPI-2,Function unknown,,
STM1603,yncJ,1693399,1693629,+,putative periplasmic protein,Function unknown,,
STM1604,ydcP,1693630,1695594,-,putative collagenase,"Post-translational modification, protein turnover,and chaperones",,
STM1605,ydcN,1695673,1696209,-,putative oxidoreductase,Transcription,,"rpoD,sutR"
STM1606,STM1606,1696300,1697478,+,putative benzoate membrane transport protein,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM1607,STM1607,1697532,1698200,-,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,
STM1608,tehB,1698356,1698952,-,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,nsrR
STM1609,tehA,1698939,1699952,-,K+-tellurite ethidium and proflavin transport protein,Inorganic ion transport and metabolism,,"nsrR,yheO"
STM1610,ydcK,1700059,1701039,+,putative nucleoside-diphosphate-sugar pyrophosphorylases,Cell wall/membrane/envelope biogenesis,,yheO
STM1611,rimL,1701036,1701575,-,acetyl transferase,"Translation, ribosomal structure and biogenesis",,
STM1612,STM1612,1701792,1702910,+,putative cellulase protein,Amino acid transport and metabolism,,
STM1613,STM1613,1702907,1703188,+,putative PTS system%2C enzymeIIB component,Carbohydrate transport and metabolism,,
STM1614,STM1614,1703199,1704512,+,putative PTS system enzyme IIC component,Carbohydrate transport and metabolism,,
STM1615,STM1615,1704526,1705332,+,putative nucleoside triphosphatase,Function unknown,,
STM1616,STM1616,1705464,1705901,+,putative sugar specific PTS enzyme II,Carbohydrate transport and metabolism,,
STM1617,STM1617,1705913,1706545,+,putative ribulose-phosphate 3-epimerase,Carbohydrate transport and metabolism,,
STM1618,STM1618,1706561,1707352,+,putative DeoR family transcriptional repressor of sgc operon,Transcription,,
STM1619,STM1619,1707352,1707789,+,cryptic aminoglycoside resistance gene,Transcription,,
STM1620,STM1620,1707836,1709038,-,putative oxidase,Energy production and conversion,,
STM1621,STM1621,1709050,1709625,-,putative periplasmic protein,Function unknown,,
STM1622,ydcG,1709821,1711476,-,putative periplasmic glucans biosynthesis protein,Inorganic ion transport and metabolism,,
STM1623,STM1623,1711696,1713204,-,putative carboxylesterase,Lipid transport and metabolism,,
STM1624,STM1624,1713253,1714596,-,putative cytoplasmic protein,Function unknown,,nac
STM1625,ydcI,1714889,1715812,+,putative LysR family transcriptional regulator,Transcription,,
STM1626,trg,1715873,1717498,-,methyl-accepting chemotaxis protein III,Cell motility,,"crp,fis,fliA"
STM1627,STM1627,1717667,1718785,-,alcohol dehydrogenase class III,Energy production and conversion,,
STM1628,STM1628,1718817,1719092,-,putative cytoplasmic protein,Function unknown,,
STM1630,STM1630,1720145,1720861,-,putative inner membrane protein,No COG annotation,,
STM1631,sseJ,1721287,1722513,+,Salmonella translocated effector,Lipid transport and metabolism,,
STM1632,STM1632,1722634,1722978,-,putative inner membrane protein,Function unknown,,
STM1633,STM1633,1723885,1724646,+,putative periplasmic binding protein,Amino acid transport and metabolism,,
STM1634,STM1634,1724653,1725300,+,putative amino acid ABC transporter permease component,Inorganic ion transport and metabolism,,
STM1635,STM1635,1725325,1726056,+,putative ABC-type polar amino acid transport system,Amino acid transport and metabolism,,
STM1636,STM1636,1726053,1726733,+,putative ABC-type transport system probable membrane spanning protein,Inorganic ion transport and metabolism,,
