locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,TagR1,link
PA2450,0.036258803,PA2450,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2450&e1=1&assembly=complete
PA2793,0.036215002,PA2793,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2793&e1=1&assembly=complete
PA0262,0.036030554,PA0262,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0262&e1=1&assembly=complete
PA3731,0.03476062,PA3731,,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3731&e1=1&assembly=complete
PA1068,0.034604401,PA1068,,heat shock protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1068&e1=1&assembly=complete
PA0040,0.034391943,PA0040,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0040&e1=1&assembly=complete
PA2541,0.033507654000000005,PA2541,,CDP-alcohol phosphatidyltransferase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2541&e1=1&assembly=complete
PA2729,0.032551544,PA2729,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2729&e1=1&assembly=complete
PA1511,0.032442023,PA1511,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1511&e1=1&assembly=complete
PA2455,0.032048976,PA2455,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2455&e1=1&assembly=complete
PA3732,0.031823412,PA3732,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3732&e1=1&assembly=complete
PA3483,0.031467333,PA3483,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3483&e1=1&assembly=complete
PA1369,0.03143016,PA1369,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1369&e1=1&assembly=complete
PA2560,0.031381784,PA2560,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2560&e1=1&assembly=complete
PA4492,0.031057597000000003,PA4492,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4492&e1=1&assembly=complete
PA4580,0.031004044,PA4580,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4580&e1=1&assembly=complete
PA4677,-0.033005416,PA4677,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4677&e1=1&assembly=complete
PA3965,-0.03463815,PA3965,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3965&e1=1&assembly=complete
