,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS05695,rlmKL,NZ_CP009977.1,1227410,1229533,+,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,"Translation, ribosomal structure and biogenesis",A0A3B7CSE8,Op1432,
PN96_RS05700,PN96_RS05700,NZ_CP009977.1,1229548,1229790,+,glutaredoxin family protein,"Post-translational modification, protein turnover, and chaperones",A0A1B1ECB9,Op1432,
PN96_RS05705,PN96_RS05705,NZ_CP009977.1,1229768,1231687,+,ABC transporter ATP-binding protein,Function unknown,A0A3B7CYG3,Op1435,
PN96_RS05710,PN96_RS05710,NZ_CP009977.1,1231695,1233416,+,DUF3466 family protein,Function unknown,UPI000357F4B6,Op1435,
PN96_RS05715,rmf,NZ_CP009977.1,1233588,1233761,+,ribosome modulation factor,"Translation, ribosomal structure and biogenesis",A0A0C3ECK4,Op1438,
PN96_RS05720,fabA,NZ_CP009977.1,1233931,1234449,-,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase,Lipid transport and metabolism,A0A1B1ECB8,Op1439,"FabR,FadR"
PN96_RS05725,PN96_RS05725,NZ_CP009977.1,1234520,1236160,-,Lon protease family protein,"Post-translational modification, protein turnover, and chaperones",UPI0003576A97,Op1441,
PN96_RS05730,matP,NZ_CP009977.1,1236372,1236821,+,macrodomain Ter protein MatP,"Cell cycle control, cell division, chromosome partitioning",UPI00040A1DF7,Op1444,
PN96_RS05735,PN96_RS05735,NZ_CP009977.1,1236832,1237143,+,DUF3634 family protein,Function unknown,A0A3B7CST5,Op1444,
PN96_RS05740,PN96_RS05740,NZ_CP009977.1,1237264,1237584,+,hypothetical protein,No COG annotation,UPI000357AD56,Op1446,
PN96_RS05745,PN96_RS05745,NZ_CP009977.1,1237705,1238274,+,DUF2726 domain-containing protein,"Replication, recombination and repair",UPI000357202D,Op1447,
PN96_RS05755,PN96_RS05755,NZ_CP009977.1,1238686,1239162,+,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",UPI000357A21E,Op1451,
PN96_RS05760,PN96_RS05760,NZ_CP009977.1,1239274,1239744,+,GNAT family N-acetyltransferase,Transcription,A0A1B1ECC2,Op1452,
PN96_RS05765,PN96_RS05765,NZ_CP009977.1,1239754,1240131,+,PH domain-containing protein,Function unknown,UPI000357CFA1,Op1452,
PN96_RS05770,PN96_RS05770,NZ_CP009977.1,1240422,1240829,+,hypothetical protein,Nucleotide transport and metabolism,UPI000357AA96,Op1454,
PN96_RS05775,PN96_RS05775,NZ_CP009977.1,1240829,1241653,+,TIR domain-containing protein,"Post-translational modification, protein turnover, and chaperones",UPI0003576DD9,Op1454,
PN96_RS05780,PN96_RS05780,NZ_CP009977.1,1241650,1242087,+,hypothetical protein,No COG annotation,A0A1B1ECA8,Op1454,
PN96_RS05790,PN96_RS05790,NZ_CP009977.1,1242828,1242926,+,hypothetical protein,No COG annotation,UPI000978379E,Op1457,
PN96_RS05800,PN96_RS05800,NZ_CP009977.1,1243657,1245387,-,response regulator,Signal transduction mechanisms,UPI000357EAAB,Op1458,
PN96_RS05805,PN96_RS05805,NZ_CP009977.1,1245377,1246558,-,FIST C-terminal domain-containing protein,Function unknown,UPI0003571923,Op1458,
PN96_RS05810,PN96_RS05810,NZ_CP009977.1,1246672,1247028,-,hypothetical protein,No COG annotation,UPI00035716E0,Op1461,
PN96_RS05815,ccoN,NZ_CP009977.1,1247287,1248714,+,cytochrome-c oxidase%2C cbb3-type subunit I,Energy production and conversion,A0A1B1EC98,Op1462,
PN96_RS05820,ccoO,NZ_CP009977.1,1248728,1249348,+,cytochrome-c oxidase%2C cbb3-type subunit II,Energy production and conversion,A0A1B1ECA1,Op1462,
PN96_RS05825,PN96_RS05825,NZ_CP009977.1,1249358,1249531,+,CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone,"Post-translational modification, protein turnover, and chaperones",A0A1B1ECB4,Op1462,
PN96_RS05830,ccoP,NZ_CP009977.1,1249531,1250505,+,cytochrome-c oxidase%2C cbb3-type subunit III,Energy production and conversion,UPI000357A4CD,Op1462,
PN96_RS05835,PN96_RS05835,NZ_CP009977.1,1250611,1251087,+,FixH family protein,Function unknown,A0A1B1ED12,Op1464,
PN96_RS05840,cadA,NZ_CP009977.1,1251092,1253455,+,cadmium-translocating P-type ATPase,Inorganic ion transport and metabolism,UPI000358333E,Op1464,
PN96_RS05845,ccoS,NZ_CP009977.1,1253471,1253635,+,cbb3-type cytochrome oxidase assembly protein CcoS,Inorganic ion transport and metabolism,A0A1B1ECC6,Op1464,
PN96_RS05850,PN96_RS05850,NZ_CP009977.1,1253644,1254321,+,sulfite exporter TauE/SafE family protein,Function unknown,UPI000462911A,Op1464,
PN96_RS05855,FNR,NZ_CP009977.1,1254412,1255158,+,FNR family transcription factor,Transcription,A0A1B1EC91,Op1469,"Crp,FNR"
PN96_RS05860,uspE,NZ_CP009977.1,1255339,1256286,+,universal stress protein UspE,Signal transduction mechanisms,A0A3B7CXE6,Op1470,
PN96_RS05865,ttcA,NZ_CP009977.1,1256399,1257292,-,tRNA 2-thiocytidine(32) synthetase TtcA,"Translation, ribosomal structure and biogenesis",A0A1B1EC88,Op1471,
PN96_RS05870,PN96_RS05870,NZ_CP009977.1,1257485,1258144,-,DUF2987 domain-containing protein,Function unknown,UPI000356E903,Op1472,
PN96_RS05875,PN96_RS05875,NZ_CP009977.1,1258402,1259202,-,hypothetical protein,No COG annotation,UPI00035723BA,Op1473,
PN96_RS05880,potA,NZ_CP009977.1,1259585,1260718,+,spermidine/putrescine ABC transporter ATP-binding protein PotA,Inorganic ion transport and metabolism,UPI000462795E,Op1475,
PN96_RS05885,potB,NZ_CP009977.1,1260699,1261559,+,spermidine/putrescine ABC transporter permease PotB,Inorganic ion transport and metabolism,A0A1B1ECI7,Op1475,
PN96_RS05890,potC,NZ_CP009977.1,1261559,1262329,+,spermidine/putrescine ABC transporter permease PotC,Inorganic ion transport and metabolism,A0A1B1ED02,Op1475,
PN96_RS05895,PN96_RS05895,NZ_CP009977.1,1262436,1263467,+,extracellular solute-binding protein,Inorganic ion transport and metabolism,UPI000357FDCB,Op1477,
PN96_RS05900,PN96_RS05900,NZ_CP009977.1,1263704,1264741,+,extracellular solute-binding protein,Inorganic ion transport and metabolism,UPI000243B4D5,Op1479,QstR
PN96_RS05905,cobB,NZ_CP009977.1,1264808,1265530,-,NAD-dependent protein deacylase,Transcription,UPI000357430D,Op1481,
PN96_RS24170,PN96_RS24170,NZ_CP009977.1,1265651,1265827,+,hypothetical protein,No COG annotation,UPI000243B4D3,Op1483,
PN96_RS05910,amtB2,NZ_CP009977.1,1265907,1267127,-,ammonium transporter,Inorganic ion transport and metabolism,UPI0003581745,Op1484,NtrC
PN96_RS05915,PN96_RS05915,NZ_CP009977.1,1267442,1268860,-,MATE family efflux transporter,Defense mechanisms,UPI00035835E3,Op1486,
PN96_RS05920,PN96_RS05920,NZ_CP009977.1,1268994,1269875,+,helix-turn-helix domain-containing protein,Transcription,UPI000427F3D4,Op1488,
PN96_RS05925,PN96_RS05925,NZ_CP009977.1,1269836,1270450,-,sugar O-acetyltransferase,Function unknown,UPI000357E203,Op1490,
PN96_RS05930,PN96_RS05930,NZ_CP009977.1,1270746,1271162,-,membrane protein,No COG annotation,UPI000357C5C2,Op1491,
PN96_RS05935,PN96_RS05935,NZ_CP009977.1,1271146,1272198,-,formate dehydrogenase subunit gamma,Energy production and conversion,A0A3B7CQT1,Op1491,
PN96_RS05940,fdh3B,NZ_CP009977.1,1272213,1272821,-,formate dehydrogenase FDH3 subunit beta,Energy production and conversion,A0A1B1ECZ2,Op1491,
PN96_RS05945,PN96_RS05945,NZ_CP009977.1,1272833,1275688,-,formate dehydrogenase subunit alpha,Energy production and conversion,A0A1B1EC81,Op1491,
PN96_RS05950,PN96_RS05950,NZ_CP009977.1,1275699,1275899,-,transcriptional initiation protein Tat,Function unknown,A0A1B1ECA6,Op1491,
PN96_RS05955,PN96_RS05955,NZ_CP009977.1,1275973,1276599,-,molecular chaperone,Function unknown,UPI000243B4C8,Op1496,
PN96_RS05960,PN96_RS05960,NZ_CP009977.1,1276609,1278270,-,4Fe-4S binding protein,Energy production and conversion,A0A3B7CRP6,Op1496,
PN96_RS05965,PN96_RS05965,NZ_CP009977.1,1278575,1279189,-,DUF3306 domain-containing protein,Function unknown,UPI0003573D79,Op1499,
PN96_RS05970,PN96_RS05970,NZ_CP009977.1,1279179,1279646,-,DUF3305 domain-containing protein,Function unknown,A0A1B1EC73,Op1499,
PN96_RS05975,PN96_RS05975,NZ_CP009977.1,1279976,1280806,+,formate dehydrogenase accessory sulfurtransferase FdhD,Energy production and conversion,UPI000357D434,Op1500,
PN96_RS05980,PN96_RS05980,NZ_CP009977.1,1281124,1282716,-,ABC-F family ATPase,Function unknown,A0A1B1EC78,Op1502,Crp
PN96_RS05985,PN96_RS05985,NZ_CP009977.1,1282858,1284900,-,cache domain-containing protein,Signal transduction mechanisms,UPI0003576779,Op1504,
PN96_RS05990,PN96_RS05990,NZ_CP009977.1,1284890,1286341,-,sigma-54 dependent transcriptional regulator,Signal transduction mechanisms,UPI000357BB32,Op1504,
PN96_RS05995,PN96_RS05995,NZ_CP009977.1,1286662,1287480,+,substrate-binding domain-containing protein,Coenzyme transport and metabolism,A0A3B7CXC7,Op1510,AphA
PN96_RS06000,PN96_RS06000,NZ_CP009977.1,1287487,1288185,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1EC97,Op1510,
PN96_RS06005,PN96_RS06005,NZ_CP009977.1,1288229,1288948,+,energy-coupling factor ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A1B1EC74,Op1512,
PN96_RS06010,mobA,NZ_CP009977.1,1288926,1289513,+,molybdenum cofactor guanylyltransferase MobA,Coenzyme transport and metabolism,UPI00035719DE,Op1514,
PN96_RS06015,PN96_RS06015,NZ_CP009977.1,1289510,1291288,+,bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA,Coenzyme transport and metabolism,UPI000357F0DA,Op1514,QstR
PN96_RS06020,PN96_RS06020,NZ_CP009977.1,1291452,1291718,+,DUF2960 domain-containing protein,Function unknown,A0A1B1EC64,Op1517,
PN96_RS06025,PN96_RS06025,NZ_CP009977.1,1291788,1292279,-,hypothetical protein,No COG annotation,UPI001268E79E,Op1518,
PN96_RS06030,nagK,NZ_CP009977.1,1292462,1293370,-,N-acetylglucosamine kinase,Nucleotide transport and metabolism,A0A1B1EC68,Op1519,
PN96_RS06035,PN96_RS06035,NZ_CP009977.1,1293546,1294295,-,DTW domain-containing protein,Function unknown,UPI00046278E3,Op1521,
PN96_RS06040,PN96_RS06040,NZ_CP009977.1,1294435,1295253,+,sterol desaturase family protein,Lipid transport and metabolism,UPI0004083578,Op1522,
PN96_RS06045,PN96_RS06045,NZ_CP009977.1,1295315,1295695,-,hypothetical protein,No COG annotation,A0A1B1ECX2,Op1524,
PN96_RS06055,PN96_RS06055,NZ_CP009977.1,1296008,1298014,-,chemotaxis protein,Cell motility,UPI000357DE83,Op1526,
PN96_RS06060,PN96_RS06060,NZ_CP009977.1,1298155,1298646,+,C40 family peptidase,Cell wall/membrane/envelope biogenesis,UPI0004628244,Op1528,PurR
PN96_RS06065,PN96_RS06065,NZ_CP009977.1,1298699,1299043,-,DUF3802 family protein,Function unknown,A0A1B1EC87,Op1529,
PN96_RS06070,PN96_RS06070,NZ_CP009977.1,1299202,1300164,-,diguanylate cyclase,Signal transduction mechanisms,UPI00035826BD,Op1530,
PN96_RS06075,PN96_RS06075,NZ_CP009977.1,1300164,1301138,-,response regulator,Signal transduction mechanisms,A0A1B1EGQ9,Op1530,
PN96_RS06080,PN96_RS06080,NZ_CP009977.1,1301363,1302229,+,fructosamine kinase family protein,Carbohydrate transport and metabolism,A0A1B1EC53,Op1532,
PN96_RS06085,PN96_RS06085,NZ_CP009977.1,1302461,1302655,+,CPXCG motif-containing cysteine-rich protein,Function unknown,A0A1B1EC70,Op1534,
PN96_RS06090,PN96_RS06090,NZ_CP009977.1,1302718,1303329,-,riboflavin synthase,Coenzyme transport and metabolism,UPI000357A5FD,Op1535,
PN96_RS06095,PN96_RS06095,NZ_CP009977.1,1303619,1304989,+,MATE family efflux transporter,Defense mechanisms,UPI0003574E99,Op1536,"Crp,FNR"
PN96_RS06100,PN96_RS06100,NZ_CP009977.1,1305091,1306098,+,DUF3080 domain-containing protein,Function unknown,UPI00035809E4,Op1537,
PN96_RS06105,PN96_RS06105,NZ_CP009977.1,1306112,1306954,-,DNA ligase,"Replication, recombination and repair",UPI00035748AC,Op1540,"QstR,TfoX"
PN96_RS06110,PN96_RS06110,NZ_CP009977.1,1307113,1307502,-,ATP-binding protein,Function unknown,A0A1B1EC60,Op1541,
PN96_RS06115,PN96_RS06115,NZ_CP009977.1,1307623,1309206,-,BCCT family transporter,Cell wall/membrane/envelope biogenesis,UPI000357D966,Op1543,
PN96_RS06120,PN96_RS06120,NZ_CP009977.1,1309545,1310060,-,porin family protein,Cell wall/membrane/envelope biogenesis,A0A1B1ECW2,Op1545,
PN96_RS06125,PN96_RS06125,NZ_CP009977.1,1310290,1310769,-,porin family protein,Cell wall/membrane/envelope biogenesis,A0A1B1EGI5,Op1546,
PN96_RS06130,hrpA,NZ_CP009977.1,1310953,1314924,-,ATP-dependent RNA helicase HrpA,"Replication, recombination and repair",UPI00035744DE,Op1547,
PN96_RS06135,PN96_RS06135,NZ_CP009977.1,1315111,1315695,+,FMN-dependent NADH-azoreductase,Energy production and conversion,A0A1B1EC54,Op1552,
PN96_RS06140,PN96_RS06140,NZ_CP009977.1,1315809,1316213,-,hypothetical protein,No COG annotation,A0A1B1EGE8,Op1553,
PN96_RS06145,PN96_RS06145,NZ_CP009977.1,1316562,1316906,+,hypothetical protein,No COG annotation,A0A1B1EC77,Op1555,
PN96_RS06150,PN96_RS06150,NZ_CP009977.1,1316916,1318856,+,alkaline phosphatase family protein,Inorganic ion transport and metabolism,UPI0003580F52,Op1555,
PN96_RS06155,PN96_RS06155,NZ_CP009977.1,1318978,1319418,+,TerB family tellurite resistance protein,Function unknown,A0A3B7CS58,Op1558,
PN96_RS06160,PN96_RS06160,NZ_CP009977.1,1319603,1320133,-,exonuclease domain-containing protein,"Replication, recombination and repair",UPI000243B3CE,Op1560,
PN96_RS06165,PN96_RS06165,NZ_CP009977.1,1320572,1321204,+,DUF2760 domain-containing protein,Function unknown,A0A1B1EC46,Op1561,
PN96_RS06170,PN96_RS06170,NZ_CP009977.1,1321204,1323168,+,Hsp70 family protein,"Post-translational modification, protein turnover, and chaperones",UPI0003574986,Op1561,
PN96_RS06175,PN96_RS06175,NZ_CP009977.1,1323224,1326046,+,hsp70 family protein,"Post-translational modification, protein turnover, and chaperones",UPI000356FE91,Op1563,
PN96_RS06180,PN96_RS06180,NZ_CP009977.1,1326134,1326328,-,hypothetical protein,No COG annotation,A0A1B1ECD9,Op1567,
PN96_RS06185,PN96_RS06185,NZ_CP009977.1,1326415,1327101,+,DNA-3-methyladenine glycosylase I,"Replication, recombination and repair",UPI000357BD0B,Op1568,
PN96_RS06190,PN96_RS06190,NZ_CP009977.1,1327484,1329226,+,ATP-binding cassette domain-containing protein,Defense mechanisms,UPI000358153B,Op1569,
PN96_RS06195,PN96_RS06195,NZ_CP009977.1,1329227,1331005,+,ATP-binding cassette domain-containing protein,Defense mechanisms,UPI000358117B,Op1569,
PN96_RS06200,PN96_RS06200,NZ_CP009977.1,1331279,1331827,+,hypothetical protein,No COG annotation,A0A3B7CSJ2,Op1573,
PN96_RS06205,PN96_RS06205,NZ_CP009977.1,1331902,1332120,-,hypothetical protein,No COG annotation,UPI0003572259,Op1575,LexA
PN96_RS06210,PN96_RS06210,NZ_CP009977.1,1332223,1333338,-,c-di-GMP phosphodiesterase,Signal transduction mechanisms,UPI0003581EC5,Op1576,
PN96_RS06215,tyrP,NZ_CP009977.1,1333584,1334789,-,aromatic amino acid transporter,"Intracellular trafficking, secretion, and vesicular transport",UPI000243B2DA,Op1578,TyrR
PN96_RS06220,PN96_RS06220,NZ_CP009977.1,1335177,1335779,-,2OG-Fe(II) oxygenase,"Post-translational modification, protein turnover, and chaperones",UPI000357036D,Op1581,
PN96_RS06225,PN96_RS06225,NZ_CP009977.1,1336137,1337075,+,LysR family transcriptional regulator,Transcription,UPI0003576603,Op1583,
PN96_RS06230,PN96_RS06230,NZ_CP009977.1,1337805,1338278,-,response regulator,Signal transduction mechanisms,UPI000357E602,Op1586,
PN96_RS06235,PN96_RS06235,NZ_CP009977.1,1338265,1339602,-,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,UPI000357FBE3,Op1586,
PN96_RS06240,PN96_RS06240,NZ_CP009977.1,1339606,1341024,-,SLC13 family permease,Inorganic ion transport and metabolism,A0A1B1ECU4,Op1586,
PN96_RS06245,PN96_RS06245,NZ_CP009977.1,1341401,1341931,-,HupE/UreJ family protein,"Post-translational modification, protein turnover, and chaperones",UPI00035800A0,Op1589,
PN96_RS06250,ureG,NZ_CP009977.1,1341943,1342584,-,urease accessory protein UreG,Transcription,A0A1B1EC57,Op1589,
PN96_RS06255,PN96_RS06255,NZ_CP009977.1,1342587,1343249,-,hypothetical protein,"Post-translational modification, protein turnover, and chaperones",UPI00035795AF,Op1589,
PN96_RS06260,ureE,NZ_CP009977.1,1343249,1343737,-,urease accessory protein UreE,"Post-translational modification, protein turnover, and chaperones",UPI0003576C6E,Op1589,
PN96_RS06265,ureC,NZ_CP009977.1,1343766,1345472,-,urease subunit alpha,Amino acid transport and metabolism,UPI000357955A,Op1589,
PN96_RS06270,PN96_RS06270,NZ_CP009977.1,1345532,1345837,-,urease subunit beta,Amino acid transport and metabolism,UPI000243B2CF,Op1589,
PN96_RS06275,ureA,NZ_CP009977.1,1345846,1346148,-,urease subunit gamma,Amino acid transport and metabolism,A0A1B1EC25,Op1589,
PN96_RS06280,PN96_RS06280,NZ_CP009977.1,1346253,1347110,-,urease accessory protein UreD,"Post-translational modification, protein turnover, and chaperones",UPI0003578B77,Op1594,
PN96_RS06285,urtE,NZ_CP009977.1,1347115,1347810,-,urea ABC transporter ATP-binding subunit UrtE,Amino acid transport and metabolism,A0A1B1ECB7,Op1594,
PN96_RS06290,urtD,NZ_CP009977.1,1347807,1348643,-,urea ABC transporter ATP-binding protein UrtD,Function unknown,A0A3B7CRI7,Op1594,
PN96_RS06295,urtC,NZ_CP009977.1,1348640,1349725,-,urea ABC transporter permease subunit UrtC,Amino acid transport and metabolism,UPI000356E370,Op1594,
PN96_RS06300,urtB,NZ_CP009977.1,1349728,1351392,-,urea ABC transporter permease subunit UrtB,Amino acid transport and metabolism,UPI000356FB49,Op1594,
PN96_RS06305,urtA,NZ_CP009977.1,1351545,1352819,-,urea ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A3B7CSS1,Op1594,
PN96_RS06310,PN96_RS06310,NZ_CP009977.1,1353201,1356512,+,response regulator,Signal transduction mechanisms,UPI00035785E2,Op1599,
PN96_RS06315,PN96_RS06315,NZ_CP009977.1,1356490,1357392,+,response regulator,Transcription,UPI000243B2C6,Op1602,
PN96_RS06320,PN96_RS06320,NZ_CP009977.1,1357469,1358077,-,dienelactone hydrolase family protein,Function unknown,UPI000357CCC9,Op1604,
PN96_RS06325,PN96_RS06325,NZ_CP009977.1,1358268,1358519,+,hypothetical protein,Signal transduction mechanisms,UPI0003572C3C,Op1606,
PN96_RS06330,PN96_RS06330,NZ_CP009977.1,1358611,1359429,+,DNA-binding transcriptional regulator,Transcription,A0A1B1EC20,Op1607,
PN96_RS06335,PN96_RS06335,NZ_CP009977.1,1359484,1360842,-,MHS family MFS transporter,Amino acid transport and metabolism,UPI0003575223,Op1609,
PN96_RS06340,dmpG,NZ_CP009977.1,1360935,1361948,-,4-hydroxy-2-oxovalerate aldolase,Amino acid transport and metabolism,UPI0003581B39,Op1611,
PN96_RS06345,PN96_RS06345,NZ_CP009977.1,1361960,1362895,-,acetaldehyde dehydrogenase (acetylating),"Secondary metabolites biosynthesis, transport, and catabolism",A0A3B7CRH6,Op1611,
PN96_RS06350,mhpD,NZ_CP009977.1,1362892,1363692,-,2-keto-4-pentenoate hydratase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI000243B2BF,Op1611,
PN96_RS06355,PN96_RS06355,NZ_CP009977.1,1363703,1364566,-,alpha/beta fold hydrolase,Amino acid transport and metabolism,UPI0003579E83,Op1611,
PN96_RS06360,PN96_RS06360,NZ_CP009977.1,1364559,1365548,-,3-carboxyethylcatechol 2%2C3-dioxygenase,Function unknown,UPI000357E5BB,Op1611,
PN96_RS06365,PN96_RS06365,NZ_CP009977.1,1365550,1367235,-,bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,Energy production and conversion,UPI000B1EB3B7,Op1611,
PN96_RS06370,PN96_RS06370,NZ_CP009977.1,1367809,1368336,-,chromate transporter,Inorganic ion transport and metabolism,A0A3B7CQK4,Op1614,
PN96_RS06375,PN96_RS06375,NZ_CP009977.1,1368339,1368923,-,chromate transporter,Inorganic ion transport and metabolism,A0A1B1EC06,Op1614,
PN96_RS06380,PN96_RS06380,NZ_CP009977.1,1368945,1369814,-,DUF5718 family protein,No COG annotation,UPI000358222B,Op1614,
PN96_RS06385,PN96_RS06385,NZ_CP009977.1,1369804,1371057,-,allantoate amidohydrolase,Amino acid transport and metabolism,UPI0003571071,Op1614,
PN96_RS06390,PN96_RS06390,NZ_CP009977.1,1371082,1372311,-,alanine--glyoxylate aminotransferase family protein,Amino acid transport and metabolism,UPI000357EC7D,Op1614,
PN96_RS06395,PN96_RS06395,NZ_CP009977.1,1372311,1373876,-,gamma-glutamyltransferase family protein,Amino acid transport and metabolism,UPI000462C10F,Op1614,
PN96_RS06400,PN96_RS06400,NZ_CP009977.1,1373879,1375060,-,amidase,"Translation, ribosomal structure and biogenesis",UPI000357F5C8,Op1614,
PN96_RS06405,PN96_RS06405,NZ_CP009977.1,1375171,1376610,-,NCS1 family nucleobase:cation symporter-1,Nucleotide transport and metabolism,A0A3B7CSE9,Op1619,
PN96_RS06410,PN96_RS06410,NZ_CP009977.1,1376949,1377620,+,GntR family transcriptional regulator,Transcription,A0A1B1EC01,Op1620,
PN96_RS06415,PN96_RS06415,NZ_CP009977.1,1377627,1378358,+,aspartate/glutamate racemase family protein,Amino acid transport and metabolism,A0A3B7CS14,Op1620,
PN96_RS06420,puuE,NZ_CP009977.1,1378416,1379345,+,allantoinase PuuE,Carbohydrate transport and metabolism,UPI00035721E2,Op1621,
PN96_RS06425,PN96_RS06425,NZ_CP009977.1,1379481,1379840,-,hypothetical protein,No COG annotation,UPI000356E32D,Op1623,
PN96_RS06430,PN96_RS06430,NZ_CP009977.1,1380119,1380349,+,PAS factor family protein,Function unknown,A0A1B1EBZ3,Op1624,
PN96_RS06435,PN96_RS06435,NZ_CP009977.1,1380555,1381139,+,DUF4255 domain-containing protein,Function unknown,UPI000357E82E,Op1626,
PN96_RS06440,PN96_RS06440,NZ_CP009977.1,1381139,1381945,+,hypothetical protein,No COG annotation,UPI000357B68F,Op1626,
PN96_RS06445,PN96_RS06445,NZ_CP009977.1,1382172,1383725,+,tail protein,Function unknown,A0A1B1ECN3,Op1629,
PN96_RS06450,PN96_RS06450,NZ_CP009977.1,1383808,1384287,+,phage tail protein,Function unknown,A0A1B1EBZ5,Op1632,
PN96_RS06455,PN96_RS06455,NZ_CP009977.1,1384373,1384816,+,phage tail protein,Function unknown,A0A3B7CSE0,Op1633,
PN96_RS06460,PN96_RS06460,NZ_CP009977.1,1384839,1385045,+,hypothetical protein,No COG annotation,UPI000357CBC2,Op1633,
PN96_RS06465,PN96_RS06465,NZ_CP009977.1,1385048,1385713,+,hypothetical protein,Function unknown,UPI000357394A,Op1633,
PN96_RS06470,vgrG,NZ_CP009977.1,1385726,1387519,+,type VI secretion system tip protein VgrG,Function unknown,UPI00035711CF,Op1633,
PN96_RS06475,PN96_RS06475,NZ_CP009977.1,1387545,1387844,+,PAAR domain-containing protein,Function unknown,UPI00035793A5,Op1633,
PN96_RS06480,PN96_RS06480,NZ_CP009977.1,1387869,1388318,+,GPW/gp25 family protein,Function unknown,A0A3B7D2C6,Op1633,
PN96_RS06485,PN96_RS06485,NZ_CP009977.1,1388315,1392349,+,hypothetical protein,Function unknown,UPI000357ED18,Op1633,
PN96_RS06490,PN96_RS06490,NZ_CP009977.1,1392352,1393179,+,hypothetical protein,No COG annotation,UPI0003570100,Op1633,
PN96_RS06495,PN96_RS06495,NZ_CP009977.1,1393182,1395551,+,hypothetical protein,Coenzyme transport and metabolism,UPI0003572055,Op1633,
PN96_RS06500,PN96_RS06500,NZ_CP009977.1,1395548,1399351,+,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",UPI00035788F7,Op1633,
PN96_RS06505,PN96_RS06505,NZ_CP009977.1,1399364,1402117,+,hypothetical protein,No COG annotation,UPI000356EB1F,Op1633,
PN96_RS06510,PN96_RS06510,NZ_CP009977.1,1402223,1402648,-,hypothetical protein,No COG annotation,UPI00035739D8,Op1648,
PN96_RS06515,PN96_RS06515,NZ_CP009977.1,1403915,1404346,-,DUF4157 domain-containing protein,Function unknown,,Op1650,
PN96_RS06520,PN96_RS06520,NZ_CP009977.1,1404429,1405811,-,AAA family ATPase,"Post-translational modification, protein turnover, and chaperones",A0A1B1EBY6,Op1651,
PN96_RS06525,hcaR,NZ_CP009977.1,1406089,1406982,-,DNA-binding transcriptional regulator HcaR,Transcription,UPI000358152E,Op1652,
PN96_RS06530,PN96_RS06530,NZ_CP009977.1,1407119,1408477,+,aromatic ring-hydroxylating dioxygenase subunit alpha,Inorganic ion transport and metabolism,UPI000356E17A,Op1654,
PN96_RS06535,PN96_RS06535,NZ_CP009977.1,1408474,1408992,+,3-phenylpropionate/cinnamic acid dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",A0A3B7CX49,Op1654,
PN96_RS06540,PN96_RS06540,NZ_CP009977.1,1408992,1409309,+,bifunctional 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit,Inorganic ion transport and metabolism,A0A3B7CQM9,Op1654,
PN96_RS06545,hcaB,NZ_CP009977.1,1409306,1410118,+,3-(cis-5%2C6-dihydroxycyclohexa-1%2C3-dien-1-yl)propanoate dehydrogenase,Lipid transport and metabolism,UPI0003583176,Op1654,
PN96_RS06550,PN96_RS06550,NZ_CP009977.1,1410128,1411333,+,phenylpropionate dioxygenase ferredoxin reductase subunit,Inorganic ion transport and metabolism,UPI00035715BF,Op1654,
PN96_RS06555,PN96_RS06555,NZ_CP009977.1,1411528,1412484,+,homocysteine S-methyltransferase family protein,Amino acid transport and metabolism,UPI00035709E4,Op1658,
PN96_RS06560,mqo,NZ_CP009977.1,1412925,1414526,+,malate dehydrogenase (quinone),Energy production and conversion,UPI0003578444,Op1659,
PN96_RS06565,PN96_RS06565,NZ_CP009977.1,1415037,1415378,+,DUF3316 domain-containing protein,No COG annotation,A0A1B1EBX3,Op1660,
PN96_RS06570,nlpI,NZ_CP009977.1,1415464,1416405,-,lipoprotein NlpI,Function unknown,UPI000356F3DF,Op1661,
PN96_RS06575,PN96_RS06575,NZ_CP009977.1,1416780,1417586,+,Cof-type HAD-IIB family hydrolase,Energy production and conversion,UPI000357967B,Op1663,
PN96_RS06580,PN96_RS06580,NZ_CP009977.1,1417710,1418480,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,A0A1B1EBX4,Op1664,
