locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RpoN,AlgU,link
PA0537,0.044121194,PA0537,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0537&e1=1&assembly=complete
PA5107,0.044041199,blc,,outer membrane lipoprotein Blc,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5107&e1=1&assembly=complete
PA2148,0.043622378,PA2148,,hypothetical protein,Function unknown,RpoN,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2148&e1=1&assembly=complete
PA0553,0.042763261000000004,PA0553,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0553&e1=1&assembly=complete
PA1985,0.042543703,pqqA,,coenzyme PQQ synthesis protein A,No COG annotation,"ErbR,ErbR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1985&e1=1&assembly=complete
PA4788,0.042411108,PA4788,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4788&e1=1&assembly=complete
PA3796,0.04235763,PA3796,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3796&e1=1&assembly=complete
PA1606,0.041928455,PA1606,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1606&e1=1&assembly=complete
PA0853,0.041670176,PA0853,,oxidoreductase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0853&e1=1&assembly=complete
PA5423,0.041282513,PA5423,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5423&e1=1&assembly=complete
PA2151,0.04057967,PA2151,,alpha-1%2C4-glucan:maltose-1-phosphate maltosyltransferase,Carbohydrate transport and metabolism,RpoN,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2151&e1=1&assembly=complete
PA5481,0.040127723000000004,PA5481,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5481&e1=1&assembly=complete
PA3739,0.039543579,PA3739,,sodium/hydrogen antiporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3739&e1=1&assembly=complete
PA2883,0.039470361,PA2883,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2883&e1=1&assembly=complete
PA2778,0.039075682,PA2778,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2778&e1=1&assembly=complete
PA0060,0.038789208000000006,PA0060,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0060&e1=1&assembly=complete
PA2177,0.038530397,PA2177,,sensor/response regulator hybrid protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2177&e1=1&assembly=complete
PA0536,0.03797214,PA0536,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0536&e1=1&assembly=complete
PA5060,0.037109688,phaF,,polyhydroxyalkanoate synthesis protein PhaF,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5060&e1=1&assembly=complete
PA2747,0.037107712,PA2747,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2747&e1=1&assembly=complete
PA5183,0.037031463,PA5183,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5183&e1=1&assembly=complete
PA1921,0.036945486,PA1921,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1921&e1=1&assembly=complete
PA4346,0.036683603,PA4346,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4346&e1=1&assembly=complete
PA2244,0.036659834,pslN,,hypothetical protein,"Replication, recombination and repair",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2244&e1=1&assembly=complete
PA2417,0.036449725,PA2417,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2417&e1=1&assembly=complete
PA1797a,0.036415287000000005,PA1797a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1797a&e1=1&assembly=complete
PA3461,0.036370876,PA3461,,hypothetical protein,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3461&e1=1&assembly=complete
PA2896,0.036243002,PA2896,,RNA polymerase sigma factor,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2896&e1=1&assembly=complete
PA4575,0.036035588,PA4575,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4575&e1=1&assembly=complete
PA3886a,0.035917133000000004,PA3886a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3886a&e1=1&assembly=complete
PA3160,0.035137773000000004,wzz,,O-antigen chain length regulator,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3160&e1=1&assembly=complete
PA3031,0.034833404000000005,PA3031,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3031&e1=1&assembly=complete
PA1680,0.034809843,PA1680,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1680&e1=1&assembly=complete
PA2071,0.034490212,fusA2,,elongation factor G,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2071&e1=1&assembly=complete
PA0332,0.034378409000000006,PA0332,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0332&e1=1&assembly=complete
PA2150,0.034286511,PA2150,,non-homologous end joining protein Ku,"Replication, recombination and repair",RpoN,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2150&e1=1&assembly=complete
PA2175,0.034215307,PA2175,,hypothetical protein,No COG annotation,RpoN,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2175&e1=1&assembly=complete
PA2023,0.034041541,galU,,UTP-glucose-1-phosphate uridylyltransferase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2023&e1=1&assembly=complete
PA2107,0.03346106,PA2107,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2107&e1=1&assembly=complete
PA4972,0.033351619,PA4972,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4972&e1=1&assembly=complete
PA1870,0.033332060000000004,PA1870,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1870&e1=1&assembly=complete
PA3762,0.033231671000000004,PA3762,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3762&e1=1&assembly=complete
PA3857,0.032696105,pcs,,phosphatidylcholine synthase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3857&e1=1&assembly=complete
PA4786,0.03254347,PA4786,,3-ketoacyl-ACP reductase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4786&e1=1&assembly=complete
PA0766,0.032472648,mucD,,serine protease MucD,Cell wall/membrane/envelope biogenesis,AlgU,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0766&e1=1&assembly=complete
PA2988,0.0322156,PA2988,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2988&e1=1&assembly=complete
PA5077,0.032130716000000004,mdoH,,glucosyltransferase MdoH,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5077&e1=1&assembly=complete
PA0229,0.031594869000000005,pcaT,,dicarboxylic acid transporter PcaT,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0229&e1=1&assembly=complete
PA0588,0.031329299000000005,PA0588,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0588&e1=1&assembly=complete
PA2987,0.031197224000000003,PA2987,,lipoprotein-releasing system ABC transporter ATP-binding protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2987&e1=1&assembly=complete
PA2895,0.030960161000000003,PA2895,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2895&e1=1&assembly=complete
PA5352,0.030936543,PA5352,,hypothetical protein,Function unknown,GlcC,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5352&e1=1&assembly=complete
PA0765,0.030911747000000003,mucC,,positive regulator for alginate biosynthesis MucC,Signal transduction mechanisms,AlgU,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0765&e1=1&assembly=complete
PA5262,0.030807686,algZ,,alginate biosynthesis protein AlgZ/FimS,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5262&e1=1&assembly=complete
PA4159,0.030702717,fepB,,iron-enterobactin transporter periplasmic binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4159&e1=1&assembly=complete
PA4390,0.030601264000000003,PA4390,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4390&e1=1&assembly=complete
PA2367,-0.031805551,PA2367,,hypothetical protein,Function unknown,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2367&e1=1&assembly=complete
PA4295,-0.033165363,fppA,,Flp prepilin peptidase FppA,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4295&e1=1&assembly=complete
PA5460,-0.03366663,PA5460,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5460&e1=1&assembly=complete
