,gene_name,start,length,operon,gene_product,regulator
ubiE,ubiE,756.0,756.0,ubiEJB,Function unknown,[]
yfbV,yfbV,456.0,456.0,yfbV,"Replication, recombination and repair","['fnr', 'nac', 'yheO']"
yjbF,yjbF,639.0,639.0,yjbEFGH,No COG Annotation,"['ihf', 'rcsA;rcsB', 'rpoD']"
yjcO,yjcO,690.0,690.0,yjcO,No COG Annotation,['nac']
hemN,hemN,1374.0,1374.0,hemN,"Posttranslational modification, protein turnover, chaperones",['rpoD']
aegA,aegA,1980.0,1980.0,aegA,Energy production and conversion,[]
psiE,psiE,408.0,408.0,psiE,Energy production and conversion,"['crp', 'phoB', 'rpoD']"
mdtO,mdtO,2052.0,2052.0,mdtNOP,Energy production and conversion,[]
mog,mog,588.0,588.0,mog,Function unknown,[]
ygiP,ygiP,933.0,933.0,ttdR,Function unknown,[]
yjbJ,yjbJ,210.0,210.0,yjbJ,Function unknown,"['fur', 'lrp']"
mdtN,mdtN,1032.0,1032.0,mdtNOP,Function unknown,[]
pspE,pspE,315.0,315.0,pspABCDE,Function unknown,"['crp', 'ihf', 'pspF', 'rpoN']"
glpE,glpE,327.0,327.0,glpEGR,Function unknown,"['arcA', 'crp', 'yieP']"
yjbI,yjbI,1326.0,1326.0,yjbI,Function unknown,[]
phnQ,phnQ,405.0,405.0,phnQ,Transcription,[]
fdoG,fdoG,3051.0,3051.0,fdoGHI-fdhE,No COG Annotation,"['arcA', 'crp']"
yjdB,eptA,1644.0,1644.0,eptA,"Translation, ribosomal structure and biogenesis",[]
sfmA,sfmA,543.0,543.0,sfmA,"Translation, ribosomal structure and biogenesis",[]
zraP,zraP,426.0,426.0,zraP,No COG Annotation,"['rpoN', 'zraR']"
dusA,dusA,1038.0,1038.0,dusA,No COG Annotation,[]
aniC,adiC,1338.0,1338.0,adiC,No COG Annotation,[]
bioB,bioB,1041.0,1041.0,bioBFCD,"Replication, recombination and repair","['birA', 'rpoD']"
dcuS,dcuS,1632.0,1632.0,dcuSR,"Replication, recombination and repair","['fnr', 'narL', 'rpoD', 'yeiE']"
yjbQ,yjbQ,417.0,417.0,yjbQR,No COG Annotation,"['gadE', 'lrp', 'nac']"
yjdF,yjdF,630.0,630.0,yjdF,No COG Annotation,[]
gltX,gltX,1416.0,1416.0,gltX,Function unknown,"['fis', 'rpoD']"
xylF,xylF,993.0,993.0,xylFGHR,Function unknown,"['crp', 'fis', 'xylR']"
yccM,yccM,1074.0,1074.0,yccM,Energy production and conversion,[]
rmuC,rmuC,1428.0,1428.0,rmuC,Transcription,"['crp', 'fur', 'ybiH']"
ygjI,ygjI,1434.0,1434.0,ygjI,Energy production and conversion,[]
corA,corA,951.0,951.0,corA,Energy production and conversion,['rpoD']
ybcV,ybcV,411.0,411.0,ybcV,Function unknown,[]
yaiA,yaiA,192.0,192.0,aroL-yaiA-aroM,No COG Annotation,"['rpoD', 'trpR', 'tyrR']"
frlA,frlA,1338.0,1338.0,frlABCDR,Amino acid transport and metabolism,[]
cysZ,cysZ,762.0,762.0,cysZ,Energy production and conversion,['yieP']
ybhI,ybhI,1434.0,1434.0,ybhI,Transcription,"['nac', 'ydcI', 'yeiE']"
aidB,aidB,1626.0,1626.0,aidB,Inorganic ion transport and metabolism,"['ada', 'aidB', 'lrp', 'rpoD', 'rpoS']"
yeeR,yeeR,1533.0,1533.0,yeeRST-cbeA-cbtA-yeeW,Signal transduction mechanisms,[]
codB,codB,1260.0,1260.0,codBA,Transcription,"['nac', 'purR', 'rpoD']"
potF,potF,1113.0,1113.0,potFGHI,Function unknown,"['arcA', 'argR', 'lrp', 'ntrC', 'rpoN']"
ybfD,ybfD,762.0,762.0,ybfD,Function unknown,[]
yeeV,cbtA,375.0,375.0,yeeRST-cbeA-cbtA-yeeW,Function unknown,[]
mscL,mscL,411.0,411.0,mscL,Energy production and conversion,[]
oppA,oppA,1632.0,1632.0,oppABCDF,Function unknown,"['arcA', 'fliA', 'fur', 'lrp', 'modE', 'nac', 'spermidine']"
ybgA,ybgA,510.0,510.0,ybgA-phr,Amino acid transport and metabolism,['rpoS']
yegP,yegP,333.0,333.0,yegP,Nucleotide transport and metabolism,[]
gntT,gntT,1317.0,1317.0,gntT,Energy production and conversion,"['crp', 'gntR', 'rpoD']"
ydcS,ydcS,1146.0,1146.0,ydcSTUV-patD,No COG Annotation,"['nac', 'rpoS']"
b0725,b0725,261.0,261.0,b0725,No COG Annotation,[]
yfaD,yfaD,900.0,900.0,rpnE-ypaA,Amino acid transport and metabolism,[]
yeaV,yeaV,1446.0,1446.0,yeaVW,Function unknown,[]
ybgE,ybgE,294.0,294.0,cydX-ybgE,Transcription,[]
yfdG,yfdG,360.0,360.0,yfdG,Carbohydrate transport and metabolism,[]
lctP,lctP,1653.0,1653.0,lctP,Energy production and conversion,[]
yejA,yejA,1815.0,1815.0,yejABEF,Function unknown,[]
ybgC,ybgC,405.0,405.0,ybgC-tolQRA,Lipid transport and metabolism,['nac']
yfdQ,yfdQ,825.0,825.0,yfdPQ,Nucleotide transport and metabolism,[]
rbsD,rbsD,420.0,420.0,rbsDACBKR,Nucleotide transport and metabolism,"['crp', 'rbsR', 'rpoD']"
sstT,sstT,1245.0,1245.0,sstT,Transcription,"['arcA', 'lrp']"
ybhL,ybhL,705.0,705.0,ybhL,Inorganic ion transport and metabolism,"['rpoD', 'yjjQ']"
yffS,yffS,810.0,810.0,yffS,Inorganic ion transport and metabolism,['fnr']
ybcY,ybcY,653.0,653.0,ybcY,Carbohydrate transport and metabolism,[]
rpsL,rpsL,375.0,375.0,rpsLG-fusA-tufA,Function unknown,[]
pldB,pldB,1023.0,1023.0,pldB-yigL,Carbohydrate transport and metabolism,[]
slt,slt,1938.0,1938.0,slt,Carbohydrate transport and metabolism,"['cpxR', 'rpoH']"
def,def,507.0,507.0,def,Transcription,['rpoD']
rrnG,rrnG,1464.0,1464.0,rrnG,Transcription,[]
ybdH,ybdH,1089.0,1089.0,hcxA,Energy production and conversion,[]
yadG,yadG,927.0,927.0,yadGH,"Secondary metabolites biosynthesis, transport and catabolism",['crp']
slyX,slyX,219.0,219.0,slyX,Function unknown,[]
serA,serA,1233.0,1233.0,serA,Amino acid transport and metabolism,"['crp', 'lrp', 'nac', 'rpoD']"
ybiH,ybiH,672.0,672.0,cecR-ybhGFSR,Transcription,"['cecR', 'rpoD', 'ybiH']"
kdtA,kdtA,1275.0,1275.0,kdtA,Outer membrane biogenesis,[]
rpsP,rpsP,249.0,249.0,rpsP-rimM-trmD-rplS,"Translation, ribosomal structure and biogenesis","['fnr', 'rpoD']"
ybjJ,ybjJ,1209.0,1209.0,ybjJI,Carbohydrate transport and metabolism,[]
gltJ,gltJ,741.0,741.0,gltI-sroC-gltJKL,Amino acid transport and metabolism,"['flhD;flhC', 'rpoD', 'rpoN']"
yifE,yifE,339.0,339.0,maoP,Function unknown,[]
rpsO,rpsO,270.0,270.0,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,"Translation, ribosomal structure and biogenesis","['arcA', 'argR', 'crp', 'fis', 'fnr', 'rpoD']"
insA_7,insA_7,261.0,261.0,InsA,Absolutely required for transposition of IS1,[]
ybeZ,ybeZ,1041.0,1041.0,ybeZYX-lnt,Signal transduction mechanisms,"['nac', 'rpoH']"
iap,iap,1038.0,1038.0,iap,Function unknown,[]
rrfD,rrfD,120.0,120.0,rrf,"Translation, 5s ribosomal RNA",[]
citC,citC,1059.0,1059.0,citCDEFXG,Energy production and conversion,"['arcA', 'crp', 'dpiA', 'fnr', 'narL']"
modF,modF,1473.0,1473.0,modEF,Inorganic ion transport and metabolism,[]
deoR,deoR,759.0,759.0,deoR,Transcription,['nac']
folB,folB,369.0,369.0,folB,Coenzyme transport and metabolism,[]
ilvL,ilvL,99.0,99.0,ilvLXG_1G_2MEDA,No COG Annotation,"['ihf', 'lrp', 'nac', 'rpoD']"
stpA,stpA,405.0,405.0,stpA,Function unknown,"['argR', 'h-NS', 'lrp', 'rpoD', 'stpA']"
aroP,aroP,1374.0,1374.0,aroP,Amino acid transport and metabolism,"['argR', 'cra', 'fnr', 'rpoD', 'tyrR']"
ysgA,ysgA,816.0,816.0,ysgA,"Secondary metabolites biosynthesis, transport and catabolism","['crp', 'fnr', 'rpoD']"
ilvC,ilvC,1476.0,1476.0,ilvC,Amino acid transport and metabolism,"['ilvY', 'rpoD']"
ydhZ,ydhZ,210.0,210.0,fumD,Function unknown,['cra']
glyQ,glyQ,912.0,912.0,glyQS,"Translation, ribosomal structure and biogenesis",['rpoD']
aspA,aspA,1437.0,1437.0,aspA-dcuA,Amino acid transport and metabolism,"['crp', 'fnr', 'lrp', 'narL', 'rpoD']"
metE,metE,2262.0,2262.0,metE,Amino acid transport and metabolism,"['cra', 'metJ', 'metR', 'nac', 'oxyR']"
trmA,trmA,1101.0,1101.0,trmA,"Translation, ribosomal structure and biogenesis","['fis', 'rpoH']"
b0360,b0360,366.0,366.0,insC-1CD-1D-1,"Replication, recombination and repair",[]
cpdB,cpdB,1944.0,1944.0,cpdB,Nucleotide transport and metabolism,"['crp', 'nac', 'rpoD']"
metB,metB,1161.0,1161.0,metBL,Amino acid transport and metabolism,"['hypT', 'metJ', 'phoP', 'rpoD']"
ycgF,ycgF,1209.0,1209.0,ycgF,blue light photoreceptor activity,[]
gltA,gltA,1284.0,1284.0,gltA,Energy production and conversion,"['arcA', 'crp', 'ihf', 'nac', 'rpoD', 'ydcI']"
yjiH,yjiH,684.0,684.0,yjiHG-iadA,Function unknown,[]
argC,argC,1005.0,1005.0,argCBH,Amino acid transport and metabolism,"['argR', 'rpoD']"
yniC,yniC,669.0,669.0,hxpB,Function unknown,['yieP']
pgi,pgi,1650.0,1650.0,pgi,Carbohydrate transport and metabolism,"['rpoD', 'rpoS', 'soxS']"
yjjI,yjjI,1551.0,1551.0,yjjI,No COG Annotation,['crp']
metA,metA,930.0,930.0,metA,methionine biosynthesis pathway,"['metJ', 'rpoD', 'rpoH']"
nudG,nudG,408.0,408.0,nudG,"Replication, recombination and repair",[]
caiC,caiC,1554.0,1554.0,caiTABCDE,Lipid transport and metabolism,"['arcA', 'caiF', 'crp', 'fnr', 'h-NS', 'rpoD', 'ybiH']"
yqgD,yqgD,252.0,252.0,yqgD,predicted inner membrane protein Ê,[]
serB,serB,969.0,969.0,serB-radA-nadR,Amino acid transport and metabolism,['lrp']
yeaL,yeaL,447.0,447.0,yeaL,Function unknown,[]
phoP,phoP,672.0,672.0,phoPQ,Signal transduction mechanisms,"['phoP', 'rpoH']"
trpR,trpR,327.0,327.0,trpR,Transcription,"['rpoD', 'trpR']"
cyoA,cyoA,948.0,948.0,cyoABCDE,Energy production and conversion,"['arcA', 'cra', 'crp', 'cusR', 'fis', 'fnr', 'fur', 'gadE', 'hprR', 'pdhR', 'rpoD']"
U139,U139,,,U139,Promoterless vector ,[]
yeaP,yeaP,1026.0,1026.0,dgcP,Signal transduction mechanisms,[]
guaA,guaA,1578.0,1578.0,guaBA,Nucleotide transport and metabolism,"['arcA', 'crp', 'dnaA', 'fis', 'fnr', 'purR', 'rpoD']"
pheS,pheS,984.0,984.0,thrS-infC-rpmI-rplT-pheMST-ihfA,"Translation, ribosomal structure and biogenesis","['nac', 'nsrR', 'phe-tRNA']"
yoaB,yoaB,345.0,345.0,yoaB,"Translation, ribosomal structure and biogenesis",['yafC']
tdcG_2,tdcG_2,1362.0,1362.0,tdcG_2,"L-serine dehydratase,gluconeogenesis",[]
pgk,pgk,1164.0,1164.0,epd-pgk-fbaA,Carbohydrate transport and metabolism,"['cra', 'crp', 'nac', 'rpoD', 'rpoS']"
ybgS,ybgS,381.0,381.0,ybgS,Function unknown,"['crp', 'lrp']"
moaA,moaA,990.0,990.0,moaABCDE,Coenzyme transport and metabolism,"['arcA', 'cueR', 'fnr', 'modE', 'molybdopterin', 'nac']"
cysH,cysH,735.0,735.0,cysJIH,Inorganic ion transport and metabolism,"['cysB', 'hypT', 'ihf', 'rpoD']"
yjcD,yjcD,1347.0,1347.0,yjcD,High-affinity transporter for guanine and hypoxanthine,[]
yhbW,yhbW,1008.0,1008.0,yhbW,Energy production and conversion,[]
iaaA,iaaA,966.0,966.0,iaaA-gsiABCD,Amino acid transport and metabolism,['arcA']
ugd,ugd,1167.0,1167.0,ugd,Cell wall/membrane/envelope biogenesis,['nac']
yjdK,yjdK,294.0,294.0,yjdK,Antitoxin component of a type V toxin-antitoxin system,[]
yjjU,yjjU,1074.0,1074.0,yjjUV,Function unknown,['gadE']
hemA,hemA,1257.0,1257.0,hemA-prfA-prmC,Coenzyme transport and metabolism,"['arcA', 'fnr', 'ihf', 'rpoD']"
rfbA,rfbA,882.0,882.0,rfbBDACX,Cell wall/membrane/envelope biogenesis,['nac']
yjeI,yjeI,354.0,354.0,yjeI,Function unknown,[]
yeiG,yeiG,837.0,837.0,yeiG,Function unknown,"['arcA', 'yeiE']"
dgkA,dgkA,369.0,369.0,dgkA,Cell wall/membrane/envelope biogenesis,['basR']
rrlD,rrlD,,,rrlD,"rRNA large, 23S",[]
pntA,pntA,1533.0,1533.0,pntAB,Energy production and conversion,"['arcA', 'nac', 'rpoD']"
artP,artP,729.0,729.0,artPIQM,Amino acid transport and metabolism,"['argR', 'lrp', 'rpoD', 'rpoS']"
efp,efp,567.0,567.0,efp,"Translation, ribosomal structure and biogenesis",['rpoD']
rpsM,rpsM,357.0,357.0,rpsMKD-rpoA-rplQ,"Translation, ribosomal structure and biogenesis",['rpoD']
udk,udk,642.0,642.0,udk-dcd,Nucleotide transport and metabolism,[]
cydD,cydD,1767.0,1767.0,cydDC,Defense mechanisms,"['arcA', 'fnr', 'narL', 'rpoD']"
fklB,fklB,621.0,621.0,fklB,"Posttranslational modification, protein turnover, chaperones",['nac']
rplN,rplN,372.0,372.0,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,"Translation, ribosomal structure and biogenesis",[]
xapA,xapA,834.0,834.0,xapAB,Nucleotide transport and metabolism,"['rpoD', 'rpoS', 'xapR']"
yddA,yddA,1686.0,1686.0,yddAB,Function unknown,['fur']
ytfM,ytfM,1731.0,1731.0,ytfM,outer membrane biogenesis,[]
speC,speC,2136.0,2136.0,speC,Amino acid transport and metabolism,"['crp', 'nac', 'rpoS']"
pmbA,pmbA,1353.0,1353.0,pmbA,Function unknown,[]
yfhM,yfhM,4962.0,4962.0,yfhM-pbpC,Function unknown,['yeiE']
gssA,gssA,,,gssA,glutathionylspermidine synthetase / glutathionylspermidine amidase,[]
btuC,btuC,981.0,981.0,btuCED,Coenzyme transport and metabolism,[]
infA,infA,219.0,219.0,infA-serW,"Translation, ribosomal structure and biogenesis","['arcA', 'nac', 'rpoD']"
yphG,yphG,3282.0,3282.0,yphG,Function unknown,[]
mglA,mglA,1521.0,1521.0,mglBAC,Inorganic ion transport and metabolism,"['arcA', 'crp', 'fis', 'flhD;flhC', 'galR', 'galS', 'nac', 'rpoD', 'rpoS']"
mdtH,mdtH,1209.0,1209.0,mdtH,Inorganic ion transport and metabolism,[]
yfgH,yfgH,519.0,519.0,yfgHI,Cell wall/membrane/envelope biogenesis,[]
cls,cls,1242.0,1242.0,ybhP-clsB-ybhN,synthesis of a major membrane phospholipid,[]
yiiP,fieF,900.0,900.0,fieF,Iron-efflux transporter responsible for iron detoxification,[]
ygjD,tsaD,1011.0,1011.0,ygjD,Transcription,[]
yfhR,yfhR,855.0,855.0,yfhR,Function unknown,[]
nlpC,nlpC,465.0,465.0,nlpC,Cell wall/membrane/envelope biogenesis,[]
ybdK,ybdK,1119.0,1119.0,ybdK,Function unknown,['nac']
yjfY,yjfY,276.0,276.0,yjfY,Function unknown,[]
msbB,msbB,969.0,969.0,msbB,outer membrane biogenesis,[]
rrnD,rrnD,,,rrnD,ribosomal RNA,[]
yfhL,yfhL,261.0,261.0,yfhL,Energy production and conversion,[]
pgsA,pgsA,549.0,549.0,pgsA,Lipid transport and metabolism,[]
yjcE,yjcE,1650.0,1650.0,yjcE,Inorganic ion transport and metabolism,[]
ftsZ,ftsZ,1152.0,1152.0,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning","['argR', 'lexA', 'lrp', 'mraZ', 'pdhR', 'rcsB', 'rpoD', 'rpoS', 'sdiA']"
smpA,smpA,339.0,339.0,YaeT,Cell wall/membrane/envelope biogenesis,[]
lepA,lepA,1800.0,1800.0,lepAB,Cell wall/membrane/envelope biogenesis,['nac']
b1367,b1367,,,b1367,function uknown,[]
fliF,fliF,1659.0,1659.0,fliFGHIJK,Cell motility,"['csgD', 'flhD;flhC', 'fliA', 'rpoD', 'yieP']"
yfjI,yfjI,1410.0,1410.0,yfjI,Function unknown,[]
nlpD,nlpD,1140.0,1140.0,nlpD-rpoS,Cell wall/membrane/envelope biogenesis,['rpoD']
ydbC,ydbC,861.0,861.0,pdxI,Energy production and conversion,[]
phoR,phoR,1296.0,1296.0,phoBR,Signal transduction mechanisms,"['phoB', 'rpoD']"
yqaD,yqaD,,,yqaD,Carbohydrate transport and metabolism,[]
lgt,lgt,876.0,876.0,lgt-thyA,Cell wall/membrane/envelope biogenesis,['rpoD']
ydbD,ydbD,2307.0,2307.0,ydbD,No COG Annotation,"['nsrR', 'rpoS']"
clpX,clpX,1275.0,1275.0,clpPX-lon,"Posttranslational modification, protein turnover, chaperones","['rpoD', 'rpoE', 'rpoH']"
csiD,csiD,978.0,978.0,csiD-lhgO-gabDTP,"Secondary metabolites biosynthesis, transport and catabolism","['arcA', 'crp', 'csiR', 'h-NS', 'lrp', 'nac', 'rpoS']"
prfB,prfB,1023.0,1023.0,xerD-dsbC-recJ-prfB-lysS,"Translation, ribosomal structure and biogenesis",[]
ydcF,ydcF,801.0,801.0,ydcF,Function unknown,[]
yebB,yebB,603.0,603.0,yebB,Function unknown,['rpoD']
yncB,yncB,1038.0,1038.0,yncB,Function unknown,[]
plsC,plsC,738.0,738.0,plsC,Lipid transport and metabolism,['argR']
yliE,yliE,2349.0,2349.0,pdeI-dgcI,Signal transduction mechanisms,[]
fliE,fliE,315.0,315.0,fliE,Cell motility,"['csgD', 'flhD;flhC', 'fliA', 'rpoD']"
yjeN,yjeN,315.0,315.0,yjeNO,Function unknown,[]
yhfK,yhfK,2103.0,2103.0,yhfK,Function unknown,['crp']
ispB,ispB,972.0,972.0,ispB,Coenzyme transport and metabolism,"['fnr', 'nac']"
rfbB,rfbB,1086.0,1086.0,rfbBDACX,Cell wall/membrane/envelope biogenesis,[]
b2861,insC4,366.0,366.0,insCD-4C-4D-4-ygeONM,"Replication, recombination and repair",[]
yhfL,yhfL,168.0,168.0,yhfL,Function unknown,[]
yiaD,yiaD,660.0,660.0,yiaD,Cell wall/membrane/envelope biogenesis,['nac']
gcvT,gcvT,1095.0,1095.0,gcvTHP,Amino acid transport and metabolism,"['crp', 'fnr', 'gadX', 'gcvA', 'lrp', 'nac', 'purR', 'rpoD']"
yjeB,nsrR,426.0,426.0,nsrR-rnr-rlmB-yjfIJ,Transcription,[]
yhfP,frlC,831.0,831.0,frlABCDR,Carbohydrate transport and metabolism,[]
yihD,yihD,270.0,270.0,yihD,Function unknown,['nac']
kbl,kbl,1197.0,1197.0,kbl-tdh,Coenzyme transport and metabolism,"['lrp', 'rpoD']"
yjfI,yjfI,402.0,402.0,nsrR-rnr-rlmB-yjfIJ,Function unknown,[]
yhgA,yhgA,879.0,879.0,rpnA,Function unknown,[]
hemL,hemL,1281.0,1281.0,hemL,Coenzyme transport and metabolism,"['fliA', 'nac', 'pdhR', 'phoP']"
glmU,glmU,1371.0,1371.0,glmUS,Cell wall/membrane/envelope biogenesis,"['nagC', 'rpoD']"
yjfK,yjfK,660.0,660.0,yjfKLMC,Function unknown,[]
yrbL,yrbL,633.0,633.0,yrbL,Function unknown,"['basR', 'fur', 'phoP', 'soxR', 'soxS']"
folD,folD,867.0,867.0,folD-ybcJ,Coenzyme transport and metabolism,[]
fpr,fpr,747.0,747.0,fpr,Energy production and conversion,"['marA', 'rpoD', 'soxS']"
ytfI,ytfI,939.0,939.0,ytfI,No COG Annotation,[]
yhcA,yhcA,675.0,675.0,yhcADE_1,Function unknown,[]
ybhK,ybhK,909.0,909.0,ybhK,Function unknown,"['arcA', 'fnr']"
yhiD,yhiD,648.0,648.0,hdeAB-yhiD,Function unknown,"['fliZ', 'gadE', 'gadW', 'gadX', 'h-NS', 'lrp', 'marA', 'phoP', 'rcsB', 'rpoD', 'rpoS', 'torR']"
yjgJ,bdcR,594.0,594.0,bdcR,Transcription,[]
moeA,moeA,1236.0,1236.0,moeAB,Coenzyme transport and metabolism,"['arcA', 'fnr', 'narL', 'rpoD']"
rcsF,rcsF,405.0,405.0,rcsF-trmO,Cell wall/membrane/envelope biogenesis,[]
yhcG,yhcG,1128.0,1128.0,yhcG,Function unknown,[]
lolB,lolB,624.0,624.0,lolB-ispE-prs,Cell wall/membrane/envelope biogenesis,['fliA']
fhuF,fhuF,789.0,789.0,fhuF,Function unknown,"['fnr', 'fur', 'nac', 'oxyR', 'rpoD']"
ybbB,selU,1092.0,1092.0,selU,tRNA 2-selenouridine synthase,[]
sohA,sohA,333.0,333.0,sohA,Function unknown,[]
yebS,yebS,1284.0,1284.0,yebST,Function unknown,[]
pppA,pppA,810.0,810.0,pppA,Cell motility,[]
sspA,sspA,639.0,639.0,sspAB,"Posttranslational modification, protein turnover, chaperones",[]
amiC,amiC,1254.0,1254.0,amiC,Cell wall/membrane/envelope biogenesis,[]
tolB,tolB,1293.0,1293.0,tolB-pal-cpoB,"Intracellular trafficking, secretion, and vesicular transport",['nac']
ansB,ansB,1047.0,1047.0,ansB,Amino acid transport and metabolism,"['crp', 'fis', 'fnr', 'lrp', 'nac', 'rpoD']"
arpA,arpA,2187.0,2187.0,arpA,Function unknown,[]
lysA,lysA,1263.0,1263.0,lysA,Amino acid transport and metabolism,"['argP', 'lysR', 'nac', 'rpoD']"
yohM,rcnA,825.0,825.0,rcnAB,Inorganic ion transport and metabolism,[]
yjhI,yjhI,789.0,789.0,yjhIHG,No COG Annotation,"['fur', 'rpoH']"
b3007,b3007,0.0,,b3007,Function unknown,[]
pepN,pepN,2613.0,2613.0,pepN,Amino acid transport and metabolism,['arcA']
intA,intA,1242.0,1242.0,intA,"Replication, recombination and repair",[]
sgcC,sgcC,1314.0,1314.0,sgcXBCQAER,Carbohydrate transport and metabolism,[]
aer,aer,1521.0,1521.0,aer,Signal transduction mechanisms,"['arcA', 'crp', 'fliA', 'fnr']"
gpt,gpt,459.0,459.0,gpt,Nucleotide transport and metabolism,['rpoD']
tdcB,tdcB,990.0,990.0,tdcABCDEFG,Amino acid transport and metabolism,"['crp', 'fnr', 'ihf', 'lrp', 'nac', 'tdcA', 'tdcR']"
yjhS,yjhS,978.0,978.0,yjhS,Function unknown,[]
asnC,asnC,459.0,459.0,asnC-mioC-mnmG-rsmG,Transcription,"['asnC', 'gadE', 'nac', 'rpoD']"
thiI,thiI,1449.0,1449.0,thiI,Coenzyme transport and metabolism,[]
atpI,atpI,381.0,381.0,atpIBEFHAGDC,Energy production and conversion,"['argR', 'rpoD']"
adk,adk,645.0,645.0,adk,Nucleotide transport and metabolism,['fur']
yifB,yifB,1521.0,1521.0,yifB,"Posttranslational modification, protein turnover, chaperones",[]
sbcB,sbcB,1428.0,1428.0,sbcB,"Replication, recombination and repair","['nac', 'yeiE']"
rbfA,rbfA,402.0,402.0,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,"Translation, ribosomal structure and biogenesis","['arcA', 'argR', 'crp', 'fis', 'fnr', 'rpoD']"
gyrB,gyrB,2415.0,2415.0,gyrB,"Replication, recombination and repair","['fis', 'rpoD', 'rpoS']"
ego,lsrA,1536.0,1536.0,lsrACDBFG-tam,Inorganic ion transport and metabolism,[]
glgB,glgB,2187.0,2187.0,glgBXCAP,Carbohydrate transport and metabolism,"['phoP', 'rpoD']"
ydcL,ydcL,669.0,669.0,ydcL,Function unknown,[]
yafC,yafC,915.0,915.0,yafC,Transcription,['yafC']
nagE,nagE,1947.0,1947.0,nagE,Carbohydrate transport and metabolism,"['crp', 'nagC', 'rpoD']"
yfjN,yfjN,1074.0,1074.0,rnlAB,RNA processing and modification,[]
ydcA,ydcA,174.0,174.0,ydcA,No COG Annotation,[]
rnhA,rnhA,468.0,468.0,rnhA,"Replication, recombination and repair",[]
yfjG,ratA,477.0,477.0,ratA-yfjF,No COG Annotation,[]
tilS,tilS,1299.0,1299.0,tilS,"Cell cycle control, cell division, chromosome partitioning",[]
yojI,yojI,1644.0,1644.0,yojI,Defense mechanisms,"['fur', 'lrp', 'nac', 'rpoD', 'ydcI']"
dinJ,dinJ,261.0,261.0,dinJ-yafQ,"Replication, recombination and repair","['dinJ;yafQ', 'lexA', 'rpoD']"
b2641,yfjV_2,900.0,900.0,ypjM_1M_2,No COG Annotation,[]
tig,tig,1299.0,1299.0,tig,"Posttranslational modification, protein turnover, chaperones",[]
hisQ,hisQ,687.0,687.0,argT-hisJQMP,Amino acid transport and metabolism,"['arcA', 'argR', 'h-NS', 'ntrC', 'rpoD', 'rpoN']"
ybgH,dtpD,1482.0,1482.0,dtpD,Amino acid transport and metabolism,[]
yqaE,yqaE,159.0,159.0,yqaE-kbp,Function unknown,"['argR', 'cpxR']"
dicB,dicB,189.0,189.0,dicB-ydfDE-insD-7-intQ,No COG Annotation,"['dicA', 'rpoD']"
cysW,cysW,876.0,876.0,cysPUWAM,Inorganic ion transport and metabolism,"['cysB', 'h-NS', 'rpoD']"
ybiS,ybiS,918.0,918.0,ybiS,"Responsible, at least in part, for anchoring of the major outer membrane lipoproteinÊ",[]
ygcW,ygcW,786.0,786.0,ygcW,Function unknown,[]
proX,proX,993.0,993.0,proVWX,Amino acid transport and metabolism,"['h-NS', 'ihf', 'rpoD', 'rpoS']"
ugpA,ugpA,888.0,888.0,ugpBAECQ,Inorganic ion transport and metabolism,"['arcA', 'crp', 'phoB', 'rpoD']"
ymfE,ymfE,705.0,705.0,ymfED,Function unknown,[]
ygcF,ygcF,669.0,669.0,ygcF,Purin metabolism,[]
cspA,cspA,213.0,213.0,cspA,Transcription,"['arcA', 'crp', 'fis', 'h-NS', 'rpoD']"
dppB,dppB,1020.0,1020.0,dppABCDF,Inorganic ion transport and metabolism,"['arcA', 'fnr', 'ihf', 'lrp', 'nac', 'rpoD']"
minC,minC,696.0,696.0,minCDE,"Cell cycle control, cell division, chromosome partitioning",[]
ygdI,ygdI,228.0,228.0,ygdI,Function unknown,[]
b2680,b2680,0.0,,b2680,Function unknown,[]
pstC,pstC,960.0,960.0,pstSCAB-phoU,Inorganic ion transport and metabolism,"['fnr', 'ihf', 'phoB', 'rpoD', 'rpoS']"
ycgK,pliG,402.0,402.0,pliG,Function unknown,[]
yqeK,yqeK,426.0,426.0,yqeK,No COG Annotation,['gadX']
ygaZ,ygaZ,738.0,738.0,ygaZH,Amino acid transport and metabolism,[]
alsA,alsA,1533.0,1533.0,alsRBACE,Inorganic ion transport and metabolism,"['alsR', 'rpoD']"
ldhA,ldhA,990.0,990.0,ldhA,Energy production and conversion,"['rpoH', 'yheO']"
sseA,sseA,846.0,846.0,mstA,Inorganic ion transport and metabolism,[]
ygdR,ygdR,219.0,219.0,ygdR,Function unknown,[]
phnC,phnC,789.0,789.0,phnCDE_1E_2FGHIJKLMNOP,Inorganic ion transport and metabolism,"['arcA', 'phoB', 'rpoD']"
yddH,yddH,570.0,570.0,yddH,Function unknown,[]
yphH,yphH,1194.0,1194.0,yphH,Carbohydrate transport and metabolism,[]
yqeH,yqeH,633.0,633.0,yqeH,Transcription,[]
ybdF,ybdF,369.0,369.0,ybdF,Function unknown,[]
