,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA1696,pscO,,1845241,1845717,-,translocation protein in type III secretion,Function unknown,Q9I331,
PA1697,PA1697,,1845714,1847036,-,type III secretion system ATPase,Cell motility,Q9I330,
PA1698,popN,,1847227,1848093,+,type III secretion outer membrane protein PopN,Function unknown,G3XCX6,
PA1699,PA1699,,1848074,1848352,+,hypothetical protein,Function unknown,G3XCT8,
PA1700,PA1700,,1848339,1848710,+,hypothetical protein,Function unknown,Q9I329,
PA1701,PA1701,,1848707,1849072,+,hypothetical protein,Function unknown,G3XD37,
PA1702,PA1702,,1849077,1849406,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I328,
PA1703,pcrD,,1849403,1851523,+,type III secretory apparatus protein PcrD,"Intracellular trafficking, secretion, and vesicular transport",Q9I327,
PA1704,pcrR,,1851520,1851954,+,transcriptional regulator PcrR,Function unknown,G3XCW4,
PA1705,pcrG,,1851982,1852278,+,type III secretion regulator,Function unknown,Q9I326,
PA1706,pcrV,,1852288,1853172,+,type III secretion protein PcrV,Function unknown,G3XD49,ExsB
PA1707,pcrH,,1853181,1853684,+,regulatory protein PcrH,Function unknown,Q9I325,
PA1708,popB,,1853665,1854837,+,translocator protein PopB,Function unknown,Q9I324,ExsB
PA1709,popD,,1854849,1855736,+,translocator outer membrane protein PopD,Function unknown,Q9I323,
PA1710,exsC,,1855862,1856299,+,exoenzyme S synthesis protein ExsC,Function unknown,P26995,
PA1711,PA1711,,1856308,1856553,+,hypothetical protein,No COG annotation,Q9I322,
PA1712,exsB,,1856562,1856975,+,exoenzyme S synthesis protein ExsB,Function unknown,P26994,
PA1713,exsA,,1857273,1858109,+,exoenzyme S transcriptional regulator ExsA,Transcription,P26993,
PA1714,exsD,,1858207,1859037,+,hypothetical protein,Function unknown,Q9I321,
PA1715,pscB,,1859071,1859493,+,type III export apparatus protein,"Post-translational modification, protein turnover,and chaperones",Q9I320,ExsB
PA1716,pscC,,1859493,1861295,+,type III secretion outer membrane protein PscC,Cell motility,Q9I319,ExsB
PA1717,pscD,,1861297,1862595,+,type III export protein PscD,Signal transduction mechanisms,Q9I318,ExsB
PA1718,pscE,,1862558,1862761,+,type III export protein PscE,No COG annotation,Q9I317,ExsB
PA1719,pscF,,1862764,1863021,+,type III export protein PscF,Function unknown,P95434,ExsB
PA1720,pscG,,1863024,1863371,+,type III export protein PscG,Function unknown,P95435,ExsB
PA1721,pscH,,1863368,1863799,+,type III export protein PscH,Function unknown,Q9I316,ExsB
PA1722,pscI,,1863799,1864137,+,type III export protein PscI,Function unknown,Q9I315,ExsB
PA1723,pscJ,,1864134,1864880,+,type III export protein PscJ,"Intracellular trafficking, secretion, and vesicular transport",Q9I314,ExsB
PA1724,pscK,,1864889,1865515,+,type III export protein PscK,Function unknown,Q9I313,ExsB
PA1725,pscL,,1865494,1866138,+,type III secretion system protein,Cell motility,Q9I312,ExsB
PA1726,bglX,,1866241,1868535,-,beta-glucosidase,Carbohydrate transport and metabolism,Q9I311,
PA1727,mucR,,1868706,1870763,-,signaling protein,Signal transduction mechanisms,Q9I310,
PA1728,PA1728,,1871116,1871457,+,hypothetical protein,Function unknown,Q9I309,
PA1729,PA1729,,1871555,1872202,+,hypothetical protein,Nucleotide transport and metabolism,Q9I308,
PA1730,PA1730,,1872602,1874014,+,hypothetical protein,Function unknown,Q9I307,NtrC
PA1731,PA1731,,1874017,1874970,+,hypothetical protein,Function unknown,Q9I306,NtrC
PA1732,PA1732,,1874967,1875767,+,hypothetical protein,Amino acid transport and metabolism,Q9I305,NtrC
PA1733,PA1733,,1875849,1876580,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I304,
PA1734,PA1734,,1876588,1877409,-,hypothetical protein,Energy production and conversion,Q9I303,
PA1735,PA1735,,1877522,1878409,+,hypothetical protein,Function unknown,Q9I302,
PA1736,PA1736,,1878980,1880185,+,acetyl-CoA acetyltransferase,Lipid transport and metabolism,Q9I301,
PA1737,PA1737,,1880199,1882343,+,3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Q9I300,
PA1738,PA1738,,1882595,1883509,-,transcriptional regulator,Transcription,Q9I2Z9,
PA1739,PA1739,,1883661,1884632,+,oxidoreductase,Energy production and conversion,Q9I2Z8,
PA1740,PA1740,,1884655,1885653,+,hypothetical protein,Carbohydrate transport and metabolism,Q9I2Z7,
PA1741,PA1741,,1885662,1886033,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I2Z6,
PA1742,PA1742,,1886278,1887000,+,amidotransferase,Nucleotide transport and metabolism,Q9I2Z5,
PA1743,PA1743,,1887058,1887297,-,hypothetical protein,No COG annotation,Q9I2Z4,
PA1744,PA1744,,1887325,1887543,-,hypothetical protein,No COG annotation,Q9I2Z3,
PA1745,PA1745,,1887698,1888186,-,hypothetical protein,No COG annotation,Q9I2Z2,
PA1746,PA1746,,1888407,1888913,+,hypothetical protein,Function unknown,Q9I2Z1,
PA1747,PA1747,,1888985,1889173,-,hypothetical protein,No COG annotation,Q9I2Z0,
PA1748,PA1748,,1889323,1890012,-,enoyl-CoA hydratase,Lipid transport and metabolism,Q9I2Y9,
PA1749,PA1749,,1890196,1890681,+,hypothetical protein,Function unknown,Q9I2Y8,
PA1750,PA1750,,1890739,1891815,-,phospho-2-dehydro-3-deoxyheptonate aldolase,Amino acid transport and metabolism,Q9I2Y7,
PA1751,PA1751,,1892133,1892510,+,hypothetical protein,Energy production and conversion,Q9I2Y6,
PA1752,PA1752,,1892510,1893457,+,2-dehydropantoate 2-reductase,Coenzyme transport and metabolism,Q9I2Y5,
PA1753,PA1753,,1893620,1894117,+,hypothetical protein,Signal transduction mechanisms,Q9I2Y4,
PA1754,cysB,,1894249,1895223,+,transcriptional regulator CysB,Transcription,G3XCU6,
PA1755,PA1755,,1895280,1895627,-,hypothetical protein,No COG annotation,Q9I2Y3,
PA1756,cysH,,1895692,1896495,-,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,O05927,
PA1757,thrH,,1896630,1897247,+,phosphoserine phosphatase,Amino acid transport and metabolism,Q9I2Y2,
PA1758,pabB,,1897290,1898651,-,para-aminobenzoate synthase component I,Amino acid transport and metabolism,Q9I2Y1,
PA1759,PA1759,,1898816,1901521,+,transcriptional regulator,Transcription,Q9I2Y0,
PA1760,PA1760,,1901524,1904247,+,transcriptional regulator,Transcription,Q9I2X9,
PA1761,PA1761,,1904479,1904916,+,hypothetical protein,No COG annotation,Q9I2X8,
PA1762,PA1762,,1904995,1905756,+,hypothetical protein,Function unknown,Q9I2X7,
PA1763,PA1763,,1905797,1906822,+,hypothetical protein,Signal transduction mechanisms,Q9I2X6,
PA1764,PA1764,,1906842,1908440,+,hypothetical protein,Lipid transport and metabolism,Q9I2X5,
PA1765,PA1765,,1908454,1909641,+,hypothetical protein,Function unknown,Q9I2X4,
PA1766,PA1766,,1909698,1910681,-,hypothetical protein,Coenzyme transport and metabolism,Q9I2X3,
PA1767,PA1767,,1910685,1912211,-,hypothetical protein,Amino acid transport and metabolism,Q9I2X2,
PA1768,PA1768,,1912217,1912756,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I2X1,
PA1769,PA1769,,1913047,1913871,-,phosphoenolpyruvate synthase regulatory protein,Function unknown,Q9I2X0,
PA1770,ppsA,,1914037,1916412,+,phosphoenolpyruvate synthase,Carbohydrate transport and metabolism,Q9I2W9,
PA1771,estX,,1916482,1917492,+,hydrolase,Function unknown,Q9I2W8,
PA1772,PA1772,,1917599,1918087,+,ribonuclease activity regulator protein RraA,Coenzyme transport and metabolism,Q9I2W7,
PA1773,cmaX,,1918275,1919273,+,transporter,Inorganic ion transport and metabolism,G3XD00,
PA1774,crfX,,1919322,1919576,+,hypothetical protein,No COG annotation,Q9I2W6,
PA1775,cmpX,,1919579,1920403,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,G3XCV6,
PA1776,sigX,,1920568,1921065,+,RNA polymerase sigma factor SigX,Transcription,Q9I2W5,
PA1777,oprF,,1921174,1922226,+,outer membrane porin F,Cell wall/membrane/envelope biogenesis,P13794,
PA1778,cobA,,1922295,1923032,-,uroporphyrin-III C-methyltransferase,Coenzyme transport and metabolism,Q9I2W4,
PA1779,PA1779,,1923044,1925770,-,assimilatory nitrate reductase,Energy production and conversion,Q9I2W3,
PA1780,nirD,,1925797,1926123,-,assimilatory nitrite reductase small subunit,Inorganic ion transport and metabolism,Q9I2W2,
PA1781,nirB,,1926176,1928626,-,assimilatory nitrite reductase large subunit,Energy production and conversion,Q9I2W1,
PA1782,PA1782,,1928894,1930489,-,serine/threonine-protein kinase,Transcription,Q9I2W0,
PA1783,nasA,,1930564,1931775,-,nitrate transporter,Inorganic ion transport and metabolism,Q9I2V9,
PA1784,PA1784,,1932129,1932824,-,hypothetical protein,Carbohydrate transport and metabolism,Q9I2V8,
PA1785,PA1785,,1933054,1933632,-,hypothetical protein,Signal transduction mechanisms,Q9I2V7,
PA1786,PA1786,,1933649,1934857,-,hypothetical protein,Inorganic ion transport and metabolism,Q9I2V6,
PA1787,acnB,,1935035,1937644,-,aconitate hydratase B,Energy production and conversion,Q9I2V5,
PA1788,PA1788,,1938026,1938493,+,hypothetical protein,Function unknown,Q9I2V4,
PA1789,PA1789,,1938549,1939412,-,hypothetical protein,Signal transduction mechanisms,Q9I2V3,
PA1790,PA1790,,1939583,1940206,+,hypothetical protein,Nucleotide transport and metabolism,Q9I2V2,
PA1791,PA1791,,1940255,1941586,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I2V1,
PA1792,PA1792,,1941720,1942442,-,UDP-2%2C3-diacylglucosamine hydrolase,Function unknown,Q9I2V0,
PA1793,ppiB,,1942447,1942944,-,peptidyl-prolyl cis-trans isomerase B,Carbohydrate transport and metabolism,Q9I2U9,
PA1794,glnS,,1943067,1944737,+,glutamine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q9I2U8,
PA1795,cysS,,1944747,1946129,+,cysteine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q9I2U7,
PA1796,folD,,1946187,1947041,-,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase,Nucleotide transport and metabolism,Q9I2U6,
PA1797a,PA1797a,,1947994,1948215,+,hypothetical protein,No COG annotation,UPI0000396873,
PA1797,PA1797,,1948502,1950334,-,hypothetical protein,Defense mechanisms,Q9I2U5,
PA1798,parS,,1950439,1951725,-,two-component sensor ParS,Signal transduction mechanisms,Q9I2U4,
PA1799,parR,,1951726,1952433,-,two-component response regulator ParR,Signal transduction mechanisms,Q9I2U3,
PA1800,tig,,1952665,1953975,+,trigger factor,"Cell cycle control, cell division, chromosome partitioning",Q9I2U2,
PA1801,clpP,,1954069,1954710,+,ATP-dependent Clp protease proteolytic subunit,"Post-translational modification, protein turnover,and chaperones",Q9I2U1,
PA1802,clpX,,1954815,1956095,+,ATP-dependent protease ATP-binding subunit ClpX,"Post-translational modification, protein turnover,and chaperones",Q9I2U0,
PA1803,lon,,1956227,1958623,+,Lon protease,"Post-translational modification, protein turnover,and chaperones",Q9I2T9,
PA1804,hupB,,1958759,1959031,+,DNA-binding protein HU,"Replication, recombination and repair",P05384,
PA1805,ppiD,,1959263,1961128,+,peptidyl-prolyl cis-trans isomerase D,"Post-translational modification, protein turnover,and chaperones",Q9I2T8,
PA1806,fabI,,1961227,1962024,-,NADH-dependent enoyl-ACP reductase,Lipid transport and metabolism,Q9ZFE4,
PA1807,PA1807,,1962046,1963656,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9I2T7,
PA1808,PA1808,,1963658,1964677,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9I2T6,
PA1809,PA1809,,1964682,1965764,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9I2T5,
PA1810,PA1810,,1965771,1967618,-,ABC transporter,Amino acid transport and metabolism,Q9I2T4,
PA1811,PA1811,,1967615,1969444,-,solute-binding protein,Amino acid transport and metabolism,Q9I2T3,
PA1812,mltD,,1969635,1971239,-,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,Q9I2T2,
PA1813,PA1813,,1971317,1972093,-,hydroxyacylglutathione hydrolase,Function unknown,Q9I2T1,
PA1814,PA1814,,1972195,1972956,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I2T0,
PA1815,rnhA,,1972959,1973405,+,ribonuclease HI,"Replication, recombination and repair",Q9I2S9,
PA1816,dnaQ,,1973470,1974210,+,DNA polymerase III subunit epsilon,"Replication, recombination and repair",G3XD54,
PA1817,PA1817,,1974238,1974627,-,hypothetical protein,Function unknown,Q9I2S8,
PA1818,ldcA,,1974821,1977076,+,lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA,Amino acid transport and metabolism,Q9I2S7,
PA1819,PA1819,,1977100,1978455,+,amino acid permease,Amino acid transport and metabolism,Q9I2S6,
PA1820,nhaB,,1978439,1979941,-,Na(+)/H(+) antiporter NhaB,Inorganic ion transport and metabolism,Q9I2S5,
PA1821,PA1821,,1980165,1980977,+,enoyl-CoA hydratase,Lipid transport and metabolism,Q9I2S4,
PA1822,fimL,,1981017,1982705,+,hypothetical protein,Signal transduction mechanisms,Q9I2S3,
PA1823,PA1823,,1982705,1983541,+,NADH pyrophosphatase,"Replication, recombination and repair",O86062,
PA1824,PA1824,,1983509,1984288,-,hypothetical protein,Function unknown,Q9I2S1,
PA1825,PA1825,,1984389,1985033,+,hypothetical protein,No COG annotation,Q9I2S0,
PA1826,PA1826,,1985030,1985935,-,transcriptional regulator,Transcription,Q9I2R9,
PA1827,PA1827,,1986067,1986828,+,short-chain dehydrogenase,Lipid transport and metabolism,Q9I2R8,
PA1828,PA1828,,1986989,1987756,-,short-chain dehydrogenase,Lipid transport and metabolism,Q9I2R7,
PA1829,PA1829,,1987781,1988851,-,hypothetical protein,Function unknown,Q9I2R6,
PA1830,PA1830,,1989109,1989423,-,hypothetical protein,Lipid transport and metabolism,Q9I2R5,PsrA
PA1831,PA1831,,1989484,1990194,-,hypothetical protein,Carbohydrate transport and metabolism,Q9I2R4,PsrA
PA1832,PA1832,,1990428,1991453,+,protease,"Post-translational modification, protein turnover,and chaperones",Q9I2R3,
PA1833,PA1833,,1991512,1992504,+,oxidoreductase,Energy production and conversion,Q9I2R2,
PA1833a,PA1833a,,1992491,1993366,-,alpha/beta hydrolase,Function unknown,UPI000045D1F6,
PA1835,PA1835,,1993461,1993898,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I2R0,
PA1836,PA1836,,1994021,1994602,+,transcriptional regulator,Transcription,Q9I2Q9,
PA1837,PA1837,,1994667,1995164,-,hypothetical protein,Function unknown,Q9I2Q8,
PA1838,cysI,,1995148,1996806,-,sulfite reductase,Energy production and conversion,Q9I2Q7,
PA1837a,PA1837a,,1997217,1997444,-,hypothetical protein,Function unknown,UPI00006D8334,
PA1839,PA1839,,1997509,1998549,-,RNA methyltransferase,Coenzyme transport and metabolism,Q9I2Q6,
PA1840,PA1840,,1998587,1998949,+,hypothetical protein,Function unknown,Q9I2Q5,
PA1841,PA1841,,1998963,1999460,+,hypothetical protein,Function unknown,Q9I2Q4,
PA1842,PA1842,,1999512,1999874,-,hypothetical protein,Function unknown,Q9I2Q3,
PA1843,metH,,1999889,2003593,-,B12-dependent methionine synthase,Amino acid transport and metabolism,Q9I2Q2,MetR
PA1844,PA1844,,2003868,2004332,-,hypothetical protein,No COG annotation,Q9I2Q1,
PA1845,PA1845,,2004374,2004892,-,hypothetical protein,No COG annotation,Q9I2Q0,
PA1846,cti,,2005254,2007542,+,cis/trans isomerase,Cell wall/membrane/envelope biogenesis,Q9I2P9,
PA1847,PA1847,,2007665,2008249,+,Fe/S biogenesis protein NfuA,Energy production and conversion,Q9I2P8,
PA1848,PA1848,,2008308,2009477,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I2P7,
PA1849,PA1849,,2009482,2009724,-,hypothetical protein,Function unknown,Q9I2P6,
PA1850,PA1850,,2009747,2010751,-,transcriptional regulator,Transcription,Q9I2P5,
PA1851,PA1851,,2011000,2012205,+,hypothetical protein,Signal transduction mechanisms,Q9I2P4,
PA1852,PA1852,,2012255,2012530,-,hypothetical protein,No COG annotation,Q9I2P3,
PA1853,PA1853,,2012815,2013678,+,transcriptional regulator,Transcription,Q9I2P2,
PA1854,PA1854,,2013666,2014823,-,hypothetical protein,Signal transduction mechanisms,Q9I2P1,
PA1855,PA1855,,2014915,2015136,-,hypothetical protein,No COG annotation,Q9I2P0,
PA1856,PA1856,,2015139,2016581,-,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,Q9I2N9,
PA1857,PA1857,,2016928,2017851,-,hypothetical protein,Function unknown,Q9I2N8,
PA1858,str,,2017967,2018794,-,streptomycin 3''-phosphotransferase,Defense mechanisms,Q9I2N7,
PA1859,PA1859,,2018803,2019690,-,transcriptional regulator,Transcription,Q9I2N6,
PA1860,PA1860,,2019776,2020603,+,hypothetical protein,Coenzyme transport and metabolism,Q9I2N5,
PA1861,modC,,2020625,2021710,-,molybdenum ABC transporter ATP-binding protein ModC,Inorganic ion transport and metabolism,Q9I2N4,"ModE,ModR"
PA1862,modB,,2021712,2022398,-,molybdenum ABC transporter permease ModB,Inorganic ion transport and metabolism,Q9I2N3,"ModE,ModR"
PA1863,modA,,2022411,2023166,-,molybdenum ABC transporter substrate-binding protein ModA,Inorganic ion transport and metabolism,Q9I2N2,"ModE,ModR"
PA1864,PA1864,,2023281,2023931,-,transcriptional regulator,Transcription,Q9I2N1,
PA1865,PA1865,,2024065,2025744,+,Fanconi-associated nuclease,"Replication, recombination and repair",Q9I2N0,LexA
PA1866,PA1866,,2025737,2028013,+,hypothetical protein,Transcription,Q9I2M9,LexA
PA1866a,PA1866a,,2028103,2028312,+,hypothetical protein,No COG annotation,UPI00003968B2,
PA1867,xphA,,2028454,2028981,+,type VI pilus biosynthesis protein,"Intracellular trafficking, secretion, and vesicular transport",Q9I2M8,
PA1868,xqhA,,2028968,2031298,+,secretion protein XqhA,Cell motility,Q9I2M7,
PA1869,PA1869,,2031466,2031705,+,acyl carrier protein,Lipid transport and metabolism,O52658,
PA1870,PA1870,,2031988,2032413,+,hypothetical protein,No COG annotation,Q9I2M6,
PA1871,lasA,,2032695,2033951,+,protease LasA,Cell wall/membrane/envelope biogenesis,P14789,
PA1872,PA1872,,2034066,2034857,-,hypothetical protein,Function unknown,G3XD32,
PA1873,PA1873,,2034918,2035940,-,hypothetical protein,Inorganic ion transport and metabolism,Q9I2M4,
PA1874,PA1874,,2036441,2043847,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I2M3,
PA1875,PA1875,,2043847,2045124,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I2M2,
PA1876,PA1876,,2045114,2047285,+,ABC transporter ATP-binding protein/permease,Defense mechanisms,Q9I2M1,
PA1877,PA1877,,2047275,2048462,+,secretion protein,Cell wall/membrane/envelope biogenesis,Q9I2M0,
PA1878,PA1878,,2048570,2049148,-,hypothetical protein,Function unknown,Q9I2L9,
PA1879,PA1879,,2049237,2049791,-,hypothetical protein,Transcription,Q9I2L8,
PA1880,PA1880,,2049949,2052144,-,oxidoreductase,Energy production and conversion,Q9I2L7,
PA1881,PA1881,,2052149,2052610,-,oxidoreductase,Energy production and conversion,Q9I2L6,
PA1882,PA1882,,2052941,2053264,+,transporter,"Intracellular trafficking, secretion, and vesicular transport",Q9I2L5,mini-ykkC
PA1883,PA1883,,2053277,2053675,+,NADH-quinone oxidoreductase subunit A,Energy production and conversion,Q9I2L4,
PA1884,PA1884,,2053672,2054223,-,transcriptional regulator,Transcription,Q9I2L3,
PA1885,PA1885,,2054309,2054842,+,hypothetical protein,Transcription,Q9I2L2,
PA1886,polB,,2054911,2057274,+,DNA polymerase II,"Replication, recombination and repair",Q9I2L1,
PA1887,PA1887,,2057278,2057946,-,hypothetical protein,No COG annotation,Q9I2L0,
PA1888,PA1888,,2057930,2059339,-,hypothetical protein,Function unknown,Q9I2K9,
PA1889,PA1889,,2059569,2060552,+,hypothetical protein,No COG annotation,Q9I2K8,
PA1890,PA1890,,2060566,2061189,-,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",Q9I2K7,
PA1891,PA1891,,2061278,2061667,-,hypothetical protein,No COG annotation,Q9I2K6,QscR
PA1892,PA1892,,2061664,2062401,-,hypothetical protein,No COG annotation,Q9I2K5,QscR
PA1893,PA1893,,2062398,2064827,-,hypothetical protein,Function unknown,Q9I2K4,QscR
PA1894,PA1894,,2064853,2065545,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I2K3,QscR
PA1895,PA1895,,2065493,2066767,-,hypothetical protein,Lipid transport and metabolism,Q9I2K2,QscR
PA1896,PA1896,,2066786,2067955,-,hypothetical protein,No COG annotation,Q9I2K1,QscR
PA1897,PA1897,,2067961,2068728,-,hypothetical protein,Lipid transport and metabolism,Q9I2K0,QscR
PA1898,qscR,,2069490,2070203,+,quorum-sensing control repressor,Transcription,G3XD77,
PA1899,phzA2,,2070685,2071173,+,phenazine biosynthesis protein PhzA,Function unknown,Q9I2J9,QscR
PA1900,phzB2,,2071209,2071697,+,phenazine biosynthesis protein PhzB,Function unknown,Q9S508,QscR
PA1901,phzC2,,2071721,2072938,+,phenazine biosynthesis protein PhzC,Amino acid transport and metabolism,G3XCJ9,QscR
PA1902,phzD2,,2072935,2073558,+,phenazine biosynthesis protein PhzD,"Secondary metabolites biosynthesis, transport, and catabolism",P0DPB9,QscR
PA1903,phzE2,,2073555,2075438,+,phenazine biosynthesis protein PhzE,Amino acid transport and metabolism,G3XCK6,QscR
PA1904,phzF2,,2075452,2076288,+,trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase,Function unknown,O69754,QscR
PA1905,phzG2,,2076311,2076958,+,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,Q820A5,QscR
PA1906,PA1906,,2077047,2077583,-,hypothetical protein,Nucleotide transport and metabolism,Q9I2J8,
PA1907,PA1907,,2077626,2079266,-,hypothetical protein,Function unknown,Q9I2J7,
PA1908,PA1908,,2079263,2080474,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9I2J6,
PA1909,PA1909,,2080661,2081812,-,hypothetical protein,Function unknown,Q9I2J5,
PA1910,femA,,2081853,2084267,-,ferric-mycobactin receptor FemA,Inorganic ion transport and metabolism,Q9I2J4,
PA1911,femR,,2084476,2085426,-,sigma factor regulator FemR,Inorganic ion transport and metabolism,Q9I2J3,
PA1912,femI,,2085423,2085929,-,ECF sigma factor FemI,Transcription,Q9I2J2,
PA1913,PA1913,,2086021,2086701,-,hypothetical protein,No COG annotation,Q9I2J1,
PA1914,PA1914,,2086808,2088034,-,hypothetical protein,Cell motility,Q9I2J0,
PA1915,PA1915,,2088602,2090149,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I2I9,
PA1916,PA1916,,2090213,2091445,-,amino acid permease,Amino acid transport and metabolism,Q9I2I8,
PA1917,PA1917,,2091490,2091837,-,hypothetical protein,Function unknown,Q9I2I7,
PA1918,PA1918,,2091850,2093250,-,hypothetical protein,Amino acid transport and metabolism,Q9I2I6,
PA1919,nrdG,,2093444,2094142,-,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",Q9I2I5,NrdR
PA1920,nrdD,,2094329,2096356,-,anaerobic ribonucleoside triphosphate reductase,Nucleotide transport and metabolism,Q9I2I4,NrdR
PA1921,PA1921,,2096514,2097323,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I2I3,
PA1922,PA1922,,2097491,2099452,+,TonB-dependent receptor,Inorganic ion transport and metabolism,Q9I2I2,
PA1923,PA1923,,2099452,2103297,+,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,Q9I2I1,
PA1924,PA1924,,2103294,2103770,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9I2I0,
PA1925,PA1925,,2103770,2104096,+,hypothetical protein,Function unknown,Q9I2H9,
PA1926,PA1926,,2104597,2106447,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I2H8,
PA1927,metE,,2106580,2108880,+,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,Amino acid transport and metabolism,P57703,MetR
PA1928,rimJ,,2108942,2109511,-,ribosomal protein alanine acetyltransferase,"Translation, ribosomal structure and biogenesis",Q9I2H6,
PA1929,PA1929,,2109558,2109854,-,hypothetical protein,No COG annotation,Q9I2H5,
PA1930,PA1930,,2110226,2111521,+,chemotaxis transducer,Cell motility,Q9I2H4,
PA1931,PA1931,,2111691,2112203,+,ferredoxin,Energy production and conversion,Q9I2H3,
PA1932,PA1932,,2112200,2113189,+,hydroxylase molybdopterin-containing subunit,Energy production and conversion,Q9I2H2,
PA1933,PA1933,,2113186,2115390,+,hydroxylase large subunit,Energy production and conversion,Q9I2H1,
PA1934,PA1934,,2115885,2116265,+,hypothetical protein,Function unknown,Q9I2H0,
PA1937,PA1937,,2118585,2118893,+,hypothetical protein,"Replication, recombination and repair",Q9I2G7,
PA1938,PA1938,,2118926,2119747,+,hypothetical protein,"Replication, recombination and repair",Q9I2G6,
PA1939,PA1939,,2120225,2122222,-,hypothetical protein,"Replication, recombination and repair",Q9I2G5,
PA1940,PA1940,,2122579,2123718,-,hypothetical protein,Inorganic ion transport and metabolism,Q9I2G4,
PA1941,PA1941,,2123897,2125792,-,hypothetical protein,Energy production and conversion,Q9I2G3,
PA1942,PA1942,,2126104,2126334,-,hypothetical protein,No COG annotation,Q9I2G2,
PA1943,PA1943,,2126396,2127493,-,hypothetical protein,Transcription,Q9I2G1,
PA1944,PA1944,,2127684,2129171,+,hypothetical protein,Coenzyme transport and metabolism,Q9I2G0,
PA1945,PA1945,,2129307,2130635,+,transcriptional regulator,Signal transduction mechanisms,Q9I2F9,
PA1946,rbsB,,2130854,2131813,+,ribose ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,Q9I2F8,RbsR
PA1947,rbsA,,2131835,2133367,+,ribose transporter RbsA,Inorganic ion transport and metabolism,Q9I2F7,RbsR
PA1948,rbsC,,2133391,2134389,+,ribose ABC transporter permease,Carbohydrate transport and metabolism,Q9I2F6,RbsR
PA1949,rbsR,,2134393,2135406,+,ribose operon repressor RbsR,Transcription,Q9I2F5,RbsR
PA1950,rbsK,,2135460,2136386,+,ribokinase,Coenzyme transport and metabolism,Q9I2F4,RbsR
PA1951,PA1951,,2136520,2137785,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I2F3,
PA1952,PA1952,,2137846,2138598,-,hypothetical protein,No COG annotation,Q9I2F2,
PA1953,PA1953,,2138612,2139292,-,hypothetical protein,Function unknown,Q9I2F1,
PA1954,PA1954,,2139354,2140376,-,hypothetical protein,No COG annotation,Q9I2F0,
PA1955,PA1955,,2140433,2141002,-,hypothetical protein,No COG annotation,Q9I2E9,
PA1956,PA1956,,2140999,2141487,-,hypothetical protein,No COG annotation,Q9I2E8,
PA1957,PA1957,,2141790,2142317,-,hypothetical protein,Coenzyme transport and metabolism,Q9I2E7,
PA1958,PA1958,,2142314,2142889,-,transporter,Coenzyme transport and metabolism,Q9I2E6,
PA1959,bacA,,2143173,2144006,+,undecaprenyl-diphosphatase,Defense mechanisms,Q9I2E5,
PA1960,PA1960,,2144077,2144799,+,hypothetical protein,Transcription,Q9I2E4,
PA1961,PA1961,,2144810,2145745,-,transcriptional regulator,Transcription,Q9I2E3,
